Dundee  N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
;
;Dundee
N056.23.06.598 W003.25.32.378 N056.23.06.958 W003.25.31.857 Teal
N056.23.06.958 W003.25.31.857 N056.23.07.826 W003.25.31.296 Teal
N056.23.07.826 W003.25.31.296 N056.23.09.572 W003.25.30.489 Teal
N056.23.09.572 W003.25.30.489 N056.23.09.616 W003.25.30.455 Teal
N056.23.09.616 W003.25.30.455 N056.23.10.078 W003.25.29.898 Teal
N056.23.10.078 W003.25.29.898 N056.23.10.840 W003.25.28.518 Teal
;- BUILDINGS
N056.27.15.014 W003.01.17.570 N056.27.14.352 W003.01.17.540 Olive
N056.27.14.352 W003.01.17.540 N056.27.14.436 W003.01.14.901 Olive
N056.27.14.436 W003.01.14.901 N056.27.15.033 W003.01.14.954 Olive
N056.27.15.033 W003.01.14.954 N056.27.15.015 W003.01.17.573 Olive
N056.27.15.362 W003.01.13.723 N056.27.13.758 W003.01.13.717 Olive
N056.27.13.758 W003.01.13.717 N056.27.13.758 W003.01.10.507 Olive
N056.27.13.758 W003.01.10.507 N056.27.14.033 W003.01.10.491 Olive
N056.27.14.033 W003.01.10.491 N056.27.13.998 W003.01.13.165 Olive
N056.27.13.998 W003.01.13.165 N056.27.15.091 W003.01.13.160 Olive
N056.27.15.091 W003.01.13.160 N056.27.15.087 W003.01.10.526 Olive
N056.27.15.087 W003.01.10.526 N056.27.15.362 W003.01.10.503 Olive
N056.27.15.362 W003.01.10.503 N056.27.15.362 W003.01.13.719 Olive
N056.27.15.351 W003.01.07.997 N056.27.14.508 W003.01.08.017 Olive
N056.27.14.508 W003.01.08.017 N056.27.14.508 W003.01.06.268 Olive
N056.27.14.508 W003.01.06.268 N056.27.15.350 W003.01.06.258 Olive
N056.27.15.350 W003.01.06.258 N056.27.15.350 W003.01.08.017 Olive
N056.27.15.344 W003.00.59.200 N056.27.14.924 W003.00.59.200 Olive
N056.27.14.924 W003.00.59.200 N056.27.14.924 W003.00.57.954 Olive
N056.27.14.924 W003.00.57.954 N056.27.14.690 W003.00.57.954 Olive
N056.27.14.690 W003.00.57.954 N056.27.14.690 W003.00.57.827 Olive
N056.27.14.690 W003.00.57.827 N056.27.14.600 W003.00.57.684 Olive
N056.27.14.600 W003.00.57.684 N056.27.14.600 W003.00.57.414 Olive
N056.27.14.600 W003.00.57.414 N056.27.14.778 W003.00.57.416 Olive
N056.27.14.778 W003.00.57.416 N056.27.14.777 W003.00.56.966 Olive
N056.27.14.777 W003.00.56.966 N056.27.14.829 W003.00.56.948 Olive
N056.27.14.829 W003.00.56.948 N056.27.14.826 W003.00.56.560 Olive
N056.27.14.826 W003.00.56.560 N056.27.14.535 W003.00.56.541 Olive
N056.27.14.535 W003.00.56.541 N056.27.14.533 W003.00.54.570 Olive
N056.27.14.533 W003.00.54.570 N056.27.14.826 W003.00.54.540 Olive
N056.27.14.826 W003.00.54.540 N056.27.14.825 W003.00.54.038 Olive
N056.27.14.825 W003.00.54.038 N056.27.14.534 W003.00.54.023 Olive
N056.27.14.534 W003.00.54.023 N056.27.14.566 W003.00.53.861 Olive
N056.27.14.566 W003.00.53.861 N056.27.14.438 W003.00.53.868 Olive
N056.27.14.438 W003.00.53.868 N056.27.14.437 W003.00.53.164 Olive
N056.27.14.437 W003.00.53.164 N056.27.14.535 W003.00.53.152 Olive
N056.27.14.535 W003.00.53.152 N056.27.14.534 W003.00.52.622 Olive
N056.27.14.534 W003.00.52.622 N056.27.14.922 W003.00.52.628 Olive
N056.27.14.922 W003.00.52.628 N056.27.14.923 W003.00.53.327 Olive
N056.27.14.923 W003.00.53.327 N056.27.14.971 W003.00.53.332 Olive
N056.27.14.971 W003.00.53.332 N056.27.14.987 W003.00.53.506 Olive
N056.27.14.987 W003.00.53.506 N056.27.14.988 W003.00.53.671 Olive
N056.27.14.988 W003.00.53.671 N056.27.14.971 W003.00.53.842 Olive
