;- HEATHROW HOLDING POINTS
N051.28.13.720:W000.28.58.630:EGLL Stands:536
N051.28.11.320:W000.28.58.610:EGLL Stands:537
N051.28.08.930:W000.28.58.590:EGLL Stands:538
N051.28.06.540:W000.28.58.570:EGLL Stands:539
N051.28.06.480:W000.28.45.460:EGLL Stands:541
N051.28.08.880:W000.28.45.480:EGLL Stands:542
N051.28.11.270:W000.28.45.500:EGLL Stands:543
N051.28.13.910:W000.28.45.950:EGLL Stands:544
N051.28.13.240:W000.28.45.940:EGLL Stands:544L
N051.28.14.800:W000.28.45.950:EGLL Stands:544R
N051.28.16.790:W000.28.45.970:EGLL Stands:545
N051.28.16.120:W000.28.45.970:EGLL Stands:545L
N051.28.17.460:W000.28.45.980:EGLL Stands:545R
N051.28.19.570:W000.28.46.100:EGLL Stands:546
;546L  N051.28.
;546R  N051.28.
N051.28.23.100:W000.28.46.130:EGLL Stands:547
;547L  N051.28.
;547R  N051.28.
N051.28.06.600:W000.28.40.540:EGLL Stands:551
N051.28.09.000:W000.28.40.560:EGLL Stands:552
N051.28.11.390:W000.28.40.580:EGLL Stands:553
N051.28.13.780:W000.28.40.600:EGLL Stands:554
N051.28.16.420:W000.28.40.630:EGLL Stands:555
N051.28.19.910:W000.28.40.660:EGLL Stands:556
;565   N051.28.
N051.28.11.050:W000.28.27.380:EGLL Stands:566
N051.28.08.940:W000.28.27.360:EGLL Stands:567
N051.28.06.550:W000.28.27.330:EGLL Stands:568
;575   N051.28.
N051.28.09.770:W000.28.21.920:EGLL Stands:576
N051.28.04.400:W000.28.19.070:EGLL Stands:581
N051.28.04.410:W000.28.15.580:EGLL Stands:582
N051.28.04.430:W000.28.11.670:EGLL Stands:583
N051.28.09.060:W000.28.09.520:EGLL Stands:590
N051.28.11.480:W000.28.09.530:EGLL Stands:591
N051.28.13.910:W000.28.09.560:EGLL Stands:592
N051.28.19.580:W000.28.09.870:EGLL Stands:594
N051.28.21.310:W000.28.09.100:EGLL Stands:595
;596   N051.28.
N051.28.08.230:W000.28.09.510:EGLL Stands:590L
