;background
REGIONNAME East Midlands
smrGrass N052.48.20.236 W001.22.24.867
N052.49.45.210 W001.20.59.229
N052.49.44.871 W001.21.00.111
N052.49.44.833 W001.21.01.026
N052.49.44.573 W001.21.07.789
N052.49.44.285 W001.21.08.979
N052.49.43.795 W001.21.09.926
N052.49.43.048 W001.21.10.262
N052.49.42.156 W001.21.11.211
N052.49.41.839 W001.21.12.587
N052.49.41.578 W001.21.24.545
N052.49.36.268 W001.21.24.432
;grass1
REGIONNAME East Midlands
smrGrass N052.49.43.750 W001.21.05.422
N052.49.43.445 W001.21.07.224
N052.49.43.120 W001.21.08.030
N052.49.42.814 W001.21.08.306
N052.49.42.327 W001.21.07.825
N052.49.42.111 W001.21.06.538
N052.49.42.004 W001.21.04.717
N052.49.41.968 W001.21.03.314
N052.49.42.242 W001.20.45.561
N052.49.42.441 W001.20.43.322
N052.49.42.675 W001.20.41.470
N052.49.42.964 W001.20.40.452
N052.49.43.344 W001.20.40.240
N052.49.43.723 W001.20.40.389
N052.49.44.154 W001.20.42.365
N052.49.44.154 W001.20.45.022

;grass2
REGIONNAME East Midlands
smrGrass N052.49.44.223 W001.19.44.421
N052.49.44.361 W001.19.44.214
N052.49.44.536 W001.19.44.276
N052.49.44.762 W001.19.44.545
N052.49.44.899 W001.19.44.979
N052.49.44.987 W001.19.45.559
N052.49.44.999 W001.19.47.668
N052.49.44.973 W001.19.49.323
N052.49.44.883 W001.19.50.926
N052.49.44.858 W001.19.51.794
N052.49.44.771 W001.19.52.290
N052.49.44.596 W001.19.52.743
N052.49.44.371 W001.19.52.949
N052.49.44.134 W001.19.52.764
N052.49.44.085 W001.19.52.249
;grass3
REGIONNAME East Midlands
smrGrass N052.49.44.345 W001.19.36.410
N052.49.44.446 W001.19.35.976
N052.49.44.571 W001.19.35.790
N052.49.44.783 W001.19.35.955
N052.49.44.983 W001.19.36.390
N052.49.45.107 W001.19.36.927
N052.49.45.207 W001.19.38.705
N052.49.45.082 W001.19.40.276
N052.49.44.932 W001.19.41.082
N052.49.44.682 W001.19.41.663
N052.49.44.520 W001.19.41.684
N052.49.44.358 W001.19.41.353
N052.49.44.295 W001.19.40.981
;grass4
REGIONNAME East Midlands
smrGrass N052.49.44.142 W001.19.05.966
N052.49.44.483 W001.19.02.767
N052.49.44.660 W001.19.02.452
N052.49.45.065 W001.19.02.555
N052.49.45.344 W001.19.02.847
N052.49.45.598 W001.19.03.683
N052.49.45.686 W001.19.04.709
N052.49.45.711 W001.19.07.033
N052.49.45.590 W001.19.14.725
N052.49.45.526 W001.19.15.536
N052.49.45.375 W001.19.16.158
N052.49.45.110 W001.19.16.593
N052.49.44.732 W001.19.16.651
N052.49.44.291 W001.19.16.475
N052.49.44.077 W001.19.15.975
N052.49.44.053 W001.19.15.442
;taxiK
REGIONNAME East Midlands
smrGrey N052.49.43.911 W001.20.31.462
N052.49.42.370 W001.20.31.488
N052.49.41.828 W001.20.31.909
N052.49.41.771 W001.20.33.713
N052.49.40.628 W001.20.33.861
N052.49.40.594 W001.20.28.580
N052.49.41.909 W001.20.28.564
N052.49.41.898 W001.20.30.230
N052.49.42.071 W001.20.30.630
N052.49.43.946 W001.20.30.736
N052.49.44.156 W001.20.30.586
N052.49.44.309 W001.20.30.359
N052.49.44.319 W001.20.31.872
;TAXI
REGIONNAME East Midlands
smrGrey N052.49.42.844 W001.20.14.554
N052.49.42.683 W001.20.14.998
N052.49.42.665 W001.20.18.676
N052.49.42.712 W001.20.19.450
N052.49.42.868 W001.20.19.644
N052.49.42.873 W001.20.22.011
N052.49.42.664 W001.20.22.995
N052.49.41.127 W001.20.21.402
N052.49.42.133 W001.20.18.961
N052.49.42.247 W001.20.18.606
N052.49.42.301 W001.20.18.272
N052.49.42.354 W001.20.14.898
N052.49.42.254 W001.20.14.166
N052.49.43.125 W001.20.14.378
;runway09/27
REGIONNAME East Midlands
black N052.49.49.229 W001.21.00.165
N052.49.52.115 W001.18.22.311
N052.49.54.051 W001.18.22.410
N052.49.51.127 W001.21.00.190
;building1
REGIONNAME East Midlands
smrBuilding N052.49.32.940 W001.21.17.215
N052.49.32.914 W001.21.03.338
N052.49.31.458 W001.21.03.434
N052.49.32.011 W001.20.46.917
