;Grass Background
N051.36.10.364 W004.04.01.437
N051.36.10.418 W004.04.01.389
N051.36.10.453 W004.04.01.341
N051.36.10.477 W004.04.01.258
N051.36.10.487 W004.04.01.158
N051.36.10.493 W004.04.01.009
N051.36.10.479 W004.04.00.828
N051.36.10.218 W004.03.59.565
N051.36.10.183 W004.03.59.449
N051.36.10.150 W004.03.59.360
N051.36.10.118 W004.03.59.327
N051.36.09.963 W004.03.59.420
N051.36.09.723 W004.03.58.179
N051.36.09.767 W004.03.57.914
N051.36.09.093 W004.03.55.460
N051.36.08.675 W004.03.55.026
N051.36.08.625 W004.03.55.063
N051.36.08.474 W004.03.54.443
N051.36.08.532 W004.03.53.399
N051.36.09.256 W004.03.52.908
N051.36.09.814 W004.03.53.566
N051.36.09.851 W004.03.53.729
N051.36.09.878 W004.03.54.077
N051.36.09.852 W004.03.54.206
N051.36.09.799 W004.03.54.367
N051.36.09.758 W004.03.54.588
N051.36.10.493 W004.03.57.286
N051.36.10.586 W004.03.57.226
N051.36.10.656 W004.03.57.480
N051.36.10.802 W004.03.57.820
N051.36.10.697 W004.03.57.970
N051.36.10.641 W004.03.58.207
N051.36.10.466 W004.03.58.533
N051.36.10.854 W004.04.00.647
N051.36.10.893 W004.04.00.814
N051.36.10.918 W004.04.00.915
N051.36.10.945 W004.04.00.987
N051.36.11.084 W004.04.01.167
N051.36.11.188 W004.04.01.184
N051.36.11.266 W004.04.01.684
N051.36.11.222 W004.04.01.929
N051.36.10.576 W004.04.02.225
N051.36.10.532 W004.04.02.254
N051.36.10.502 W004.04.02.316
N051.36.10.479 W004.04.02.380
N051.36.10.454 W004.04.02.470
N051.36.10.440 W004.04.02.596
N051.36.10.432 W004.04.02.692
N051.36.10.436 W004.04.02.801
N051.36.10.514 W004.04.03.475
N051.36.09.796 W004.04.03.668
N051.36.09.737 W004.04.03.082
N051.36.09.562 W004.04.03.121
N051.36.09.641 W004.04.03.830
N051.36.09.121 W004.04.03.961
N051.36.08.931 W004.04.03.906
N051.36.08.892 W004.04.03.506
N051.36.08.874 W004.04.03.475
N051.36.08.836 W004.04.03.413
N051.36.08.773 W004.04.03.349
N051.36.08.728 W004.04.03.381
N051.36.08.661 W004.04.03.446
N051.36.08.614 W004.04.03.491
N051.36.08.575 W004.04.03.533
N051.36.08.545 W004.04.03.581
N051.36.08.521 W004.04.03.649
N051.36.08.499 W004.04.03.707
N051.36.08.463 W004.04.03.763
N051.36.08.115 W004.04.04.170
N051.36.08.096 W004.04.04.203
N051.36.08.082 W004.04.04.246
N051.36.08.079 W004.04.04.302
N051.36.08.110 W004.04.04.372
N051.36.08.214 W004.04.04.520
N051.36.08.502 W004.04.04.861
N051.36.08.705 W004.04.05.099
N051.36.08.876 W004.04.05.303
N051.36.08.992 W004.04.05.481
N051.36.09.050 W004.04.05.579
N051.36.09.109 W004.04.05.684
N051.36.09.134 W004.04.05.747
N051.36.09.149 W004.04.05.817
N051.36.09.159 W004.04.05.905
N051.36.09.161 W004.04.06.006
N051.36.09.144 W004.04.06.102
N051.36.08.973 W004.04.06.442
N051.36.08.856 W004.04.06.761
N051.36.08.739 W004.04.06.980
N051.36.08.580 W004.04.07.269
N051.36.07.338 W004.04.07.614

;Taxiway A
REGIONNAME Swansea
smrTaxiwayDarker N051.36.08.667 W004.04.07.324
N051.36.08.896 W004.04.07.536
N051.36.09.060 W004.04.07.668
N051.36.09.246 W004.04.07.802
N051.36.09.441 W004.04.07.942
N051.36.09.609 W004.04.08.022
N051.36.09.803 W004.04.08.111
N051.36.10.007 W004.04.08.174
N051.36.10.190 W004.04.08.217
N051.36.10.357 W004.04.08.215
N051.36.10.469 W004.04.08.199
N051.36.10.587 W004.04.08.171
N051.36.10.706 W004.04.08.096
N051.36.10.865 W004.04.07.961
N051.36.10.997 W004.04.07.818
N051.36.11.190 W004.04.07.593
N051.36.11.431 W004.04.07.335
N051.36.11.688 W004.04.07.026
N051.36.13.082 W004.04.05.380
N051.36.14.633 W004.04.03.593
N051.36.14.887 W004.04.03.274
N051.36.14.922 W004.04.03.248
N051.36.14.989 W004.04.03.198
N051.36.15.072 W004.04.03.150
N051.36.15.177 W004.04.03.096
N051.36.15.286 W004.04.03.051
N051.36.15.395 W004.04.03.008
N051.36.15.525 W004.04.02.969
N051.36.15.625 W004.04.02.946
N051.36.15.699 W004.04.02.937
N051.36.15.853 W004.04.02.933
N051.36.15.985 W004.04.02.943
N051.36.16.094 W004.04.02.965
N051.36.16.266 W004.04.03.016
N051.36.16.416 W004.04.03.086
N051.36.16.593 W004.04.03.196
N051.36.16.782 W004.04.03.342
N051.36.16.935 W004.04.03.488
N051.36.17.149 W004.04.03.713
N051.36.17.327 W004.04.03.932
N051.36.17.414 W004.04.04.045
N051.36.17.476 W004.04.04.087
N051.36.17.613 W004.04.04.141
N051.36.17.711 W004.04.04.147
N051.36.17.802 W004.04.04.108
N051.36.17.857 W004.04.04.080
N051.36.17.908 W004.04.04.033
N051.36.18.206 W004.04.03.945
N051.36.17.357 W004.04.04.897
N051.36.17.319 W004.04.04.718
N051.36.17.281 W004.04.04.566
N051.36.17.211 W004.04.04.377
N051.36.17.140 W004.04.04.256
N051.36.16.995 W004.04.04.074
N051.36.16.885 W004.04.03.940
N051.36.16.773 W004.04.03.818
N051.36.16.623 W004.04.03.667
N051.36.16.473 W004.04.03.566
N051.36.16.353 W004.04.03.505
N051.36.16.217 W004.04.03.446
N051.36.16.074 W004.04.03.415
N051.36.15.901 W004.04.03.405
N051.36.15.741 W004.04.03.410
N051.36.15.568 W004.04.03.455
N051.36.15.458 W004.04.03.475
N051.36.15.277 W004.04.03.614
N051.36.15.130 W004.04.03.729
N051.36.14.589 W004.04.04.361
N051.36.13.860 W004.04.05.197
N051.36.11.930 W004.04.07.466
N051.36.10.848 W004.04.08.745
N051.36.10.712 W004.04.08.863
N051.36.10.608 W004.04.08.936
N051.36.10.529 W004.04.08.980
N051.36.10.464 W004.04.08.997
N051.36.10.386 W004.04.09.002
N051.36.10.300 W004.04.08.999
N051.36.10.206 W004.04.08.987
N051.36.10.088 W004.04.08.964
N051.36.09.962 W004.04.08.930
N051.36.09.845 W004.04.08.894
N051.36.09.692 W004.04.08.836
N051.36.09.520 W004.04.08.765
N051.36.09.055 W004.04.08.553
N051.36.08.573 W004.04.08.302
N051.36.08.026 W004.04.08.005
N051.36.07.678 W004.04.07.809
N051.36.07.175 W004.04.07.509
N051.36.08.486 W004.04.07.149

;Taxiway B
REGIONNAME Swansea
smrTaxiwayDarker N051.36.06.292 W004.04.09.336
N051.36.06.262 W004.04.09.413
N051.36.06.240 W004.04.09.485
N051.36.06.223 W004.04.09.611
N051.36.06.223 W004.04.09.708
N051.36.06.227 W004.04.09.792
N051.36.06.247 W004.04.09.885
N051.36.06.271 W004.04.09.978
N051.36.06.291 W004.04.10.033
N051.36.06.311 W004.04.10.073
N051.36.06.363 W004.04.10.132
N051.36.09.819 W004.04.14.053
N051.36.08.859 W004.04.15.348
N051.36.05.653 W004.04.11.696
N051.36.05.067 W004.04.10.494
N051.36.02.587 W004.04.07.678
N051.36.02.548 W004.04.06.356
N051.36.05.195 W004.04.09.345
N051.36.05.225 W004.04.09.362
N051.36.05.258 W004.04.09.372
N051.36.05.260 W004.04.09.372
N051.36.05.291 W004.04.09.379
N051.36.05.324 W004.04.09.375
N051.36.05.360 W004.04.09.360
N051.36.05.390 W004.04.09.341
N051.36.05.427 W004.04.09.315
N051.36.05.456 W004.04.09.284
N051.36.05.513 W004.04.09.233
N051.36.05.552 W004.04.09.187
N051.36.05.593 W004.04.09.144
N051.36.05.630 W004.04.09.096
N051.36.05.666 W004.04.09.052
N051.36.05.700 W004.04.09.006
N051.36.05.733 W004.04.08.968
N051.36.05.758 W004.04.08.924
N051.36.05.792 W004.04.08.865
N051.36.05.819 W004.04.08.821
N051.36.05.846 W004.04.08.766
N051.36.06.606 W004.04.07.026
N051.36.07.086 W004.04.07.553

;Taxiway C
REGIONNAME Swansea
smrTaxiwayDarker N051.36.05.457 W004.03.59.333
N051.36.05.834 W004.03.59.093
N051.36.06.853 W004.04.07.251
N051.36.06.435 W004.04.08.220
N051.36.06.208 W004.04.07.979
N051.36.06.501 W004.04.07.333

;Taxiway D
REGIONNAME Swansea
smrTaxiwayDarker N051.36.05.323 W004.03.59.148
N051.36.05.279 W004.03.58.944
N051.36.05.238 W004.03.58.780
N051.36.05.193 W004.03.58.449
N051.36.05.152 W004.03.58.172
N051.36.05.108 W004.03.57.836
N051.36.05.087 W004.03.57.539
N051.36.05.066 W004.03.57.269
N051.36.05.018 W004.03.56.709
N051.36.05.015 W004.03.56.714
N051.36.05.484 W004.03.56.617
N051.36.05.515 W004.03.56.656
N051.36.05.542 W004.03.56.695
N051.36.05.611 W004.03.56.728
N051.36.05.686 W004.03.56.733
N051.36.05.772 W004.03.56.711
N051.36.05.892 W004.03.56.656
N051.36.06.206 W004.03.56.382
N051.36.07.231 W004.03.55.408
N051.36.08.286 W004.03.54.591
N051.36.08.495 W004.03.54.447
N051.36.08.652 W004.03.55.044
N051.36.06.793 W004.03.56.461
N051.36.05.648 W004.03.57.302
N051.36.05.612 W004.03.57.351
N051.36.05.577 W004.03.57.438
N051.36.05.553 W004.03.57.547
N051.36.05.565 W004.03.57.772
N051.36.05.636 W004.03.58.306
N051.36.05.703 W004.03.58.719
N051.36.05.795 W004.03.59.086
N051.36.05.815 W004.03.59.148
N051.36.05.401 W004.03.59.419

;Runways
REGIONNAME Swansea
smrGrey N051.36.02.756 W004.04.21.883
N051.36.00.310 W004.03.47.039
N051.36.00.360 W004.03.46.820
N051.36.00.214 W004.03.44.663
N051.36.01.663 W004.03.44.118
N051.36.02.995 W004.04.04.649
N051.36.03.348 W004.04.09.316
N051.36.04.059 W004.04.19.932
N051.36.04.081 W004.04.20.049
N051.36.04.091 W004.04.20.140
N051.36.04.115 W004.04.20.179
N051.36.04.149 W004.04.20.206
N051.36.09.688 W004.04.13.703
N051.36.37.508 W004.03.40.909
N051.36.38.373 W004.03.42.870
N051.36.09.705 W004.04.16.610
N051.36.04.367 W004.04.22.947
N051.36.04.291 W004.04.23.039
N051.36.04.291 W004.04.23.161
N051.36.05.052 W004.04.33.909
N051.36.05.266 W004.04.37.252
N051.36.04.578 W004.04.37.315
N051.36.04.328 W004.04.37.354
N051.36.04.057 W004.04.37.370
N051.36.03.807 W004.04.37.330
N051.36.03.006 W004.04.25.034
N051.36.02.992 W004.04.24.981
N051.36.02.968 W004.04.24.912
N051.36.02.930 W004.04.24.858
N051.36.02.901 W004.04.24.774
N051.36.02.858 W004.04.24.766
N051.36.02.806 W004.04.24.827
N051.36.00.000 W004.04.28.074
N051.35.59.121 W004.04.26.193

;Buildings
REGIONNAME Swansea
smrGDBuilding N051.36.08.320 W004.04.00.448
N051.36.10.023 W004.03.59.677
N051.36.09.745 W004.03.58.136
N051.36.08.065 W004.03.58.872

REGIONNAME Swansea
smrGDBuilding N051.36.09.763 W004.03.57.916
N051.36.10.512 W004.03.57.378
N051.36.09.834 W004.03.54.861
N051.36.09.059 W004.03.55.410

REGIONNAME Swansea
smrGDBuilding N051.36.09.233 W004.04.04.912
N051.36.09.238 W004.04.04.990
N051.36.09.061 W004.04.05.041
N051.36.08.999 W004.04.04.506
N051.36.09.149 W004.04.04.467
