;Outer Border
REGIONNAME Manchester
N053.21.12.953 W002.16.19.853
N053.21.13.390 W002.16.20.162
N053.21.15.078 W002.16.22.011
N053.21.15.107 W002.16.22.203
N053.21.15.082 W002.16.22.459
N053.21.14.937 W002.16.22.718
N053.21.07.825 W002.16.37.515
N053.21.03.569 W002.16.46.239
N053.21.02.019 W002.16.46.556

; Air livery
REGIONNAME Manchester
smrCCborder N053.21.29.784 W002.16.50.787
N053.21.29.113 W002.16.49.825
N053.21.30.679 W002.16.45.761
N053.21.30.952 W002.16.45.672
N053.21.31.186 W002.16.49.536
N053.21.31.222 W002.16.50.228
N053.21.29.784 W002.16.50.787

; New tower
REGIONNAME Manchester
smrCCborder N053.21.26.765 W002.16.47.949
N053.21.25.218 W002.16.46.597
N053.21.25.101 W002.16.45.900
N053.21.25.056 W002.16.45.698
N053.21.25.038 W002.16.45.452
N053.21.25.030 W002.16.45.162
N053.21.25.013 W002.16.44.963
N053.21.25.042 W002.16.44.797
N053.21.25.088 W002.16.44.677
N053.21.25.126 W002.16.44.571
N053.21.25.191 W002.16.44.481
N053.21.25.293 W002.16.44.408
N053.21.25.462 W002.16.44.383
N053.21.25.671 W002.16.44.342
N053.21.28.572 W002.16.43.904
N053.21.29.652 W002.16.44.718
N053.21.29.781 W002.16.45.180
N053.21.28.387 W002.16.49.185
N053.21.26.765 W002.16.47.949

; Oceans sky2
REGIONNAME Manchester
smrCCborder N053.21.24.600 W002.16.46.675
N053.21.24.645 W002.16.46.033
N053.21.24.152 W002.16.44.737
N053.21.24.107 W002.16.44.651
N053.21.24.050 W002.16.44.609
N053.21.23.180 W002.16.44.928
N053.21.22.852 W002.16.45.163
N053.21.22.558 W002.16.45.464
N053.21.22.095 W002.16.46.132
N053.21.20.976 W002.16.48.373
N053.21.20.482 W002.16.49.423
N053.21.20.140 W002.16.50.127
N053.21.19.826 W002.16.50.670
N053.21.19.361 W002.16.51.390
N053.21.18.929 W002.16.51.966
N053.21.18.909 W002.16.52.217
N053.21.18.960 W002.16.52.473
N053.21.20.661 W002.16.52.176
N053.21.20.907 W002.16.51.970
N053.21.21.968 W002.16.49.751
N053.21.22.282 W002.16.50.089
N053.21.22.364 W002.16.52.545
N053.21.22.508 W002.16.52.494
N053.21.22.571 W002.16.51.327
N053.21.22.479 W002.16.48.740
N053.21.23.374 W002.16.46.865
N053.21.23.914 W002.16.46.771
N053.21.24.600 W002.16.46.675

; Ocean sky
REGIONNAME Manchester
smrCCborder N053.21.18.999 W002.16.54.610
N053.21.18.921 W002.16.54.357
N053.21.19.019 W002.16.53.249
N053.21.19.688 W002.16.53.126
N053.21.20.018 W002.16.53.108
N053.21.20.066 W002.16.53.723
N053.21.20.296 W002.16.54.695
N053.21.20.252 W002.16.54.720
N053.21.20.001 W002.16.53.780
N053.21.18.999 W002.16.54.610

;disused
;Disused #1
REGIONNAME Manchester
smrCCdisused N053.21.15.675 W002.16.34.728
N053.21.15.719 W002.16.30.249
N053.21.15.758 W002.16.28.954
N053.21.17.213 W002.16.25.903
N053.21.17.184 W002.16.34.783

;Disused #3
REGIONNAME Manchester
smrCCdisused N053.21.22.739 W002.16.14.486
N053.21.23.804 W002.16.12.288
N053.21.29.278 W002.16.08.966
N053.21.29.277 W002.16.08.964
N053.21.30.148 W002.16.08.498
N053.21.28.279 W002.16.12.653
N053.21.28.191 W002.16.12.394
N053.21.28.043 W002.16.12.188
N053.21.27.857 W002.16.12.048
N053.21.27.704 W002.16.12.013
N053.21.26.534 W002.16.12.138
N053.21.24.990 W002.16.12.982
N053.21.24.910 W002.16.12.949
N053.21.24.396 W002.16.13.256
N053.21.23.774 W002.16.13.689
N053.21.23.531 W002.16.13.872
N053.21.23.272 W002.16.14.097
N053.21.22.851 W002.16.14.479
N053.21.22.806 W002.16.14.598

;Disused #4
REGIONNAME Manchester
smrCCdisused N053.21.29.052 W002.16.06.558
N053.21.29.427 W002.16.05.275
N053.21.29.629 W002.16.05.352
N053.21.29.785 W002.16.05.025
N053.21.28.333 W002.16.03.098
N053.21.27.818 W002.16.04.189
N053.21.28.737 W002.16.05.607

;Disused #5
REGIONNAME Manchester
smrCCdisused N053.21.17.278 W002.16.17.917
N053.21.17.258 W002.16.12.900
N053.21.15.836 W002.16.15.680
N053.21.15.805 W002.16.20.996

;runway marking
;05L - 23_(1)
REGIONNAME Manchester
smrCompassbase N053.21.41.296 W002.15.34.236
N053.21.41.239 W002.15.34.366
N053.21.40.047 W002.15.32.761
N053.21.40.109 W002.15.32.630

;05L - 23R_(2)
REGIONNAME Manchester
smrCompassbase N053.20.50.620 W002.17.15.042
N053.20.51.804 W002.17.16.631
N053.20.51.746 W002.17.16.761
N053.20.50.568 W002.17.15.159

;23r
;arrow_1
;REGIONNAME Manchester
;smrCompassbase N053.21.43.555 W002.15.27.484
;N053.21.43.698 W002.15.27.054
;N053.21.43.772 W002.15.27.153
;arrow_2
;REGIONNAME Manchester
;smrCompassbase N053.21.42.490 W002.15.29.557
;N053.21.42.567 W002.15.29.653
;N053.21.42.336 W002.15.30.019
;arrow_3
;REGIONNAME Manchester
;smrCompassbase N053.21.41.255 W002.15.32.104
;N053.21.41.333 W002.15.32.198
;N053.21.41.116 W002.15.32.534

; 1
REGIONNAME Manchester
smrCompassbase N053.21.37.296 W002.15.41.466
N053.21.37.771 W002.15.40.501
N053.21.37.694 W002.15.40.393
N053.21.37.223 W002.15.41.360

; 2
REGIONNAME Manchester
smrCompassbase N053.21.36.779 W002.15.40.759
N053.21.37.240 W002.15.39.800
N053.21.37.159 W002.15.39.692
N053.21.36.694 W002.15.40.650

; 3
REGIONNAME Manchester
smrCompassbase N053.21.34.257 W002.15.47.776
N053.21.34.716 W002.15.46.823
N053.21.34.640 W002.15.46.717
N053.21.34.180 W002.15.47.670

; 4
REGIONNAME Manchester
smrCompassbase N053.21.33.724 W002.15.47.071
N053.21.34.186 W002.15.46.110
N053.21.34.102 W002.15.46.007
N053.21.33.652 W002.15.46.953

; 5
REGIONNAME Manchester
smrCompassbase N053.21.32.611 W002.15.50.929
N053.21.32.305 W002.15.51.568
N053.21.32.435 W002.15.51.743
N053.21.32.131 W002.15.52.377
N053.21.31.998 W002.15.52.202
N053.21.31.699 W002.15.52.835
N053.21.31.829 W002.15.53.003
N053.21.32.125 W002.15.52.400
N053.21.32.275 W002.15.52.592
N053.21.32.586 W002.15.51.930
N053.21.32.436 W002.15.51.737
N053.21.32.744 W002.15.51.112

; 6
REGIONNAME Manchester
smrCompassbase N053.21.31.232 W002.15.52.231
N053.21.31.546 W002.15.51.577
N053.21.31.410 W002.15.51.388
N053.21.31.703 W002.15.50.778
N053.21.31.847 W002.15.50.963
N053.21.32.151 W002.15.50.323
N053.21.32.012 W002.15.50.121
N053.21.31.708 W002.15.50.768
N053.21.31.575 W002.15.50.574
N053.21.31.266 W002.15.51.210
N053.21.31.400 W002.15.51.386
N053.21.31.097 W002.15.52.043

; 7
REGIONNAME Manchester
smrCompassbase N053.21.28.157 W002.16.00.405
N053.21.28.623 W002.15.59.430
N053.21.28.549 W002.15.59.332
N053.21.28.076 W002.16.00.296

; 8
REGIONNAME Manchester
smrCompassbase N053.21.27.622 W002.15.59.694
N053.21.28.084 W002.15.58.722
N053.21.28.009 W002.15.58.628
N053.21.27.548 W002.15.59.587

; 9
REGIONNAME Manchester
smrCompassbase N053.21.25.119 W002.16.06.710
N053.21.25.577 W002.16.05.751
N053.21.25.495 W002.16.05.638
N053.21.25.032 W002.16.06.603

; 10
REGIONNAME Manchester
smrCompassbase N053.21.24.582 W002.16.05.993
N053.21.25.044 W002.16.05.040
N053.21.24.962 W002.16.04.936
N053.21.24.505 W002.16.05.890

; 11
REGIONNAME Manchester
smrCompassbase N053.21.22.067 W002.16.13.010
N053.21.22.522 W002.16.12.068
N053.21.22.440 W002.16.11.964
N053.21.21.991 W002.16.12.907

; 12
REGIONNAME Manchester
smrCompassbase N053.21.21.990 W002.16.11.351
N053.21.21.918 W002.16.11.257
N053.21.21.464 W002.16.12.194
N053.21.21.543 W002.16.12.289
N053.21.21.990 W002.16.11.351

;02
REGIONNAME Manchester
smrCompassbase N053.21.38.842 W002.15.36.777
N053.21.38.893 W002.15.36.847
N053.21.38.942 W002.15.36.756
N053.21.38.971 W002.15.36.383
N053.21.39.058 W002.15.36.211
N053.21.39.184 W002.15.36.382
N053.21.39.130 W002.15.36.494
N053.21.39.039 W002.15.36.366
N053.21.39.015 W002.15.36.417
N053.21.38.986 W002.15.36.797
N053.21.38.876 W002.15.37.016
N053.21.38.755 W002.15.36.852
N053.21.38.837 W002.15.36.685
N053.21.38.865 W002.15.36.722

;03
REGIONNAME Manchester
smrCompassbase N053.21.39.119 W002.15.37.096
N053.21.39.100 W002.15.36.962
N053.21.39.189 W002.15.36.955
N053.21.39.301 W002.15.36.717
N053.21.39.207 W002.15.36.597
N053.21.39.260 W002.15.36.478
N053.21.39.391 W002.15.36.652
N053.21.39.217 W002.15.37.019
N053.21.39.138 W002.15.37.012
N053.21.39.163 W002.15.37.133
N053.21.39.079 W002.15.37.293
N053.21.38.958 W002.15.37.122
N053.21.39.007 W002.15.37.016
N053.21.39.097 W002.15.37.143

;R
REGIONNAME Manchester
smrCompassbase N053.21.39.625 W002.15.35.520
N053.21.39.509 W002.15.35.777
N053.21.39.535 W002.15.35.810
N053.21.39.688 W002.15.35.592
N053.21.39.722 W002.15.35.643
N053.21.39.564 W002.15.35.862
N053.21.39.591 W002.15.35.907
N053.21.39.412 W002.15.36.289
N053.21.39.286 W002.15.36.113
N053.21.39.589 W002.15.35.469

;0R
REGIONNAME Manchester
0 N053.21.39.451 W002.15.35.904
N053.21.39.499 W002.15.35.971
N053.21.39.431 W002.15.36.115
N053.21.39.380 W002.15.36.042

;1
REGIONNAME Manchester
smrCompassbase N053.21.41.009 W002.15.34.479
N053.21.41.045 W002.15.34.537
N053.21.40.444 W002.15.35.786
N053.21.40.399 W002.15.35.722

;2
REGIONNAME Manchester
smrCompassbase N053.21.40.305 W002.15.35.597
N053.21.40.918 W002.15.34.348
N053.21.40.957 W002.15.34.412
N053.21.40.348 W002.15.35.659

;3
REGIONNAME Manchester
smrCompassbase N053.21.40.213 W002.15.35.490
N053.21.40.828 W002.15.34.229
N053.21.40.866 W002.15.34.289
N053.21.40.258 W002.15.35.548

;4
REGIONNAME Manchester
smrCompassbase N053.21.40.776 W002.15.34.169
N053.21.40.167 W002.15.35.418
N053.21.40.125 W002.15.35.363
N053.21.40.733 W002.15.34.107

;5
REGIONNAME Manchester
smrCompassbase N053.21.40.686 W002.15.34.035
N053.21.40.080 W002.15.35.298
N053.21.40.037 W002.15.35.236
N053.21.40.638 W002.15.33.985

;6
REGIONNAME Manchester
smrCompassbase N053.21.40.596 W002.15.33.911
N053.21.39.989 W002.15.35.169
N053.21.39.948 W002.15.35.120
N053.21.40.561 W002.15.33.861

;7
REGIONNAME Manchester
smrCompassbase N053.21.40.466 W002.15.33.728
N053.21.39.851 W002.15.34.996
N053.21.39.812 W002.15.34.940
N053.21.40.423 W002.15.33.666

;8
REGIONNAME Manchester
smrCompassbase N053.21.39.717 W002.15.34.814
N053.21.40.327 W002.15.33.548
N053.21.40.369 W002.15.33.607
N053.21.39.761 W002.15.34.869

;9
REGIONNAME Manchester
smrCompassbase N053.21.40.274 W002.15.33.478
N053.21.39.672 W002.15.34.738
N053.21.39.628 W002.15.34.687
N053.21.40.236 W002.15.33.422

;10
REGIONNAME Manchester
smrCompassbase N053.21.39.541 W002.15.34.566
N053.21.40.143 W002.15.33.310
N053.21.40.191 W002.15.33.375
N053.21.39.579 W002.15.34.627

;11
REGIONNAME Manchester
smrCompassbase N053.21.39.445 W002.15.34.445
N053.21.40.055 W002.15.33.183
N053.21.40.098 W002.15.33.242
N053.21.39.490 W002.15.34.507

;12
REGIONNAME Manchester
smrCompassbase N053.21.40.013 W002.15.33.113
N053.21.39.398 W002.15.34.384
N053.21.39.355 W002.15.34.325
N053.21.39.968 W002.15.33.047

;05l
;arrow 1
REGIONNAME Manchester
smrCompassbase N053.20.50.160 W002.17.17.862
N053.20.50.377 W002.17.17.538
N053.20.50.228 W002.17.17.961

;arrow 2
REGIONNAME Manchester
smrCompassbase N053.20.48.679 W002.17.20.932
N053.20.48.890 W002.17.20.622
N053.20.48.749 W002.17.21.035

;arrow 3
REGIONNAME Manchester
smrCompassbase N053.20.47.187 W002.17.24.002
N053.20.47.397 W002.17.23.702
N053.20.47.262 W002.17.24.098

;arrow 4
REGIONNAME Manchester
smrCompassbase N053.20.45.710 W002.17.27.072
N053.20.45.919 W002.17.26.764
N053.20.45.780 W002.17.27.162

; 1
REGIONNAME Manchester
smrCompassbase N053.21.09.850 W002.16.38.289
N053.21.10.315 W002.16.37.322
N053.21.10.238 W002.16.37.213
N053.21.09.775 W002.16.38.182

; 2
REGIONNAME Manchester
smrCompassbase N053.21.09.327 W002.16.37.553
N053.21.09.779 W002.16.36.610
N053.21.09.709 W002.16.36.510
N053.21.09.252 W002.16.37.455

; 3
REGIONNAME Manchester
smrCompassbase N053.21.06.804 W002.16.44.582
N053.21.06.734 W002.16.44.478
N053.21.07.193 W002.16.43.514
N053.21.07.268 W002.16.43.620

; 4
REGIONNAME Manchester
smrCompassbase N053.21.06.732 W002.16.42.914
N053.21.06.653 W002.16.42.811
N053.21.06.204 W002.16.43.755
N053.21.06.280 W002.16.43.862

; 5
REGIONNAME Manchester
smrCompassbase N053.21.03.772 W002.16.50.890
N053.21.03.690 W002.16.50.796
N053.21.04.134 W002.16.49.842
N053.21.04.214 W002.16.49.939

; 6
REGIONNAME Manchester
smrCompassbase N053.21.03.224 W002.16.50.160
N053.21.03.672 W002.16.49.214
N053.21.03.604 W002.16.49.127
N053.21.03.153 W002.16.50.072

; 7
REGIONNAME Manchester
smrCompassbase N053.20.59.928 W002.16.58.552
N053.20.59.609 W002.16.59.205
N053.20.59.749 W002.16.59.395
N053.21.00.069 W002.16.58.742
N053.21.00.207 W002.16.58.921
N053.21.00.507 W002.16.58.305
N053.21.00.370 W002.16.58.126
N053.21.00.676 W002.16.57.494
N053.21.00.529 W002.16.57.301
N053.21.00.228 W002.16.57.940
N053.21.00.363 W002.16.58.118
N053.21.00.066 W002.16.58.731

; 8
REGIONNAME Manchester
smrCompassbase N053.20.59.164 W002.16.58.577
N053.20.59.464 W002.16.57.953
N053.20.59.332 W002.16.57.771
N053.20.59.637 W002.16.57.136
N053.20.59.774 W002.16.57.317
N053.21.00.077 W002.16.56.688
N053.20.59.941 W002.16.56.502
N053.20.59.637 W002.16.57.132
N053.20.59.491 W002.16.56.948
N053.20.59.191 W002.16.57.575
N053.20.59.330 W002.16.57.765
N053.20.59.024 W002.16.58.405

; 9
REGIONNAME Manchester
smrCompassbase N053.20.57.662 W002.17.03.500
N053.20.58.120 W002.17.02.556
N053.20.58.041 W002.17.02.458
N053.20.57.587 W002.17.03.397

; 10
REGIONNAME Manchester
smrCompassbase N053.20.57.121 W002.17.02.791
N053.20.57.587 W002.17.01.827
N053.20.57.519 W002.17.01.736
N053.20.57.054 W002.17.02.694

; 11
REGIONNAME Manchester
smrCompassbase N053.20.54.621 W002.17.09.785
N053.20.55.074 W002.17.08.849
N053.20.55.000 W002.17.08.755
N053.20.54.547 W002.17.09.690

; 12
REGIONNAME Manchester
smrCompassbase N053.20.54.092 W002.17.09.069
N053.20.54.550 W002.17.08.128
N053.20.54.470 W002.17.08.029
N053.20.54.024 W002.17.08.971
N053.20.54.092 W002.17.09.069

;0
REGIONNAME Manchester
smrCompassbase N053.20.52.606 W002.17.13.102
N053.20.52.899 W002.17.12.473
N053.20.53.035 W002.17.12.648
N053.20.52.739 W002.17.13.278

;0_()
REGIONNAME Manchester
0 N053.20.52.688 W002.17.13.033
N053.20.52.886 W002.17.12.618
N053.20.52.957 W002.17.12.701
N053.20.52.759 W002.17.13.123

;5
REGIONNAME Manchester
smrCompassbase N053.20.52.810 W002.17.12.341
N053.20.52.672 W002.17.12.633
N053.20.52.577 W002.17.12.494
N053.20.52.460 W002.17.12.743
N053.20.52.551 W002.17.12.858
N053.20.52.505 W002.17.12.960
N053.20.52.381 W002.17.12.800
N053.20.52.597 W002.17.12.346
N053.20.52.690 W002.17.12.468
N053.20.52.721 W002.17.12.401
N053.20.52.633 W002.17.12.284
N053.20.52.685 W002.17.12.168

;L
REGIONNAME Manchester
smrCompassbase N053.20.52.212 W002.17.14.029
N053.20.52.078 W002.17.13.851
N053.20.52.131 W002.17.13.744
N053.20.52.221 W002.17.13.864
N053.20.52.475 W002.17.13.341
N053.20.52.516 W002.17.13.400

;1
REGIONNAME Manchester
smrCompassbase N053.20.51.770 W002.17.16.360
N053.20.52.380 W002.17.15.098
N053.20.52.428 W002.17.15.156
N053.20.51.816 W002.17.16.417

;2
REGIONNAME Manchester
smrCompassbase N053.20.51.686 W002.17.16.241
N053.20.52.294 W002.17.14.976
N053.20.52.334 W002.17.15.029
N053.20.51.722 W002.17.16.287

; 3
REGIONNAME Manchester
smrCompassbase N053.20.51.633 W002.17.16.168
N053.20.51.586 W002.17.16.107
N053.20.52.200 W002.17.14.844
N053.20.52.246 W002.17.14.912

;4
REGIONNAME Manchester
smrCompassbase N053.20.51.498 W002.17.15.992
N053.20.52.118 W002.17.14.719
N053.20.52.157 W002.17.14.777
N053.20.51.541 W002.17.16.050

; 5
REGIONNAME Manchester
smrCompassbase N053.20.51.452 W002.17.15.919
N053.20.51.408 W002.17.15.866
N053.20.52.025 W002.17.14.610
N053.20.52.064 W002.17.14.666
N053.20.51.452 W002.17.15.919

;6
REGIONNAME Manchester
smrCompassbase N053.20.51.317 W002.17.15.745
N053.20.51.933 W002.17.14.479
N053.20.51.977 W002.17.14.538
N053.20.51.361 W002.17.15.804

;7
REGIONNAME Manchester
smrCompassbase N053.20.51.182 W002.17.15.559
N053.20.51.800 W002.17.14.297
N053.20.51.844 W002.17.14.356
N053.20.51.230 W002.17.15.622

;8
REGIONNAME Manchester
smrCompassbase N053.20.51.090 W002.17.15.438
N053.20.51.706 W002.17.14.171
N053.20.51.754 W002.17.14.232
N053.20.51.134 W002.17.15.495

;9
REGIONNAME Manchester
smrCompassbase N053.20.51.001 W002.17.15.319
N053.20.51.611 W002.17.14.058
N053.20.51.658 W002.17.14.118
N053.20.51.045 W002.17.15.376

;10
REGIONNAME Manchester
smrCompassbase N053.20.50.910 W002.17.15.199
N053.20.51.525 W002.17.13.931
N053.20.51.570 W002.17.13.988
N053.20.50.955 W002.17.15.253

;11
REGIONNAME Manchester
smrCompassbase N053.20.51.434 W002.17.13.814
N053.20.51.482 W002.17.13.875
N053.20.50.865 W002.17.15.133
N053.20.50.817 W002.17.15.075

;12
REGIONNAME Manchester
smrCompassbase N053.20.51.385 W002.17.13.748
N053.20.50.778 W002.17.15.013
N053.20.50.752 W002.17.14.984
N053.20.51.365 W002.17.13.718

;
;23L
;05R_-_23L_(1)
REGIONNAME Manchester
smrCompassbase N053.20.53.913 W002.16.38.699
N053.20.52.749 W002.16.37.134
N053.20.52.809 W002.16.37.017
N053.20.53.973 W002.16.38.568

;2(23L)
REGIONNAME Manchester
smrCompassbase N053.20.51.561 W002.16.41.183
N053.20.51.622 W002.16.41.258
N053.20.51.664 W002.16.41.165
N053.20.51.696 W002.16.40.791
N053.20.51.784 W002.16.40.618
N053.20.51.913 W002.16.40.781
N053.20.51.860 W002.16.40.900
N053.20.51.766 W002.16.40.779
N053.20.51.744 W002.16.40.823
N053.20.51.711 W002.16.41.206
N053.20.51.610 W002.16.41.415
N053.20.51.474 W002.16.41.244
N053.20.51.557 W002.16.41.074
N053.20.51.596 W002.16.41.124

;3(23L)
REGIONNAME Manchester
smrCompassbase N053.20.51.831 W002.16.41.544
N053.20.51.857 W002.16.41.502
N053.20.51.845 W002.16.41.323
N053.20.51.944 W002.16.41.316
N053.20.52.034 W002.16.41.126
N053.20.51.946 W002.16.41.008
N053.20.51.997 W002.16.40.901
N053.20.52.126 W002.16.41.068
N053.20.51.973 W002.16.41.397
N053.20.51.897 W002.16.41.397
N053.20.51.907 W002.16.41.523
N053.20.51.816 W002.16.41.703
N053.20.51.692 W002.16.41.536
N053.20.51.740 W002.16.41.428

;L(23L)
REGIONNAME Manchester
smrCompassbase N053.20.52.316 W002.16.39.873
N053.20.52.445 W002.16.40.048
N053.20.52.397 W002.16.40.155
N053.20.52.304 W002.16.40.038
N053.20.52.045 W002.16.40.557
N053.20.52.009 W002.16.40.505

;arrow_1
REGIONNAME Manchester
smrCompassbase N053.20.58.888 W002.16.26.532
N053.20.58.864 W002.16.26.510
N053.20.59.295 W002.16.25.642
N053.20.59.309 W002.16.25.657

;1
REGIONNAME Manchester
smrCompassbase N053.20.52.732 W002.16.37.513
N053.20.52.125 W002.16.38.779
N053.20.52.088 W002.16.38.733
N053.20.52.696 W002.16.37.471

;2
REGIONNAME Manchester
smrCompassbase N053.20.52.828 W002.16.37.640
N053.20.52.212 W002.16.38.907
N053.20.52.168 W002.16.38.846
N053.20.52.781 W002.16.37.587

;3
REGIONNAME Manchester
smrCompassbase N053.20.52.254 W002.16.38.967
N053.20.52.869 W002.16.37.701
N053.20.52.915 W002.16.37.768
N053.20.52.305 W002.16.39.027

;4
REGIONNAME Manchester
smrCompassbase N053.20.52.396 W002.16.39.148
N053.20.52.350 W002.16.39.093
N053.20.52.954 W002.16.37.833
N053.20.53.006 W002.16.37.893

;5
REGIONNAME Manchester
smrCompassbase N053.20.53.099 W002.16.38.021
N053.20.52.488 W002.16.39.272
N053.20.52.444 W002.16.39.212
N053.20.53.051 W002.16.37.957

;6
REGIONNAME Manchester
smrCompassbase N053.20.53.190 W002.16.38.129
N053.20.52.579 W002.16.39.400
N053.20.52.529 W002.16.39.342
N053.20.53.143 W002.16.38.073

;7
REGIONNAME Manchester
smrCompassbase N053.20.53.326 W002.16.38.314
N053.20.52.718 W002.16.39.575
N053.20.52.668 W002.16.39.508
N053.20.53.281 W002.16.38.248

;8
REGIONNAME Manchester
smrCompassbase N053.20.53.417 W002.16.38.448
N053.20.52.810 W002.16.39.704
N053.20.52.761 W002.16.39.634
N053.20.53.365 W002.16.38.389

;9
REGIONNAME Manchester
smrCompassbase N053.20.53.508 W002.16.38.558
N053.20.52.893 W002.16.39.819
N053.20.52.849 W002.16.39.761
N053.20.53.463 W002.16.38.499

;10
REGIONNAME Manchester
smrCompassbase N053.20.53.597 W002.16.38.686
N053.20.52.981 W002.16.39.953
N053.20.52.939 W002.16.39.887
N053.20.53.546 W002.16.38.625

;11
REGIONNAME Manchester
smrCompassbase N053.20.53.686 W002.16.38.803
N053.20.53.074 W002.16.40.070
N053.20.53.029 W002.16.40.014
N053.20.53.639 W002.16.38.746

;12
REGIONNAME Manchester
smrCompassbase N053.20.53.730 W002.16.38.873
N053.20.53.775 W002.16.38.935
N053.20.53.164 W002.16.40.196
N053.20.53.120 W002.16.40.135

; 1
REGIONNAME Manchester
smrCompassbase N053.20.50.548 W002.16.44.661
N053.20.50.477 W002.16.44.555
N053.20.50.019 W002.16.45.516
N053.20.50.092 W002.16.45.610

; 2
REGIONNAME Manchester
smrCompassbase N053.20.50.021 W002.16.43.956
N053.20.49.950 W002.16.43.849
N053.20.49.490 W002.16.44.798
N053.20.49.564 W002.16.44.904

; 3
REGIONNAME Manchester
smrCompassbase N053.20.47.045 W002.16.51.919
N053.20.46.963 W002.16.51.819
N053.20.47.424 W002.16.50.864
N053.20.47.501 W002.16.50.974

; 4
REGIONNAME Manchester
smrCompassbase N053.20.46.513 W002.16.51.202
N053.20.46.439 W002.16.51.100
N053.20.46.897 W002.16.50.151
N053.20.46.976 W002.16.50.252

; 5
REGIONNAME Manchester
smrCompassbase N053.20.45.534 W002.16.55.269
N053.20.45.396 W002.16.55.077
N053.20.45.084 W002.16.55.706
N053.20.45.225 W002.16.55.897
N053.20.44.924 W002.16.56.522
N053.20.44.782 W002.16.56.325
N053.20.44.475 W002.16.56.966
N053.20.44.622 W002.16.57.152
N053.20.44.924 W002.16.56.526
N053.20.45.056 W002.16.56.709
N053.20.45.368 W002.16.56.074
N053.20.45.225 W002.16.55.892

; 6
REGIONNAME Manchester
smrCompassbase N053.20.44.944 W002.16.54.466
N053.20.44.801 W002.16.54.270
N053.20.44.497 W002.16.54.906
N053.20.44.357 W002.16.54.723
N053.20.44.052 W002.16.55.366
N053.20.44.192 W002.16.55.544
N053.20.43.888 W002.16.56.170
N053.20.44.029 W002.16.56.354
N053.20.44.332 W002.16.55.713
N053.20.44.192 W002.16.55.539
N053.20.44.497 W002.16.54.906
N053.20.44.632 W002.16.55.094

; 7
REGIONNAME Manchester
smrCompassbase N053.20.41.401 W002.17.03.595
N053.20.41.323 W002.17.03.493
N053.20.40.867 W002.17.04.430
N053.20.40.946 W002.17.04.537

; 8
REGIONNAME Manchester
smrCompassbase N053.20.40.416 W002.17.03.823
N053.20.40.337 W002.17.03.721
N053.20.40.805 W002.17.02.772
N053.20.40.875 W002.17.02.872

; 9
REGIONNAME Manchester
smrCompassbase N053.20.37.902 W002.17.10.839
N053.20.38.353 W002.17.09.907
N053.20.38.274 W002.17.09.794
N053.20.37.820 W002.17.10.736

; 10
REGIONNAME Manchester
smrCompassbase N053.20.37.822 W002.17.09.182
N053.20.37.749 W002.17.09.077
N053.20.37.290 W002.17.10.030
N053.20.37.366 W002.17.10.125

; 11
REGIONNAME Manchester
smrCompassbase N053.20.34.851 W002.17.17.146
N053.20.34.771 W002.17.17.036
N053.20.35.230 W002.17.16.083
N053.20.35.304 W002.17.16.203

; 12
REGIONNAME Manchester
smrCompassbase N053.20.34.310 W002.17.16.433
N053.20.34.239 W002.17.16.326
N053.20.34.696 W002.17.15.372
N053.20.34.773 W002.17.15.483
N053.20.34.310 W002.17.16.433

;05R
;0
REGIONNAME Manchester
smrCompassbase N053.19.56.504 W002.18.35.551
N053.19.56.801 W002.18.34.924
N053.19.56.933 W002.18.35.095
N053.19.56.627 W002.18.35.725

;0()
REGIONNAME Manchester
0 N053.19.56.590 W002.18.35.489
N053.19.56.790 W002.18.35.079
N053.19.56.847 W002.18.35.152
N053.19.56.644 W002.18.35.562

;05
REGIONNAME Manchester
smrCompassbase N053.19.56.289 W002.18.35.255
N053.19.56.500 W002.18.34.811
N053.19.56.582 W002.18.34.925
N053.19.56.621 W002.18.34.854
N053.19.56.539 W002.18.34.730
N053.19.56.591 W002.18.34.620
N053.19.56.719 W002.18.34.794
N053.19.56.571 W002.18.35.084
N053.19.56.482 W002.18.34.969
N053.19.56.373 W002.18.35.198
N053.19.56.458 W002.18.35.318
N053.19.56.404 W002.18.35.422

;R
REGIONNAME Manchester
smrCompassbase N053.19.56.058 W002.18.36.395
N053.19.56.184 W002.18.36.134
N053.19.56.153 W002.18.36.096
N053.19.55.991 W002.18.36.330
N053.19.55.960 W002.18.36.282
N053.19.56.116 W002.18.36.053
N053.19.56.090 W002.18.36.016
N053.19.56.270 W002.18.35.651
N053.19.56.389 W002.18.35.820
N053.19.56.092 W002.18.36.438

;R_()
REGIONNAME Manchester
0 N053.19.56.182 W002.18.35.951
N053.19.56.250 W002.18.35.808
N053.19.56.301 W002.18.35.881
N053.19.56.236 W002.18.36.024

;1
REGIONNAME Manchester
smrCompassbase N053.19.55.373 W002.18.36.322
N053.19.54.794 W002.18.37.519
N053.19.54.747 W002.18.37.452
N053.19.55.324 W002.18.36.260

;2
REGIONNAME Manchester
smrCompassbase N053.19.55.460 W002.18.36.443
N053.19.54.887 W002.18.37.646
N053.19.54.839 W002.18.37.582
