;Outer Border
REGIONNAME Manchester
N053.20.02.648 W002.18.39.500
N053.20.02.662 W002.18.39.735
N053.20.02.708 W002.18.39.937
N053.20.03.365 W002.18.40.828
N053.20.03.273 W002.18.41.019
N053.20.02.658 W002.18.40.168
N053.20.02.517 W002.18.40.119
N053.20.02.386 W002.18.40.120
N053.20.02.223 W002.18.40.271
N053.20.01.044 W002.18.42.693
N053.20.00.655 W002.18.43.272
N053.20.00.255 W002.18.43.573
N053.19.59.834 W002.18.43.717
N053.19.59.357 W002.18.43.679
N053.19.58.975 W002.18.43.508
N053.19.58.761 W002.18.43.347
N053.19.58.583 W002.18.43.162

;runway
; 05l/23r
REGIONNAME Manchester
smrTaxiway N053.20.51.743 W002.17.16.766
N053.20.50.533 W002.17.15.137
N053.21.40.080 W002.15.32.582
N053.21.41.296 W002.15.34.227

; 05r/23l
REGIONNAME Manchester
smrTaxiway N053.20.53.925 W002.16.38.576
N053.20.52.789 W002.16.37.051
N053.19.54.603 W002.18.37.357
N053.19.55.738 W002.18.38.945
N053.20.53.925 W002.16.38.576

; y_w_loop grass
REGIONNAME Manchester
smrCCgrass N053.19.56.737 W002.18.37.544
N053.20.00.190 W002.18.30.404
N053.20.00.296 W002.18.30.485
N053.20.00.415 W002.18.30.565
N053.20.00.568 W002.18.30.647
N053.20.00.701 W002.18.30.706
N053.20.00.827 W002.18.30.756
N053.20.00.961 W002.18.30.715
N053.20.01.113 W002.18.30.741
N053.20.01.255 W002.18.30.688
N053.20.01.398 W002.18.30.685
N053.20.02.599 W002.18.32.524
N053.20.02.785 W002.18.32.849
N053.20.02.910 W002.18.33.111
N053.20.03.014 W002.18.33.333
N053.20.03.121 W002.18.33.616
N053.20.03.268 W002.18.33.944
N053.20.03.319 W002.18.34.171
N053.20.03.359 W002.18.34.483
N053.20.03.371 W002.18.34.766
N053.20.03.323 W002.18.35.037
N053.20.02.910 W002.18.36.529
N053.20.01.939 W002.18.38.778
N053.20.00.912 W002.18.40.700
N053.20.00.335 W002.18.41.423
N053.20.00.065 W002.18.41.747
N053.19.59.896 W002.18.41.876
N053.19.59.754 W002.18.41.913
N053.19.59.620 W002.18.41.934
N053.19.59.481 W002.18.41.930
N053.19.59.332 W002.18.41.821
N053.19.59.106 W002.18.41.645
N053.19.58.640 W002.18.41.286
N053.19.58.447 W002.18.41.101
N053.19.58.252 W002.18.40.886
N053.19.58.045 W002.18.40.638
N053.19.57.847 W002.18.40.392
N053.19.57.339 W002.18.39.592
N053.19.56.681 W002.18.38.195
N053.19.56.830 W002.18.38.056
N053.19.56.826 W002.18.37.677

; v_23L grass
REGIONNAME Manchester
smrCCgrass N053.20.41.253 W002.17.07.162
N053.20.47.105 W002.17.03.350
N053.20.47.844 W002.17.02.830
N053.20.48.271 W002.17.02.482
N053.20.48.673 W002.17.02.133
N053.20.49.035 W002.17.01.882
N053.20.49.284 W002.17.01.466
N053.20.49.669 W002.17.00.877
N053.20.50.519 W002.16.59.356
N053.20.54.314 W002.16.51.492
N053.20.50.823 W002.16.53.685
N053.20.47.540 W002.16.56.178
N053.20.46.592 W002.16.57.001
N053.20.45.747 W002.16.57.824
N053.20.45.091 W002.16.58.597
N053.20.44.397 W002.16.59.409
N053.20.43.895 W002.17.00.007
N053.20.40.639 W002.17.06.711
N053.20.40.724 W002.17.06.963
N053.20.40.850 W002.17.07.131
N053.20.40.987 W002.17.07.235

; u_v_23L grass
REGIONNAME Manchester
smrCCgrass N053.20.46.758 W002.16.54.127
N053.20.52.392 W002.16.42.445
N053.20.52.510 W002.16.42.341
N053.20.52.720 W002.16.42.250
N053.20.52.950 W002.16.42.202
N053.20.53.206 W002.16.42.184
N053.20.53.475 W002.16.42.199
N053.20.53.726 W002.16.42.258
N053.20.53.980 W002.16.42.361
N053.20.54.240 W002.16.42.497
N053.20.54.487 W002.16.42.726
N053.20.54.762 W002.16.42.953
N053.20.54.998 W002.16.43.256
N053.20.55.234 W002.16.43.525
N053.20.55.509 W002.16.43.857
N053.20.55.705 W002.16.44.205
N053.20.55.953 W002.16.44.729
N053.20.56.158 W002.16.45.202
N053.20.56.349 W002.16.45.662
N053.20.56.353 W002.16.46.124
N053.20.56.329 W002.16.46.592
N053.20.56.101 W002.16.47.269
N053.20.55.900 W002.16.48.063
N053.20.55.605 W002.16.48.580
N053.20.55.090 W002.16.49.276
N053.20.54.366 W002.16.49.951
N053.20.53.598 W002.16.50.502
N053.20.48.104 W002.16.54.087
N053.20.47.853 W002.16.54.177
N053.20.47.261 W002.16.54.558
N053.20.47.124 W002.16.54.556
N053.20.46.973 W002.16.54.524
N053.20.46.834 W002.16.54.342
N053.20.46.758 W002.16.54.127

; vb_u_23L grass
REGIONNAME Manchester
smrCCgrass N053.20.53.840 W002.16.39.414
N053.20.54.974 W002.16.37.127
N053.20.55.024 W002.16.37.039
N053.20.55.105 W002.16.37.000
N053.20.55.187 W002.16.36.960
N053.20.55.402 W002.16.36.873
N053.20.55.513 W002.16.36.855
N053.20.55.628 W002.16.36.828
N053.20.55.820 W002.16.36.843
N053.20.55.979 W002.16.36.873
N053.20.56.322 W002.16.36.894
N053.20.57.568 W002.16.37.053
N053.21.00.885 W002.16.37.930
N053.20.59.726 W002.16.40.322
N053.20.58.655 W002.16.42.352
N053.20.57.846 W002.16.43.359
N053.20.57.728 W002.16.43.496
N053.20.57.512 W002.16.43.548
N053.20.57.317 W002.16.43.529
N053.20.57.174 W002.16.43.491
N053.20.57.008 W002.16.43.391
N053.20.56.346 W002.16.42.864
N053.20.56.232 W002.16.42.764
N053.20.55.980 W002.16.42.456
N053.20.54.663 W002.16.40.881
N053.20.54.418 W002.16.40.554
N053.20.54.293 W002.16.40.385
N053.20.54.125 W002.16.40.173
N053.20.54.048 W002.16.40.035
N053.20.53.953 W002.16.39.899
N053.20.53.887 W002.16.39.763
N053.20.53.836 W002.16.39.618

; vb2_va2 grass
REGIONNAME Manchester
smrCCgrass N053.20.58.948 W002.16.36.032
N053.20.59.883 W002.16.34.104
N053.21.01.035 W002.16.31.979
N053.21.01.323 W002.16.31.617
N053.21.01.770 W002.16.31.053
N053.21.01.882 W002.16.30.936
N053.21.01.951 W002.16.30.892
N053.21.02.019 W002.16.30.833
N053.21.02.082 W002.16.30.805
N053.21.02.141 W002.16.30.785
N053.21.02.229 W002.16.30.758
N053.21.02.327 W002.16.30.764
N053.21.02.465 W002.16.30.800
N053.21.02.586 W002.16.30.876
N053.21.02.654 W002.16.30.959
N053.21.02.797 W002.16.31.155
N053.21.02.878 W002.16.31.275
N053.21.02.973 W002.16.31.512
N053.21.03.055 W002.16.31.724
N053.21.03.083 W002.16.32.036
N053.21.03.062 W002.16.32.287
N053.21.03.030 W002.16.32.632
N053.21.02.931 W002.16.33.039
N053.21.02.653 W002.16.33.991
N053.21.02.582 W002.16.34.210
N053.21.02.505 W002.16.34.421
N053.21.02.324 W002.16.34.739
N053.21.02.086 W002.16.35.135
N053.21.01.714 W002.16.35.686
N053.21.01.574 W002.16.35.877
N053.21.01.389 W002.16.36.058
N053.21.01.260 W002.16.36.143
N053.21.01.069 W002.16.36.217
N053.21.00.868 W002.16.36.196
N053.21.00.325 W002.16.36.285

; va2_vb1_23L grass
REGIONNAME Manchester
smrCCgrass N053.21.00.878 W002.16.29.953
N053.20.59.078 W002.16.29.625
N053.20.58.642 W002.16.29.679
N053.20.58.556 W002.16.29.682
N053.20.58.480 W002.16.29.802
N053.20.55.927 W002.16.35.117
N053.20.55.926 W002.16.35.207
N053.20.56.039 W002.16.35.230
N053.20.56.262 W002.16.35.253
N053.20.56.630 W002.16.35.295
N053.20.56.818 W002.16.35.320
N053.20.57.085 W002.16.35.327
N053.20.57.418 W002.16.35.284
N053.20.57.739 W002.16.35.250
N053.20.58.017 W002.16.35.121
N053.20.58.654 W002.16.34.308
N053.20.59.721 W002.16.32.375

; s_23l grass
REGIONNAME Manchester
smrCCgrass N053.20.59.292 W002.16.28.192
N053.21.01.755 W002.16.23.072
N053.21.03.090 W002.16.22.504
N053.21.04.798 W002.16.21.872
N053.21.03.285 W002.16.25.028
N053.21.02.089 W002.16.27.208
N053.21.01.489 W002.16.28.058
N053.21.01.304 W002.16.28.157
N053.21.01.157 W002.16.28.254
N053.21.00.928 W002.16.28.203
N053.21.00.746 W002.16.28.267
N053.21.00.266 W002.16.28.340
N053.20.59.870 W002.16.28.248

; s_v grass
REGIONNAME Manchester
smrCCgrass N053.21.03.773 W002.16.26.355
N053.21.04.657 W002.16.24.251
N053.21.05.663 W002.16.22.404
N053.21.06.160 W002.16.21.754
N053.21.06.715 W002.16.21.404
N053.21.08.184 W002.16.20.768
N053.21.09.392 W002.16.20.306
N053.21.06.713 W002.16.25.888
N053.21.06.440 W002.16.26.452
N053.21.05.365 W002.16.28.390
N053.21.04.659 W002.16.29.344
N053.21.04.410 W002.16.29.568
N053.21.04.294 W002.16.29.625
N053.21.04.157 W002.16.29.623
N053.21.04.045 W002.16.29.619
N053.21.03.955 W002.16.29.608
N053.21.03.878 W002.16.29.618
N053.21.03.741 W002.16.29.491
N053.21.03.587 W002.16.29.324
N053.21.03.479 W002.16.29.101
N053.21.03.382 W002.16.28.831
N053.21.03.337 W002.16.28.597
N053.21.03.301 W002.16.28.365
N053.21.03.319 W002.16.28.098
N053.21.03.358 W002.16.27.803
N053.21.03.444 W002.16.27.474
N053.21.03.528 W002.16.27.179
N053.21.03.629 W002.16.26.817
N053.21.03.698 W002.16.26.566

; dz1_fz1_23R grass
REGIONNAME Manchester
smrCCgrass N053.21.15.725 W002.16.21.204
N053.21.14.483 W002.16.19.530
N053.21.14.158 W002.16.19.149
N053.21.13.853 W002.16.18.872
N053.21.13.574 W002.16.18.591
N053.21.13.175 W002.16.18.407
N053.21.12.805 W002.16.18.237
N053.21.12.367 W002.16.18.149
N053.21.12.018 W002.16.18.159
N053.21.11.752 W002.16.18.217
N053.21.11.501 W002.16.18.249
N053.21.11.415 W002.16.18.300
N053.21.14.211 W002.16.12.493
N053.21.14.393 W002.16.12.163
N053.21.14.632 W002.16.11.664
N053.21.14.919 W002.16.11.166
N053.21.15.265 W002.16.10.520
N053.21.15.490 W002.16.10.181
N053.21.16.004 W002.16.09.518
N053.21.16.326 W002.16.09.209
N053.21.16.578 W002.16.09.130
N053.21.16.772 W002.16.09.177
N053.21.17.075 W002.16.09.328
N053.21.17.407 W002.16.09.629
N053.21.17.716 W002.16.09.883
N053.21.19.046 W002.16.11.423
N053.21.19.863 W002.16.12.526
N053.21.17.278 W002.16.17.917
N053.21.17.258 W002.16.12.900
N053.21.15.836 W002.16.15.680
N053.21.15.805 W002.16.20.996

; fz1_hz1_23R grass
REGIONNAME Manchester
smrCCgrass N053.21.16.903 W002.16.06.893
N053.21.18.756 W002.16.03.051
N053.21.18.982 W002.16.02.655
N053.21.19.682 W002.16.01.358
N053.21.20.086 W002.16.00.641
N053.21.20.329 W002.16.00.255
N053.21.20.708 W002.15.59.866
N053.21.21.150 W002.15.59.558
N053.21.21.668 W002.15.59.332
