;Grass BACKGROUND
N058.27.34.197 W003.06.05.414
N058.27.33.389 W003.06.06.145
N058.27.32.372 W003.06.07.112
N058.27.31.496 W003.06.07.910
N058.27.30.853 W003.06.08.493
N058.27.30.171 W003.06.09.053
N058.27.29.622 W003.06.09.482
N058.27.29.571 W003.06.09.615
N058.27.29.526 W003.06.09.761
N058.27.29.450 W003.06.09.956
N058.27.29.450 W003.06.10.199
N058.27.30.010 W003.06.12.659
N058.27.30.010 W003.06.13.292
N058.27.29.838 W003.06.13.462
N058.27.29.659 W003.06.13.182
N058.27.29.151 W003.06.11.246
N058.27.29.074 W003.06.10.868
N058.27.28.966 W003.06.10.599
N058.27.28.845 W003.06.10.392
N058.27.28.686 W003.06.10.221
N058.27.28.520 W003.06.10.256
N058.27.27.277 W003.06.11.062
N058.27.26.558 W003.06.11.485
N058.27.25.862 W003.06.11.774
N058.27.24.967 W003.06.12.146
N058.27.24.203 W003.06.12.435
N058.27.24.671 W003.06.15.250
N058.27.24.402 W003.06.15.483
N058.27.24.517 W003.06.15.508
N058.27.24.607 W003.06.15.520
N058.27.24.767 W003.06.15.827
N058.27.24.806 W003.06.16.170
N058.27.24.768 W003.06.16.539
N058.27.24.697 W003.06.16.749
N058.27.24.588 W003.06.16.934
N058.27.24.466 W003.06.17.008
N058.27.24.325 W003.06.17.021
N058.27.24.202 W003.06.16.923
N058.27.24.080 W003.06.16.726
N058.27.24.009 W003.06.16.492
N058.27.24.016 W003.06.16.197
N058.27.24.029 W003.06.15.956
N058.27.23.749 W003.06.16.155
N058.27.23.042 W003.06.12.915
N058.27.21.023 W003.06.13.663
N058.27.20.689 W003.06.16.707
N058.27.20.233 W003.06.16.559
N058.27.20.548 W003.06.13.786
N058.27.20.366 W003.06.13.851
N058.27.19.867 W003.06.13.958
N058.27.19.148 W003.06.14.141
N058.27.18.763 W003.06.14.158
N058.27.18.393 W003.06.14.023
N058.27.18.039 W003.06.13.767
N058.27.17.794 W003.06.13.420
N058.27.14.918 W003.06.08.583
N058.27.12.471 W003.06.04.108
N058.27.11.715 W003.06.02.721
N058.27.10.923 W003.06.01.297
N058.27.10.596 W003.06.00.627
N058.27.10.157 W003.05.59.271
N058.27.09.863 W003.05.58.204
N058.27.09.531 W003.05.56.624
N058.27.09.337 W003.05.55.612
N058.27.08.964 W003.05.53.343
N058.27.08.752 W003.05.51.402
N058.27.08.461 W003.05.48.203
N058.27.08.344 W003.05.45.655
N058.27.08.387 W003.05.44.021
N058.27.08.521 W003.05.42.272
N058.27.08.667 W003.05.41.071
N058.27.08.866 W003.05.39.409
N058.27.09.105 W003.05.37.988
N058.27.09.793 W003.05.34.757

;Taxiways
REGIONNAME Wick
smrTaxiwayDarker N058.27.26.122 W003.04.59.517
N058.27.25.742 W003.04.59.639
N058.27.25.314 W003.04.59.745
N058.27.24.825 W003.04.59.936
N058.27.24.514 W003.05.00.180
N058.27.24.165 W003.05.00.467
N058.27.23.809 W003.05.00.912
N058.27.23.460 W003.05.01.443
N058.27.23.089 W003.05.02.030
N058.27.22.874 W003.05.02.549
N058.27.22.399 W003.05.03.687
N058.27.22.018 W003.05.04.773
N058.27.21.545 W003.05.06.062
N058.27.21.438 W003.05.06.422
N058.27.21.392 W003.05.06.715
N058.27.21.451 W003.05.07.679
N058.27.21.457 W003.05.10.935
N058.27.21.149 W003.05.10.818
N058.27.21.045 W003.05.10.735
N058.27.20.946 W003.05.10.653
N058.27.20.823 W003.05.10.547
N058.27.20.681 W003.05.10.512
N058.27.20.502 W003.05.10.500
N058.27.20.385 W003.05.10.653
N058.27.20.268 W003.05.11.053
N058.27.20.083 W003.05.11.654
N058.27.19.843 W003.05.12.373
N058.27.19.584 W003.05.13.009
N058.27.19.113 W003.05.13.952
N058.27.16.095 W003.05.18.976
N058.27.15.938 W003.05.19.440
N058.27.15.836 W003.05.19.879
N058.27.15.683 W003.05.20.476
N058.27.15.600 W003.05.21.050
N058.27.15.524 W003.05.21.820
N058.27.15.492 W003.05.22.762
N058.27.15.371 W003.05.23.630
N058.27.15.179 W003.05.24.926
N058.27.14.975 W003.05.26.015
N058.27.14.694 W003.05.27.203
N058.27.14.451 W003.05.28.122
N058.27.14.169 W003.05.28.980
N058.27.13.791 W003.05.29.987
N058.27.13.245 W003.05.31.327
N058.27.12.815 W003.05.32.140
N058.27.12.345 W003.05.32.880
N058.27.11.747 W003.05.33.617
N058.27.11.644 W003.05.33.716
N058.27.11.342 W003.05.32.917
N058.27.11.477 W003.05.32.782
N058.27.11.824 W003.05.32.425
N058.27.12.242 W003.05.31.872
N058.27.12.628 W003.05.31.232
N058.27.12.956 W003.05.30.597
N058.27.13.249 W003.05.29.899
N058.27.13.621 W003.05.28.973
N058.27.13.851 W003.05.28.216
N058.27.14.088 W003.05.27.444
N058.27.14.349 W003.05.26.522
N058.27.14.610 W003.05.25.268
N058.27.14.871 W003.05.23.773
N058.27.14.966 W003.05.23.064
N058.27.14.997 W003.05.22.612
N058.27.14.981 W003.05.22.280
N058.27.14.910 W003.05.21.979
N058.27.14.745 W003.05.21.753
N058.27.14.563 W003.05.21.662
N058.27.14.382 W003.05.21.617
N058.27.14.216 W003.05.21.678
N058.27.13.822 W003.05.22.251
N058.27.13.664 W003.05.22.251
N058.27.13.498 W003.05.21.738
N058.27.13.561 W003.05.21.557
N058.27.13.648 W003.05.21.467
N058.27.16.027 W003.05.17.732
N058.27.16.109 W003.05.17.599
N058.27.16.159 W003.05.17.491
N058.27.16.209 W003.05.17.299
N058.27.16.247 W003.05.17.119
N058.27.16.228 W003.05.16.904
N058.27.16.159 W003.05.16.736
N058.27.15.958 W003.05.16.425
N058.27.15.851 W003.05.16.269
N058.27.16.100 W003.05.15.406
N058.27.16.308 W003.05.15.610
N058.27.16.554 W003.05.15.837
N058.27.16.680 W003.05.15.968
N058.27.16.900 W003.05.16.051
N058.27.17.088 W003.05.16.015
N058.27.17.276 W003.05.15.835
N058.27.17.533 W003.05.15.452
N058.27.18.971 W003.05.12.992
N058.27.19.084 W003.05.12.764
N058.27.19.191 W003.05.12.523
N058.27.19.310 W003.05.12.223
N058.27.19.461 W003.05.11.791
N058.27.19.838 W003.05.10.673
N058.27.20.076 W003.05.09.881
N058.27.20.202 W003.05.09.448
N058.27.20.246 W003.05.09.220
N058.27.20.273 W003.05.08.998
N058.27.20.288 W003.05.08.528
N058.27.20.333 W003.05.05.320
N058.27.20.804 W003.05.05.399
N058.27.20.895 W003.05.05.414
N058.27.20.984 W003.05.05.407
N058.27.21.130 W003.05.05.369
N058.27.21.275 W003.05.05.280
N058.27.21.395 W003.05.05.077
N058.27.21.759 W003.05.03.912
N058.27.22.342 W003.05.02.442
N058.27.22.853 W003.05.01.366
N058.27.23.336 W003.05.00.568
N058.27.23.707 W003.04.59.997
N058.27.24.211 W003.04.59.477
N058.27.24.515 W003.04.59.224
N058.27.24.886 W003.04.58.996
N058.27.25.357 W003.04.58.806
N058.27.25.731 W003.04.58.715
N058.27.25.977 W003.04.58.665
N058.27.26.248 W003.04.58.635
N058.27.26.687 W003.04.58.605
N058.27.27.147 W003.04.58.695
N058.27.27.079 W003.04.59.644
N058.27.26.646 W003.04.59.562

;Main Apron
REGIONNAME Wick
smrApron N058.27.12.849 W003.05.23.103
N058.27.12.904 W003.05.22.874
N058.27.12.950 W003.05.22.654
N058.27.12.941 W003.05.22.486
N058.27.12.890 W003.05.22.363
N058.27.12.789 W003.05.22.178
N058.27.12.364 W003.05.21.525
N058.27.12.254 W003.05.21.261
N058.27.12.084 W003.05.20.881
N058.27.11.997 W003.05.20.617
N058.27.11.955 W003.05.20.317
N058.27.11.942 W003.05.20.071
N058.27.11.969 W003.05.19.683
N058.27.12.001 W003.05.19.349
N058.27.12.056 W003.05.19.067
N058.27.12.148 W003.05.18.829
N058.27.12.240 W003.05.18.617
N058.27.12.052 W003.05.18.221
N058.27.11.974 W003.05.18.054
N058.27.13.689 W003.05.15.297
N058.27.13.534 W003.05.14.905
N058.27.13.889 W003.05.14.338
