;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.44.314 W007.09.22.841
N055.02.44.151 W007.09.22.960
N055.02.43.981 W007.09.23.000
N055.02.43.815 W007.09.22.953
N055.02.43.649 W007.09.22.821
N055.02.43.543 W007.09.22.597
N055.02.43.444 W007.09.22.373
N055.02.43.407 W007.09.22.102
N055.02.43.407 W007.09.21.726
N055.02.43.494 W007.09.21.324
N055.02.43.599 W007.09.21.087
N055.02.43.694 W007.09.20.941
N055.02.43.837 W007.09.20.856
N055.02.44.057 W007.09.20.790
N055.02.44.234 W007.09.20.783
N055.02.44.208 W007.09.20.044
N055.02.44.132 W007.09.20.018
N055.02.43.989 W007.09.19.154
N055.02.45.119 W007.09.18.503
N055.02.45.134 W007.09.18.174
N055.02.45.300 W007.09.17.778
N055.02.45.833 W007.09.17.256
N055.02.46.260 W007.09.16.597
N055.02.45.816 W007.09.13.753
N055.02.44.887 W007.09.14.228
N055.02.44.936 W007.09.14.512
N055.02.44.584 W007.09.14.710
N055.02.44.445 W007.09.13.879
N055.02.44.819 W007.09.13.865
N055.02.45.737 W007.09.13.351
N055.02.45.624 W007.09.12.665
N055.02.44.932 W007.09.13.087
N055.02.44.637 W007.09.13.212
N055.02.44.524 W007.09.13.344
N055.02.44.452 W007.09.13.529
N055.02.44.426 W007.09.13.753
N055.02.44.626 W007.09.14.987
N055.02.44.747 W007.09.14.954
N055.02.44.959 W007.09.16.431
N055.02.44.286 W007.09.16.808
N055.02.44.059 W007.09.15.567
N055.02.43.829 W007.09.15.653
N055.02.43.621 W007.09.14.327
N055.02.44.074 W007.09.14.116
N055.02.44.085 W007.09.13.938
N055.02.44.097 W007.09.13.753
N055.02.44.150 W007.09.13.391
N055.02.44.373 W007.09.12.797
N055.02.44.667 W007.09.12.685
N055.02.45.060 W007.09.12.460
N055.02.45.567 W007.09.12.150
N055.02.44.149 W007.09.04.472
N055.02.43.177 W007.08.58.654
N055.02.43.540 W007.08.58.462
N055.02.43.985 W007.09.01.151
N055.02.45.644 W007.09.10.168
N055.02.46.075 W007.09.12.668
N055.02.46.150 W007.09.12.958
N055.02.46.260 W007.09.13.248
N055.02.46.362 W007.09.13.499
N055.02.46.472 W007.09.13.538
N055.02.46.649 W007.09.13.565
N055.02.46.823 W007.09.13.499
N055.02.47.031 W007.09.13.459
N055.02.47.160 W007.09.13.525
N055.02.47.247 W007.09.13.716
N055.02.47.424 W007.09.14.680
N055.02.47.277 W007.09.14.765
N055.02.47.258 W007.09.14.528
N055.02.47.220 W007.09.14.350
N055.02.47.171 W007.09.14.112
N055.02.47.088 W007.09.13.947
N055.02.46.948 W007.09.13.881
N055.02.46.823 W007.09.13.914
N055.02.46.691 W007.09.14.027
N055.02.46.547 W007.09.14.198
N055.02.46.487 W007.09.14.409
N055.02.46.458 W007.09.14.793
N055.02.46.481 W007.09.15.150
N055.02.46.541 W007.09.15.526
N055.02.47.146 W007.09.19.002
N055.02.47.203 W007.09.19.306
N055.02.47.267 W007.09.19.444
N055.02.47.358 W007.09.19.536
N055.02.47.520 W007.09.19.583
N055.02.48.057 W007.09.19.206
N055.02.48.280 W007.09.19.114
N055.02.48.401 W007.09.19.114
N055.02.48.507 W007.09.19.200
N055.02.48.579 W007.09.19.371
N055.02.48.654 W007.09.19.760
N055.02.48.711 W007.09.20.084
N055.02.48.749 W007.09.20.169
N055.02.48.866 W007.09.20.163
N055.02.49.108 W007.09.21.350
N055.02.48.273 W007.09.21.799
N055.02.48.053 W007.09.20.499
N055.02.48.204 W007.09.20.387
N055.02.48.174 W007.09.20.203
N055.02.48.133 W007.09.20.018
N055.02.48.080 W007.09.19.906
N055.02.47.947 W007.09.19.860
N055.02.47.800 W007.09.19.886
N055.02.47.634 W007.09.19.978
N055.02.47.524 W007.09.20.071
N055.02.47.418 W007.09.20.203
N055.02.47.392 W007.09.20.420
N055.02.49.373 W007.09.32.795
N055.02.49.531 W007.09.33.752
N055.02.49.622 W007.09.34.247
N055.02.49.698 W007.09.34.491
N055.02.49.822 W007.09.35.183
N055.02.49.868 W007.09.35.546
N055.02.49.909 W007.09.35.856
N055.02.49.868 W007.09.36.008
N055.02.49.830 W007.09.36.219
N055.02.50.082 W007.09.38.699
N055.02.50.376 W007.09.45.527
N055.02.50.161 W007.09.45.540
N055.02.48.733 W007.09.43.220
N055.02.48.838 W007.09.43.253
N055.02.49.054 W007.09.43.279
N055.02.49.269 W007.09.43.233
N055.02.49.420 W007.09.43.095
N055.02.49.549 W007.09.42.870
N055.02.49.628 W007.09.42.666
N055.02.49.708 W007.09.42.402
N055.02.49.738 W007.09.42.131
N055.02.49.745 W007.09.40.509
N055.02.49.692 W007.09.39.077
N055.02.49.640 W007.09.38.041
N055.02.49.606 W007.09.37.784
N055.02.49.553 W007.09.37.540
N055.02.49.473 W007.09.37.296
N055.02.49.390 W007.09.37.091
N055.02.49.254 W007.09.36.940
N055.02.49.057 W007.09.36.775
N055.02.48.865 W007.09.36.748
N055.02.48.672 W007.09.36.814
N055.02.48.135 W007.09.37.108
N055.02.45.867 W007.09.38.329
N055.02.45.807 W007.09.38.395
N055.02.45.818 W007.09.38.507
N055.02.47.134 W007.09.40.677
N055.02.45.625 W007.09.41.532
N055.02.45.587 W007.09.41.446
N055.02.44.333 W007.09.39.355
N055.02.44.238 W007.09.39.230
N055.02.44.181 W007.09.39.223
N055.02.44.113 W007.09.39.256
N055.02.37.054 W007.09.43.052
N055.02.34.197 W007.09.44.625
N055.02.34.155 W007.09.44.718
N055.02.34.102 W007.09.44.790
N055.02.33.932 W007.09.45.081
N055.02.32.511 W007.09.45.806
N055.02.32.398 W007.09.45.648
N055.02.32.367 W007.09.45.582
N055.02.32.315 W007.09.45.555
N055.02.28.584 W007.09.47.715
N055.02.20.382 W007.09.52.180
N055.02.20.231 W007.09.52.305
N055.02.20.114 W007.09.52.424
N055.02.20.016 W007.09.52.562
N055.02.19.925 W007.09.52.793
N055.02.19.846 W007.09.53.123
N055.02.19.823 W007.09.53.459
N055.02.19.868 W007.09.53.776
N055.02.19.959 W007.09.54.093
N055.02.20.087 W007.09.54.310
N055.02.20.318 W007.09.54.567
N055.02.20.488 W007.09.54.713
N055.02.20.231 W007.09.55.471
N055.02.20.145 W007.09.55.377
N055.02.20.005 W007.09.55.229
N055.02.19.789 W007.09.55.000
N055.02.19.598 W007.09.54.742
N055.02.19.433 W007.09.54.446
N055.02.19.302 W007.09.53.840
N055.02.19.095 W007.09.52.857
N055.02.14.805 W007.09.55.308
N055.02.12.874 W007.09.56.284
N055.02.12.431 W007.09.53.795

;NW Disused Taxiway
REGIONNAME City of Derry
smrTEDisused N055.02.36.445 W007.09.58.008
N055.02.36.238 W007.09.58.335
N055.02.36.140 W007.09.58.498
N055.02.35.916 W007.09.59.108
N055.02.35.318 W007.10.00.741
N055.02.34.513 W007.10.03.219
N055.02.31.367 W007.10.12.891
N055.02.31.143 W007.10.13.388
N055.02.31.001 W007.10.13.629
N055.02.30.830 W007.10.13.835
N055.02.30.614 W007.10.13.970
N055.02.30.382 W007.10.14.034
N055.02.30.215 W007.10.14.041
N055.02.30.045 W007.10.14.034
N055.02.29.752 W007.10.13.962
N055.02.29.333 W007.10.13.784
N055.02.28.589 W007.10.13.372
N055.02.29.191 W007.10.10.994
N055.02.29.257 W007.10.11.927
N055.02.29.353 W007.10.12.415
N055.02.29.413 W007.10.12.711
N055.02.29.479 W007.10.12.842
N055.02.29.605 W007.10.13.013
N055.02.29.752 W007.10.13.148
N055.02.29.870 W007.10.13.269
N055.02.30.045 W007.10.13.333
N055.02.30.241 W007.10.13.340
N055.02.30.425 W007.10.13.312
N055.02.30.616 W007.10.13.205
N055.02.30.812 W007.10.12.920
