EGXC Coningsby SMAA         S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            ;oval
                            N053.12.13.389 W001.15.37.117 N053.18.58.322 W001.12.46.542 ; Radial 290
                            N053.18.58.322 W001.12.46.542 N053.25.19.235 W001.07.59.717 ; Radial 300
                            N053.25.19.235 W001.07.59.717 N053.31.04.335 W001.01.24.694 ; Radial 310
                            N053.31.04.335 W001.01.24.694 N053.36.02.860 W000.53.13.101 ; Radial 320
                            N053.36.02.860 W000.53.13.101 N053.40.05.443 W000.43.39.840 ; Radial 330
                            N053.40.05.443 W000.43.39.840 N053.43.04.429 W000.33.02.649 ; Radial 340
                            N053.43.04.429 W000.33.02.649 N053.44.54.148 W000.21.41.521 ; Radial 350
                            N053.44.54.148 W000.21.41.521 N053.45.31.000 W000.09.58.000
                            ;radials
                            N053.14.59.728 E000.00.20.312 N053.38.54.267 E000.26.32.151 ;213
                            N053.09.16.815 W000.27.54.263 N053.18.32.900 W001.12.57.250 ;109
                            N052.56.12.987 W000.15.15.864 N052.27.51.778 W000.31.17.288 ;019
                            ;07 FAVA
                            N053.06.05.015 W000.14.09.283 N053.03.42.409 W000.12.51.848
                            N053.06.05.015 W000.14.09.283 N053.04.47.477 W000.27.26.769
                            N053.04.47.477 W000.27.26.769 N053.00.02.265 W000.24.52.050
                            N053.03.42.409 W000.12.51.848 N053.00.02.265 W000.24.52.050
                            ;25 FAVA
                            N053.07.28.381 W000.07.04.146 N053.05.05.775 W000.05.46.670
                            N053.07.28.381 W000.07.04.146 N053.11.08.525 E000.04.58.029
                            N053.11.08.525 E000.04.58.029 N053.06.23.313 E000.07.33.130
                            N053.05.05.775 W000.05.46.670 N053.06.23.313 E000.07.33.130
                            ;belmont
                            N053.23.26.000 W000.10.34.000 N053.23.22.947 W000.09.41.681 ; Radial 10
                            N053.23.22.947 W000.09.41.681 N053.23.14.831 W000.08.50.958 ; Radial 20
                            N053.23.14.831 W000.08.50.958 N053.23.01.581 W000.08.03.376 ; Radial 30
                            N053.23.01.581 W000.08.03.376 N053.22.43.599 W000.07.20.385 ; Radial 40
                            N053.22.43.599 W000.07.20.385 N053.22.21.434 W000.06.43.292 ; Radial 50
                            N053.22.21.434 W000.06.43.292 N053.21.55.761 W000.06.13.225 ; Radial 60
                            N053.21.55.761 W000.06.13.225 N053.21.27.362 W000.05.51.953 ; Radial 70
                            N053.21.27.362 W000.05.51.953 N053.20.57.100 W000.05.37.571 ; Radial 80
                            N053.20.57.100 W000.05.37.571 N053.20.25.896 W000.05.33.597 ; Radial 90
                            N053.20.25.896 W000.05.33.597 N053.19.54.698 W000.05.37.691 ; Radial 100
                            N053.19.54.698 W000.05.37.691 N053.19.24.455 W000.05.51.321 ; Radial 110
                            N053.19.24.455 W000.05.51.321 N053.18.56.835 W000.06.13.530 ; Radial 120
                            N053.18.56.835 W000.06.13.530 N053.18.30.444 W000.06.43.639 ; Radial 130
                            N053.18.30.444 W000.06.43.639 N053.18.08.316 W000.07.20.732 ; Radial 140
                            N053.18.08.316 W000.07.20.732 N053.17.50.369 W000.08.03.681 ; Radial 150
                            N053.17.50.369 W000.08.03.681 N053.17.37.146 W000.08.51.185 ; Radial 160
                            N053.17.37.146 W000.08.51.185 N053.17.29.496 W000.09.41.802 ; Radial 170
                            N053.17.29.496 W000.09.41.802 N053.17.26.323 W000.10.33.999 ; Radial 180
                            N053.17.26.323 W000.10.33.999 N053.17.29.496 W000.11.26.197 ; Radial 190
                            N053.17.29.496 W000.11.26.197 N053.17.37.146 W000.12.16.814 ; Radial 200
                            N053.17.37.146 W000.12.16.814 N053.17.50.369 W000.13.04.317 ; Radial 210
                            N053.17.50.369 W000.13.04.317 N053.18.08.316 W000.13.47.266 ; Radial 220
                            N053.18.08.316 W000.13.47.266 N053.18.30.444 W000.14.24.359 ; Radial 230
                            N053.18.30.444 W000.14.24.359 N053.18.56.835 W000.14.54.468 ; Radial 240
                            N053.18.56.835 W000.14.54.468 N053.19.24.455 W000.15.16.677 ; Radial 250
                            N053.19.24.455 W000.15.16.677 N053.19.54.698 W000.15.30.307 ; Radial 260
                            N053.19.54.698 W000.15.30.307 N053.20.25.896 W000.15.34.939 ; Radial 270
                            N053.20.25.896 W000.15.34.939 N053.20.57.100 W000.15.30.427 ; Radial 280
                            N053.20.57.100 W000.15.30.427 N053.21.27.362 W000.15.16.903 ; Radial 290
                            N053.21.27.362 W000.15.16.903 N053.21.55.761 W000.14.54.773 ; Radial 300
                            N053.21.55.761 W000.14.54.773 N053.22.21.434 W000.14.24.706 ; Radial 310
                            N053.22.21.434 W000.14.24.706 N053.22.43.599 W000.13.47.613 ; Radial 320
                            N053.22.43.599 W000.13.47.613 N053.23.01.581 W000.13.04.622 ; Radial 330
                            N053.23.01.581 W000.13.04.622 N053.23.14.831 W000.12.17.404 ; Radial 340
                            N053.23.14.831 W000.12.17.404 N053.23.22.947 W000.11.26.317 ; Radial 350
                            N053.23.22.947 W000.11.26.317 N053.23.26.000 W000.10.34.000
                            ;melton
                            N052.53.43.000 W000.47.58.000 N052.53.38.905 W000.46.31.802 ; Radial 10
                            N052.53.38.905 W000.46.31.802 N052.53.25.369 W000.45.08.239 ; Radial 20
                            N052.53.25.369 W000.45.08.239 N052.53.03.270 W000.43.49.862 ; Radial 30
                            N052.53.03.270 W000.43.49.862 N052.52.33.283 W000.42.39.621 ; Radial 40
                            N052.52.33.283 W000.42.39.621 N052.51.56.322 W000.41.37.994 ; Radial 50
                            N052.51.56.322 W000.41.37.994 N052.51.13.516 W000.40.48.515 ; Radial 60
                            N052.51.13.516 W000.40.48.515 N052.50.26.168 W000.40.12.123 ; Radial 70
                            N052.50.26.168 W000.40.12.123 N052.49.35.722 W000.39.49.914 ; Radial 80
                            N052.49.35.722 W000.39.49.914 N052.48.43.712 W000.39.42.549 ; Radial 90
                            N052.48.43.712 W000.39.42.549 N052.47.51.720 W000.39.50.238 ; Radial 100
                            N052.47.51.720 W000.39.50.238 N052.47.01.323 W000.40.12.733 ; Radial 110
                            N052.47.01.323 W000.40.12.733 N052.46.14.524 W000.40.49.337 ; Radial 120
                            N052.46.14.524 W000.40.49.337 N052.45.31.339 W000.41.38.928 ; Radial 130
                            N052.45.31.339 W000.41.38.928 N052.44.54.478 W000.42.39.995 ; Radial 140
                            N052.44.54.478 W000.42.39.995 N052.44.24.584 W000.43.50.683 ; Radial 150
                            N052.44.24.584 W000.43.50.683 N052.44.02.561 W000.45.08.848 ; Radial 160
                            N052.44.02.561 W000.45.08.848 N052.43.49.759 W000.46.32.126 ; Radial 170
                            N052.43.49.759 W000.46.32.126 N052.43.44.535 W000.47.57.998 ; Radial 180
                            N052.43.44.535 W000.47.57.998 N052.43.49.759 W000.49.23.870 ; Radial 190
                            N052.43.49.759 W000.49.23.870 N052.44.02.561 W000.50.47.148 ; Radial 200
                            N052.44.02.561 W000.50.47.148 N052.44.24.584 W000.52.05.313 ; Radial 210
                            N052.44.24.584 W000.52.05.313 N052.44.54.478 W000.53.16.994 ; Radial 220
                            N052.44.54.478 W000.53.16.994 N052.45.31.339 W000.54.17.682 ; Radial 230
                            N052.45.31.339 W000.54.17.682 N052.46.14.524 W000.55.06.659 ; Radial 240
                            N052.46.14.524 W000.55.06.659 N052.47.01.323 W000.55.43.263 ; Radial 250
                            N052.47.01.323 W000.55.43.263 N052.47.51.720 W000.56.05.758 ; Radial 260
                            N052.47.51.720 W000.56.05.758 N052.48.43.712 W000.56.13.447 ; Radial 270
                            N052.48.43.712 W000.56.13.447 N052.49.35.722 W000.56.06.824 ; Radial 280
                            N052.49.35.722 W000.56.06.824 N052.50.26.168 W000.55.43.873 ; Radial 290
                            N052.50.26.168 W000.55.43.873 N052.51.13.516 W000.55.07.480 ; Radial 300
                            N052.51.13.516 W000.55.07.480 N052.51.56.322 W000.54.18.196 ; Radial 310
                            N052.51.56.322 W000.54.18.196 N052.52.33.283 W000.53.16.934 ; Radial 320
                            N052.52.33.283 W000.53.16.934 N052.53.03.270 W000.52.06.134 ; Radial 330
                            N052.53.03.270 W000.52.06.134 N052.53.25.369 W000.50.47.757 ; Radial 340
                            N052.53.25.369 W000.50.47.757 N052.53.38.905 W000.49.24.194 ; Radial 350
                            N052.53.38.905 W000.49.24.194 N052.53.43.000 W000.47.58.000

                            N052.45.31.771 W001.07.12.683 N052.45.47.746 W001.06.35.137 ; Radial 330
                            N052.45.47.746 W001.06.35.137 N052.46.09.845 W001.05.16.854 ; Radial 340
                            N052.46.09.845 W001.05.16.854 N052.46.23.380 W001.03.53.524 ; Radial 350
                            N052.46.23.380 W001.03.53.524 N052.46.28.000 W001.02.28.000
                            N052.46.28.000 W001.02.28.000 N052.46.23.380 W001.01.01.610 ; Radial 10
                            N052.46.23.380 W001.01.01.610 N052.46.09.845 W000.59.38.280 ; Radial 20
                            N052.46.09.845 W000.59.38.280 N052.45.47.746 W000.58.20.121 ; Radial 30
                            N052.45.47.746 W000.58.20.121 N052.45.17.759 W000.57.09.517 ; Radial 40
                            N052.45.17.759 W000.57.09.517 N052.44.40.798 W000.56.08.619 ; Radial 50
                            N052.44.40.798 W000.56.08.619 N052.43.57.992 W000.55.19.277 ; Radial 60
                            N052.43.57.992 W000.55.19.277 N052.43.10.645 W000.54.42.986 ; Radial 70
                            N052.43.10.645 W000.54.42.986 N052.42.20.199 W000.54.20.837 ; Radial 80
                            N052.42.20.199 W000.54.20.837 N052.41.28.189 W000.54.13.492 ; Radial 90
                            N052.41.28.189 W000.54.13.492 N052.40.36.196 W000.54.21.159 ; Radial 100
                            N052.40.36.196 W000.54.21.159 N052.39.45.800 W000.54.43.591 ; Radial 110
                            N052.39.45.800 W000.54.43.591 N052.38.58.529 W000.55.20.931 ; Radial 120
                            N052.38.58.529 W000.55.20.931 N052.38.15.815 W000.56.09.546 ; Radial 130
                            N052.38.15.815 W000.56.09.546 N052.37.44.405 W000.57.01.438 ; Radial 140
