;DGX Perimeter
REGIONNAME St Athan
N051.24.26.202 W003.25.43.035
N051.24.26.385 W003.25.43.179
N051.24.24.936 W003.25.42.830
N051.24.23.910 W003.25.42.789

;C Disused
REGIONNAME St Athan
smrTEdisused N051.24.22.137 W003.26.32.983
N051.24.21.157 W003.26.33.276
N051.24.20.587 W003.26.29.515
N051.24.20.739 W003.26.29.308
N051.24.20.868 W003.26.28.957
N051.24.20.956 W003.26.28.463
N051.24.20.939 W003.26.28.017
N051.24.20.346 W003.26.24.076
N051.24.20.241 W003.26.23.921
N051.24.20.003 W003.26.23.754
N051.24.21.258 W003.26.23.863
N051.24.21.098 W003.26.23.956
N051.24.21.009 W003.26.24.103
N051.24.20.950 W003.26.24.315
N051.24.20.944 W003.26.24.572
N051.24.21.341 W003.26.27.431
N051.24.21.418 W003.26.27.793
N051.24.21.567 W003.26.28.021
N051.24.21.752 W003.26.28.106
N051.24.21.932 W003.26.28.144
N051.24.24.621 W003.26.27.099
N051.24.24.718 W003.26.26.944
N051.24.24.749 W003.26.26.741
N051.24.24.545 W003.26.25.183
N051.24.24.968 W003.26.25.103
N051.24.25.196 W003.26.26.838
N051.24.25.274 W003.26.27.195
N051.24.25.423 W003.26.27.519
N051.24.25.647 W003.26.27.904
N051.24.25.730 W003.26.28.388
N051.24.25.817 W003.26.28.880
N051.24.26.202 W003.26.31.517
N051.24.26.061 W003.26.31.558

;Big Disused Grass
REGIONNAME St Athan
smrTEGrassBdy N051.24.30.140 W003.26.03.910
N051.24.29.873 W003.26.03.681
N051.24.29.594 W003.26.03.262
N051.24.29.406 W003.26.02.721
N051.24.29.316 W003.26.02.182
N051.24.29.296 W003.26.01.678
N051.24.29.365 W003.26.01.150
N051.24.31.030 W003.25.52.518
N051.24.31.134 W003.25.52.033
N051.24.31.342 W003.25.51.466
N051.24.31.607 W003.25.51.084
N051.24.31.894 W003.25.50.799
N051.24.32.204 W003.25.50.636
N051.24.32.438 W003.25.50.592
N051.24.32.672 W003.25.50.627
N051.24.35.804 W003.25.52.128
N051.24.35.632 W003.25.53.050
N051.24.34.948 W003.25.52.722
N051.24.32.753 W003.26.04.034
N051.24.33.419 W003.26.04.364
N051.24.33.221 W003.26.05.494
N051.24.30.365 W003.26.04.037

;C Grass 1
REGIONNAME St Athan
smrTEGrassBdy N051.24.21.652 W003.26.29.270
N051.24.21.514 W003.26.29.299
N051.24.21.586 W003.26.28.719
N051.24.21.644 W003.26.28.548
N051.24.21.740 W003.26.28.452
N051.24.22.854 W003.26.28.046
