EGTK Oxford SMAA            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.48.15.628 W001.15.24.814 N051.48.30.524 W001.15.16.756
                            N051.48.30.524 W001.15.16.756 N051.48.44.928 W001.15.06.630
                            N051.48.44.928 W001.15.06.630 N051.48.58.732 W001.14.54.513
                            N051.48.58.732 W001.14.54.513 N051.49.11.830 W001.14.40.497
                            N051.49.11.830 W001.14.40.497 N051.49.24.123 W001.14.24.689
                            N051.49.24.123 W001.14.24.689 N051.49.35.517 W001.14.07.208
                            N051.49.35.517 W001.14.07.208 N051.49.45.925 W001.13.48.189
                            N051.49.45.925 W001.13.48.189 N051.49.55.268 W001.13.27.776
                            N051.49.55.268 W001.13.27.776 N051.50.03.475 W001.13.06.123
                            N051.50.03.475 W001.13.06.123 N051.50.10.483 W001.12.43.397
                            N051.50.10.483 W001.12.43.397 N051.50.16.240 W001.12.19.769
                            N051.50.16.240 W001.12.19.769 N051.50.20.701 W001.11.55.421
                            N051.50.20.701 W001.11.55.421 N051.50.23.833 W001.11.30.536
                            N051.50.23.833 W001.11.30.536 N051.50.25.611 W001.11.05.305
                            N051.50.25.611 W001.11.05.305 N051.50.26.022 W001.10.39.919
                            N051.40.20.019 W001.15.31.938 N051.40.19.060 W001.15.06.685
                            N051.40.19.060 W001.15.06.685 N051.40.16.739 W001.14.41.664
                            N051.40.16.739 W001.14.41.664 N051.40.13.072 W001.14.17.063
                            N051.40.13.072 W001.14.17.063 N051.40.08.088 W001.13.53.070
                            N051.40.08.088 W001.13.53.070 N051.40.01.825 W001.13.29.869
                            N051.40.01.825 W001.13.29.869 N051.39.54.330 W001.13.07.635
                            N051.39.54.330 W001.13.07.635 N051.39.45.661 W001.12.46.538
                            N051.39.45.661 W001.12.46.538 N051.39.35.883 W001.12.26.738
                            N051.39.35.883 W001.12.26.738 N051.39.25.070 W001.12.08.386
                            N051.39.25.070 W001.12.08.386 N051.39.21.765 W001.12.03.845
                            N051.39.21.765 W001.12.03.845 N051.39.05.866 W001.12.32.876
                            N051.39.05.866 W001.12.32.876 N051.38.40.951 W001.13.27.269
                            N051.38.40.951 W001.13.27.269 N051.38.19.065 W001.14.24.963
                            N051.38.19.065 W001.14.24.963 N051.38.00.376 W001.15.25.519
                            N051.38.00.376 W001.15.25.519 N051.37.45.025 W001.16.28.477
                            N051.37.45.025 W001.16.28.477 N051.37.33.128 W001.17.33.355
                            N051.37.33.128 W001.17.33.355 N051.37.24.778 W001.18.39.662
                            N051.37.24.778 W001.18.39.662 N051.37.20.036 W001.19.46.893
                            N051.37.20.036 W001.19.46.893 N051.37.19.388 W001.20.26.886
