;Airfield Boundary
N052.48.03.457 W002.39.41.960
N052.48.03.679 W002.39.42.162
N052.48.04.772 W002.39.43.411
N052.48.05.750 W002.39.45.123
N052.48.05.679 W002.39.45.551
N052.48.05.592 W002.39.46.197
N052.48.05.552 W002.39.46.922
N052.48.05.570 W002.39.47.500
N052.48.06.339 W002.40.01.587
N052.48.06.382 W002.40.02.443
N052.48.06.460 W002.40.02.895
N052.48.06.542 W002.40.03.161
N052.48.06.606 W002.40.03.506
N052.48.06.157 W002.40.04.426
N052.48.05.141 W002.40.03.543
N052.48.05.346 W002.40.03.402
N052.48.05.550 W002.40.03.206
N052.48.05.688 W002.40.02.942
N052.48.05.780 W002.40.02.675
N052.48.05.830 W002.40.02.344
N052.48.05.834 W002.40.01.916
N052.48.05.252 W002.39.50.972
N052.48.05.157 W002.39.50.543
N052.48.05.046 W002.39.50.133
N052.48.04.896 W002.39.49.822
N052.48.04.735 W002.39.49.472
N052.48.04.532 W002.39.49.187
N052.48.04.305 W002.39.48.933
N052.48.04.027 W002.39.48.754
N052.48.03.807 W002.39.48.701
N052.48.03.494 W002.39.48.685
N052.48.03.738 W002.39.45.079
N052.48.03.840 W002.39.44.670
N052.48.03.862 W002.39.44.301
N052.48.03.847 W002.39.44.002
N052.48.03.778 W002.39.43.675
N052.48.03.682 W002.39.43.387
N052.48.03.530 W002.39.43.111
N052.48.03.313 W002.39.42.789
N052.48.03.044 W002.39.42.540
N052.48.02.490 W002.39.42.209
N052.48.01.902 W002.39.41.875
N052.47.59.317 W002.39.40.843
N052.47.59.014 W002.39.40.765
N052.47.58.739 W002.39.40.761
N052.47.58.544 W002.39.40.781
N052.47.56.680 W002.39.41.215
N052.47.56.524 W002.39.41.322
N052.47.56.315 W002.39.41.459
N052.47.55.950 W002.39.41.801
N052.47.55.605 W002.39.42.201
N052.47.55.295 W002.39.42.715
N052.47.54.989 W002.39.43.355
N052.47.54.709 W002.39.44.009
N052.47.54.442 W002.39.44.687
N052.47.54.214 W002.39.45.328
N052.47.53.951 W002.39.45.871
N052.47.53.652 W002.39.46.449
N052.47.53.419 W002.39.46.855
N052.47.53.161 W002.39.47.266
N052.47.52.560 W002.39.48.275
N052.47.51.774 W002.39.49.411
N052.47.51.429 W002.39.49.922
N052.47.50.998 W002.39.50.571
N052.47.50.862 W002.39.50.748
N052.47.50.767 W002.39.50.835
N052.47.50.658 W002.39.50.905
N052.47.50.535 W002.39.50.957
N052.47.50.370 W002.39.50.992
N052.47.50.227 W002.39.50.995
N052.47.50.044 W002.39.50.989
N052.47.49.819 W002.39.50.970
N052.47.48.214 W002.39.50.463
N052.47.46.850 W002.39.50.971
N052.47.44.863 W002.39.50.677
N052.47.44.849 W002.39.50.899
N052.47.43.566 W002.39.50.698
N052.47.43.574 W002.39.50.491
N052.47.40.318 W002.39.49.956
N052.47.39.888 W002.39.50.652
N052.47.39.551 W002.39.51.066
N052.47.39.306 W002.39.51.361
N052.47.38.970 W002.39.51.717
N052.47.38.621 W002.39.52.158
N052.47.38.316 W002.39.52.597
N052.47.36.234 W002.39.56.388
N052.47.35.913 W002.39.56.844
N052.47.35.639 W002.39.57.167
N052.47.35.379 W002.39.57.442
N052.47.35.074 W002.39.57.717
N052.47.34.640 W002.39.58.131
N052.47.34.214 W002.39.58.473
N052.47.33.894 W002.39.58.692
N052.47.33.693 W002.39.58.784
N052.47.33.540 W002.39.58.813
N052.47.32.907 W002.39.58.806
N052.47.32.468 W002.39.58.753
N052.47.31.345 W002.39.58.658
N052.47.30.916 W002.39.58.638
N052.47.30.606 W002.39.58.685
N052.47.30.097 W002.39.58.863
N052.47.29.752 W002.39.59.140
N052.47.29.477 W002.39.59.417
N052.47.29.399 W002.39.59.519
N052.47.29.315 W002.39.59.631
N052.47.29.243 W002.39.59.796
N052.47.28.826 W002.40.01.172
N052.47.28.782 W002.40.01.413
N052.47.28.777 W002.40.01.668
N052.47.28.784 W002.40.01.914
N052.47.28.814 W002.40.02.159
N052.47.28.863 W002.40.02.389
N052.47.28.939 W002.40.02.605
N052.47.29.032 W002.40.02.796
N052.47.29.133 W002.40.02.948
N052.47.29.263 W002.40.03.078
N052.47.29.657 W002.40.03.400
N052.47.28.315 W002.40.03.836
N052.47.27.707 W002.40.03.441
N052.47.27.777 W002.40.03.316
N052.47.28.394 W002.40.00.836
N052.47.28.792 W002.39.59.468
N052.47.28.943 W002.39.59.077
N052.47.29.095 W002.39.58.858
N052.47.29.312 W002.39.58.612
N052.47.29.279 W002.39.58.501
N052.47.24.597 W002.39.55.473
N052.47.24.251 W002.39.55.250
N052.47.23.932 W002.39.55.078
N052.47.23.617 W002.39.54.949
N052.47.23.384 W002.39.54.879
N052.47.23.019 W002.39.54.818
N052.47.22.571 W002.39.54.793
N052.47.12.137 W002.39.54.758
N052.47.11.788 W002.39.54.798
N052.47.11.425 W002.39.54.890
N052.47.11.056 W002.39.55.041
N052.47.10.739 W002.39.55.205
N052.47.10.374 W002.39.55.443
N052.47.09.998 W002.39.55.770
N052.47.09.586 W002.39.56.228
N052.47.09.336 W002.39.56.571
N052.47.09.089 W002.39.56.964
N052.47.08.828 W002.39.57.423
N052.47.08.576 W002.39.57.956
N052.47.08.332 W002.39.58.680
N052.47.08.121 W002.39.59.413
N052.47.08.024 W002.39.59.896
N052.47.07.944 W002.40.00.383
N052.47.07.870 W002.40.00.945
N052.47.07.830 W002.40.01.517
N052.47.07.820 W002.40.02.078
N052.47.07.840 W002.40.02.343
N052.47.07.900 W002.40.02.578
N052.47.07.989 W002.40.02.813
N052.47.08.095 W002.40.02.987
N052.47.08.203 W002.40.03.114
N052.47.08.350 W002.40.03.232
N052.47.08.545 W002.40.03.347
N052.47.07.914 W002.40.03.449

;East Grass
REGIONNAME Shawbury
smrMilGrass N052.47.29.700 W002.39.57.871
N052.47.29.390 W002.39.57.717
N052.47.26.047 W002.39.55.539
N052.47.25.906 W002.39.55.316
N052.47.25.840 W002.39.55.124
N052.47.25.820 W002.39.54.932
N052.47.25.838 W002.39.54.686
N052.47.25.904 W002.39.54.437
N052.47.25.995 W002.39.54.225
N052.47.26.117 W002.39.54.008
N052.47.26.279 W002.39.53.823
N052.47.26.417 W002.39.53.733
