;Blue_Background
REGIONNAME Belfast City
smrBlue N054.40.39.960 W006.05.09.973
N054.36.36.946 W005.52.38.597
N054.36.37.140 W005.52.38.110
N054.36.38.321 W005.52.35.234
N054.36.39.080 W005.52.35.973
N054.36.39.261 W005.52.35.644
N054.36.41.590 W005.52.31.190
N054.36.43.828 W005.52.29.091
N054.36.44.204 W005.52.29.133
N054.36.43.036 W005.52.31.609
N054.36.43.003 W005.52.32.825
N054.36.43.553 W005.52.33.712
N054.36.43.665 W005.52.33.919
N054.36.43.983 W005.52.33.926
N054.36.44.379 W005.52.33.696
N054.36.44.540 W005.52.33.754
N054.36.46.808 W005.52.30.947
N054.36.48.612 W005.52.28.733
N054.36.48.533 W005.52.28.560
N054.36.47.877 W005.52.29.226
N054.36.47.661 W005.52.28.666
N054.36.46.479 W005.52.30.070
N054.36.43.515 W005.52.33.651
N054.36.43.000 W005.52.32.821
N054.36.43.038 W005.52.31.608
N054.36.45.025 W005.52.27.367
N054.36.45.870 W005.52.28.165
N054.36.46.528 W005.52.27.396
N054.36.46.460 W005.52.28.060
N054.36.45.991 W005.52.29.078
N054.36.46.254 W005.52.29.699
N054.36.46.930 W005.52.28.987
N054.36.46.964 W005.52.28.890
N054.36.46.987 W005.52.28.793
N054.36.46.794 W005.52.28.257
N054.36.46.676 W005.52.27.896
N054.36.46.636 W005.52.27.876
N054.36.46.576 W005.52.27.936
N054.36.46.466 W005.52.28.067
N054.36.46.528 W005.52.27.387
N054.36.47.325 W005.52.26.425
N054.36.47.711 W005.52.27.353
N054.36.48.177 W005.52.26.755
N054.36.47.352 W005.52.24.696
N054.36.47.399 W005.52.24.296
N054.36.48.438 W005.52.22.480
N054.36.48.819 W005.52.21.740
N054.36.50.152 W005.52.19.052
N054.36.50.566 W005.52.18.449
N054.36.49.785 W005.52.16.451
N054.36.51.072 W005.52.14.888
N054.36.51.147 W005.52.14.877
N054.36.51.326 W005.52.15.058
N054.36.52.301 W005.52.15.259
N054.36.53.807 W005.52.12.117
N054.36.54.103 W005.52.11.766
N054.36.54.074 W005.52.11.567
N054.36.54.074 W005.52.11.402
N054.36.54.127 W005.52.11.266
N054.36.55.689 W005.52.09.456
N054.36.55.980 W005.52.10.177
N054.36.55.778 W005.52.10.412
N054.36.56.278 W005.52.11.613
N054.36.56.925 W005.52.10.840
N054.36.57.143 W005.52.10.678
N054.36.59.142 W005.52.09.483
N054.36.59.400 W005.52.09.337
N054.36.59.589 W005.52.09.163
N054.37.00.224 W005.52.08.500
N054.37.00.391 W005.52.08.718
N054.37.01.254 W005.52.10.978
N054.37.01.563 W005.52.11.719
N054.37.01.794 W005.52.11.509
N054.37.02.190 W005.52.11.194
N054.37.02.470 W005.52.11.073
N054.37.02.754 W005.52.11.070
N054.37.03.076 W005.52.11.177
N054.37.03.276 W005.52.11.337
N054.37.03.542 W005.52.11.591
N054.37.03.756 W005.52.11.916
N054.37.04.371 W005.52.13.357
N054.37.05.539 W005.52.16.273
N054.37.04.967 W005.52.16.861
N054.37.03.959 W005.52.14.236
N054.37.03.569 W005.52.13.336
N054.37.03.310 W005.52.12.901
N054.37.03.065 W005.52.12.682
N054.37.02.812 W005.52.12.529
N054.37.02.519 W005.52.12.468
N054.37.02.268 W005.52.12.530
N054.37.01.938 W005.52.12.732
N054.37.01.570 W005.52.13.069
N054.36.53.588 W005.52.22.576
