;Airfield Boundary
N056.22.34.457 W002.51.07.852
N056.22.34.641 W002.51.08.115
N056.22.34.732 W002.51.08.161
N056.22.36.199 W002.51.10.388
N056.22.36.302 W002.51.10.520
N056.22.36.402 W002.51.10.597
N056.22.36.512 W002.51.10.594
N056.22.36.618 W002.51.10.546
N056.22.36.700 W002.51.10.432
N056.22.36.760 W002.51.10.253
N056.22.36.808 W002.51.09.886
N056.22.38.102 W002.50.54.853
N056.22.40.044 W002.50.29.808
N056.22.40.027 W002.50.29.329
N056.22.39.968 W002.50.28.947
N056.22.39.901 W002.50.28.652
N056.22.39.790 W002.50.28.337
N056.22.39.657 W002.50.28.039
N056.22.39.504 W002.50.27.746
N056.22.39.317 W002.50.27.484
N056.22.39.076 W002.50.27.274
N056.22.38.900 W002.50.27.157
N056.22.38.317 W002.50.26.936
N056.22.37.789 W002.50.26.795
N056.22.37.582 W002.50.26.794
N056.22.37.463 W002.50.26.872
N056.22.37.364 W002.50.27.005
N056.22.37.248 W002.50.27.250
N056.22.37.183 W002.50.27.472
N056.22.37.116 W002.50.27.723
N056.22.37.061 W002.50.28.135
N056.22.36.282 W002.50.36.880
N056.22.34.744 W002.50.38.848
N056.22.35.890 W002.50.24.878
N056.22.41.382 W002.50.26.456
N056.22.38.283 W002.51.05.641
N056.22.38.249 W002.51.06.143
N056.22.38.273 W002.51.06.447
N056.22.38.338 W002.51.06.780
N056.22.38.468 W002.51.07.120
N056.22.38.635 W002.51.07.390
N056.22.38.810 W002.51.07.565
N056.22.39.008 W002.51.07.693
N056.22.39.360 W002.51.07.017
N056.22.39.577 W002.51.04.072
N056.22.39.828 W002.51.04.091
N056.22.39.858 W002.51.03.663
N056.22.40.687 W002.51.03.767
N056.22.40.326 W002.51.07.596
N056.22.40.346 W002.51.07.730
N056.22.40.423 W002.51.07.786
N056.22.40.575 W002.51.07.793
N056.22.41.594 W002.51.07.490
N056.22.41.811 W002.51.07.043
N056.22.41.887 W002.51.05.386
N056.22.41.926 W002.51.05.136
N056.22.41.994 W002.51.04.946
N056.22.42.080 W002.51.04.768
N056.22.42.216 W002.51.04.594
N056.22.42.546 W002.51.04.407
N056.22.42.944 W002.51.03.549
N056.22.44.270 W002.51.03.617
N056.22.44.231 W002.51.05.796
N056.22.42.789 W002.51.05.760
N056.22.42.197 W002.51.06.680
N056.22.42.187 W002.51.07.027
N056.22.42.224 W002.51.07.143
N056.22.42.290 W002.51.07.269
N056.22.42.365 W002.51.07.375
N056.22.42.486 W002.51.07.414
N056.22.42.737 W002.51.07.397
N056.22.43.010 W002.51.07.396
N056.22.43.377 W002.51.07.446
N056.22.43.716 W002.51.07.523
N056.22.44.060 W002.51.07.647
N056.22.44.345 W002.51.07.778
N056.22.44.697 W002.51.07.955
N056.22.44.994 W002.51.08.154
N056.22.45.302 W002.51.08.361
N056.22.45.501 W002.51.08.512
N056.22.47.627 W002.51.06.408
N056.22.48.227 W002.51.08.077
N056.22.46.733 W002.51.09.307
N056.22.46.696 W002.51.09.824
N056.22.47.866 W002.51.11.955
N056.22.48.250 W002.51.12.082
N056.22.50.080 W002.51.10.545
N056.22.50.541 W002.51.12.253
N056.22.48.736 W002.51.13.584
N056.22.48.621 W002.51.14.142
N056.22.48.770 W002.51.14.778
