;Blue_Background
REGIONNAME Belfast Aldergrove
smrBlue N054.43.51.592 W006.23.51.411
N054.39.36.974 W006.12.37.504
N054.39.37.366 W006.12.38.218
N054.39.37.890 W006.12.39.441
N054.39.48.198 W006.12.00.903
N054.39.48.124 W006.12.00.688
N054.39.47.990 W006.12.00.458
N054.39.48.072 W006.12.00.198
N054.39.48.226 W006.12.00.311
N054.39.48.378 W006.12.00.326
N054.39.48.850 W006.11.58.617
N054.39.49.692 W006.11.54.778
N054.39.49.793 W006.11.53.715
N054.39.49.668 W006.11.52.317
N054.39.49.262 W006.11.51.032
N054.39.48.762 W006.11.50.234
N054.39.48.362 W006.11.49.854
N054.39.48.033 W006.11.49.532
N054.39.48.307 W006.11.48.075
;Taxiway_B
REGIONNAME Belfast Aldergrove
black N054.39.32.805 W006.12.48.084
N054.39.33.766 W006.12.48.828
N054.39.34.130 W006.12.48.908
N054.39.34.444 W006.12.48.898
N054.39.34.757 W006.12.48.895
N054.39.35.063 W006.12.48.687
N054.39.35.691 W006.12.47.514
N054.39.34.000 W006.12.53.956
N054.39.34.157 W006.12.52.157
N054.39.34.118 W006.12.51.523
N054.39.33.850 W006.12.50.836
N054.39.33.307 W006.12.49.955
N054.39.32.988 W006.12.49.671
N054.39.31.657 W006.12.48.755
N054.39.32.063 W006.12.47.271
;Taxiway_C
REGIONNAME Belfast Aldergrove
black N054.39.27.227 W006.13.23.962
N054.39.27.622 W006.13.18.801
N054.39.27.933 W006.13.16.597
N054.39.28.231 W006.13.15.113
N054.39.27.757 W006.13.14.871
N054.39.27.557 W006.13.15.623
N054.39.27.344 W006.13.15.091
N054.39.27.542 W006.13.14.353
N054.39.27.797 W006.13.14.567
N054.39.28.296 W006.13.14.823
N054.39.28.626 W006.13.13.527
N054.39.29.318 W006.13.14.113
N054.39.28.946 W006.13.15.549
N054.39.28.516 W006.13.17.519
N054.39.28.160 W006.13.21.324
N054.39.27.456 W006.13.31.051
N054.39.27.213 W006.13.36.651
N054.39.26.370 W006.13.36.485
;Taxiway_D
REGIONNAME Belfast Aldergrove
black N054.39.20.205 W006.13.58.316
N054.39.19.847 W006.13.59.533
N054.39.19.843 W006.14.00.342
N054.39.19.990 W006.14.01.047
N054.39.20.323 W006.14.01.029
N054.39.19.157 W006.14.02.247
N054.39.19.265 W006.14.01.900
N054.39.18.949 W006.14.01.395
N054.39.18.517 W006.14.01.094
N054.39.18.241 W006.14.01.050
N054.39.17.857 W006.14.01.156
N054.39.14.597 W006.14.03.353
N054.39.14.008 W006.14.03.379
N054.39.13.482 W006.14.03.258
N054.39.11.938 W006.14.02.061
N054.39.12.360 W006.14.00.700
N054.39.13.579 W006.14.01.748
N054.39.14.019 W006.14.01.885
N054.39.14.509 W006.14.01.845
N054.39.17.877 W006.13.59.753
N054.39.18.880 W006.13.59.012
N054.39.19.357 W006.13.58.177
N054.39.25.213 W006.13.44.314
N054.39.25.787 W006.13.45.054
;Taxiway_F
REGIONNAME Belfast Aldergrove
black N054.39.01.871 W006.13.23.930
N054.39.01.716 W006.13.23.269
N054.39.01.428 W006.13.22.696
N054.38.59.248 W006.13.21.418
N054.38.58.492 W006.13.20.870
N054.38.58.355 W006.13.20.877
N054.38.58.224 W006.13.21.269
N054.38.58.068 W006.13.21.045
N054.38.58.215 W006.13.20.622
N054.38.56.869 W006.13.19.582
N054.38.44.392 W006.13.14.152
N054.38.44.091 W006.13.14.243
N054.38.43.642 W006.13.13.134
N054.38.43.814 W006.13.12.899
N054.38.43.839 W006.13.12.647
N054.38.43.771 W006.13.12.474
N054.38.43.522 W006.13.12.377
N054.38.43.637 W006.13.11.605
N054.38.44.449 W006.13.11.935
N054.38.44.739 W006.13.11.853
N054.38.44.895 W006.13.11.845
N054.38.45.068 W006.13.11.639
N054.38.51.411 W006.13.15.381
N054.38.51.845 W006.13.16.112
