;Apron Outline
N055.52.38.632 W004.25.08.491
N055.52.38.885 W004.25.08.025
N055.52.39.158 W004.25.07.616
N055.52.39.430 W004.25.07.242
N055.52.39.755 W004.25.06.914
N055.52.40.138 W004.25.06.563
N055.52.40.534 W004.25.06.284
N055.52.40.969 W004.25.06.036
N055.52.41.392 W004.25.05.870
N055.52.41.861 W004.25.05.739
N055.52.42.635 W004.25.05.697
N055.52.43.287 W004.25.05.784
N055.52.43.682 W004.25.05.943
N055.52.44.060 W004.25.06.102
N055.52.44.419 W004.25.06.354
N055.52.44.641 W004.25.06.619
N055.52.45.347 W004.25.07.844
N055.52.47.181 W004.25.04.426
N055.52.48.605 W004.25.06.838
;Runway
REGIONNAME Glasgow 
smrSCORunway N055.51.47.991 W004.26.55.727
N055.52.40.566 W004.25.17.501
N055.52.41.618 W004.25.19.277
N055.51.49.050 W004.26.57.529
;C Disused
REGIONNAME Glasgow 
smrSCORunway N055.52.26.079 W004.25.34.170
N055.52.25.930 W004.25.33.780
N055.52.26.167 W004.25.33.522
N055.52.26.364 W004.25.33.258
N055.52.26.520 W004.25.33.037
N055.52.27.370 W004.25.31.521
N055.52.31.752 W004.25.23.248
N055.52.32.586 W004.25.21.793
N055.52.33.261 W004.25.20.686
N055.52.33.628 W004.25.20.147
N055.52.33.898 W004.25.19.738
N055.52.34.159 W004.25.19.395
N055.52.34.365 W004.25.19.134
N055.52.34.590 W004.25.18.905
N055.52.34.819 W004.25.18.701
N055.52.35.195 W004.25.18.467
N055.52.35.428 W004.25.18.712
N055.52.36.684 W004.25.19.201
N055.52.32.045 W004.25.28.262
;ATC Disused
REGIONNAME Glasgow 
smrSCORunway N055.52.11.559 W004.25.46.872
N055.52.12.134 W004.25.49.380
N055.52.09.239 W004.25.52.018
N055.52.07.148 W004.25.49.996
N055.52.07.578 W004.25.47.871
N055.52.08.536 W004.25.46.313
N055.52.08.927 W004.25.45.913
;F Loop
REGIONNAME Glasgow
smrSCOGrass N055.51.56.784 W004.26.38.291
N055.51.56.473 W004.26.38.740
N055.51.55.771 W004.26.39.479
N055.51.53.397 W004.26.41.393
N055.51.53.235 W004.26.41.496
N055.51.50.563 W004.26.42.272
N055.51.50.384 W004.26.42.268
N055.51.50.190 W004.26.42.181
N055.51.50.051 W004.26.42.095
N055.51.49.928 W004.26.41.899
N055.51.49.836 W004.26.41.703
N055.51.49.759 W004.26.41.452
N055.51.49.683 W004.26.41.187
N055.51.49.686 W004.26.40.799
N055.51.49.743 W004.26.40.426
N055.51.49.900 W004.26.40.078
N055.51.51.330 W004.26.36.657
N055.51.55.784 W004.26.28.388
N055.51.56.319 W004.26.27.540
N055.51.56.623 W004.26.27.324
N055.51.56.857 W004.26.27.232
N055.51.57.067 W004.26.27.236
N055.51.57.269 W004.26.27.351
N055.51.57.508 W004.26.27.578
N055.51.57.669 W004.26.27.900
N055.51.57.799 W004.26.28.305
N055.51.57.866 W004.26.28.750
N055.51.57.864 W004.26.33.864
N055.51.57.819 W004.26.34.750
N055.51.57.737 W004.26.35.441
N055.51.57.568 W004.26.36.380
N055.51.57.356 W004.26.37.077
;E Loop
REGIONNAME Glasgow
smrSCOGrass N055.52.00.226 W004.26.32.146
N055.51.59.955 W004.26.32.221
N055.51.59.692 W004.26.32.175
N055.51.59.445 W004.26.32.009
N055.51.59.198 W004.26.31.722
N055.51.58.960 W004.26.31.328
N055.51.58.768 W004.26.30.774
N055.51.58.636 W004.26.30.155
N055.51.58.609 W004.26.29.725
N055.51.58.649 W004.26.27.043
N055.51.58.706 W004.26.26.427
N055.51.58.811 W004.26.25.316
N055.51.58.967 W004.26.24.420
N055.51.59.605 W004.26.21.775
N055.52.00.210 W004.26.20.245
N055.52.00.499 W004.26.19.754
N055.52.00.819 W004.26.19.251
N055.52.01.175 W004.26.18.802
N055.52.01.592 W004.26.18.408
N055.52.02.682 W004.26.17.425
N055.52.03.641 W004.26.16.797
N055.52.09.222 W004.26.13.297
N055.52.09.464 W004.26.13.155
N055.52.09.637 W004.26.13.118
N055.52.09.817 W004.26.13.243
N055.52.09.959 W004.26.13.473
N055.52.10.033 W004.26.13.676
N055.52.10.062 W004.26.13.865
N055.52.00.411 W004.26.31.913
;D Loop
REGIONNAME Glasgow 
smrSCOGrass N055.52.12.474 W004.26.08.966
N055.52.12.002 W004.26.09.470
N055.52.11.390 W004.26.10.138
N055.52.10.855 W004.26.10.629
N055.52.10.308 W004.26.11.085
N055.52.09.817 W004.26.11.472
N055.52.09.207 W004.26.11.881
N055.52.04.853 W004.26.14.440
N055.52.04.278 W004.26.14.564
N055.52.04.032 W004.26.14.604
N055.52.03.843 W004.26.14.555
N055.52.03.616 W004.26.14.471
N055.52.03.472 W004.26.14.311
N055.52.03.347 W004.26.14.094
N055.52.03.273 W004.26.13.845
N055.52.03.187 W004.26.13.484
N055.52.03.170 W004.26.13.134
N055.52.03.180 W004.26.12.617
N055.52.03.236 W004.26.11.943
N055.52.03.350 W004.26.10.933
N055.52.03.463 W004.26.10.080
N055.52.03.583 W004.26.09.149
N055.52.04.975 W004.26.00.759
N055.52.05.040 W004.26.00.378
N055.52.05.197 W004.25.59.605
N055.52.05.294 W004.25.59.202
N055.52.05.404 W004.25.58.810
N055.52.05.507 W004.25.58.565
N055.52.05.603 W004.25.58.364
N055.52.05.743 W004.25.58.198
N055.52.05.863 W004.25.58.111
N055.52.05.984 W004.25.58.023
N055.52.06.104 W004.25.57.981
N055.52.06.293 W004.25.57.985
N055.52.06.432 W004.25.57.987
N055.52.06.621 W004.25.58.014
N055.52.06.810 W004.25.58.085
N055.52.07.106 W004.25.58.170
N055.52.07.440 W004.25.58.301
N055.52.07.749 W004.25.58.442
N055.52.10.540 W004.25.59.852
N055.52.10.923 W004.25.57.641
N055.52.10.262 W004.25.57.312
N055.52.10.906 W004.25.53.466
N055.52.07.642 W004.25.51.817
N055.52.06.861 W004.25.56.392
N055.52.06.623 W004.25.56.185
N055.52.06.435 W004.25.55.945
