Glasgow N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
N055.52.06.888 W004.25.27.840 N055.52.09.300 W004.25.27.300 Olive
N055.52.09.300 W004.25.27.300 N055.52.08.904 W004.25.20.532 Olive
N055.52.08.904 W004.25.20.532 N055.52.06.564 W004.25.20.856 Olive
N055.52.06.564 W004.25.20.856 N055.52.06.888 W004.25.27.840 Olive
;Terminal
N055.51.51.480 W004.26.03.156 N055.51.50.076 W004.26.11.508 Olive
N055.51.50.076 W004.26.11.508 N055.51.57.024 W004.26.17.988 Olive
N055.51.57.024 W004.26.17.988 N055.51.57.348 W004.26.17.088 Olive
N055.51.57.348 W004.26.17.088 N055.51.50.544 W004.26.10.644 Olive
N055.51.50.544 W004.26.10.644 N055.51.50.940 W004.26.08.196 Olive
N055.51.50.940 W004.26.08.196 N055.51.51.336 W004.26.08.484 Olive
N055.51.51.336 W004.26.08.484 N055.51.51.840 W004.26.05.388 Olive
N055.51.51.840 W004.26.05.388 N055.51.51.372 W004.26.05.100 Olive
N055.51.51.372 W004.26.05.100 N055.51.51.660 W004.26.03.660 Olive
N055.51.51.660 W004.26.03.660 N055.51.52.524 W004.26.04.056 Olive
N055.51.52.524 W004.26.04.056 N055.51.53.352 W004.25.59.196 Olive
N055.51.53.352 W004.25.59.196 N055.52.00.120 W004.26.02.760 Olive
N055.52.00.120 W004.26.02.760 N055.52.00.768 W004.26.04.344 Olive
N055.52.00.768 W004.26.04.344 N055.52.01.236 W004.26.01.248 Olive
N055.52.01.236 W004.26.01.248 N055.52.00.192 W004.26.02.040 Olive
N055.52.00.192 W004.26.02.040 N055.51.53.460 W004.25.58.512 Olive
N055.51.53.460 W004.25.58.512 N055.51.54.396 W004.25.52.968 Olive
N055.51.54.396 W004.25.52.968 N055.51.57.276 W004.25.50.088 Olive
N055.51.57.276 W004.25.50.088 N055.52.00.480 W004.25.51.780 Olive
N055.52.00.480 W004.25.51.780 N055.52.00.552 W004.25.51.060 Olive
N055.52.00.552 W004.25.51.060 N055.51.57.312 W004.25.49.332 Olive
N055.51.57.312 W004.25.49.332 N055.51.54.324 W004.25.52.248 Olive
N055.51.54.324 W004.25.52.248 N055.51.54.612 W004.25.50.448 Olive
N055.51.54.612 W004.25.50.448 N055.51.53.460 W004.25.49.692 Olive
N055.51.53.460 W004.25.49.692 N055.51.53.208 W004.25.51.096 Olive
N055.51.53.208 W004.25.51.096 N055.51.52.884 W004.25.50.952 Olive
N055.51.52.884 W004.25.50.952 N055.51.52.632 W004.25.52.500 Olive
N055.51.52.632 W004.25.52.500 N055.51.53.028 W004.25.52.788 Olive
N055.51.53.028 W004.25.52.788 N055.51.52.848 W004.25.53.616 Olive
N055.51.52.848 W004.25.53.616 N055.51.51.552 W004.25.52.824 Olive
