;Perimeter
REGIONNAME Retford Gamston
smrGPGrass N053.16.21.370 W000.57.16.492
N053.16.58.178 W000.57.19.270
N053.16.57.958 W000.57.19.129
N053.16.57.164 W000.57.19.108
N053.16.57.100 W000.57.19.357
N053.16.57.010 W000.57.19.540
N053.16.56.883 W000.57.19.679
N053.16.56.664 W000.57.19.740
N053.16.56.457 W000.57.19.748
N053.16.56.233 W000.57.19.623
N053.16.56.066 W000.57.19.405
N053.16.55.860 W000.57.19.123
N053.16.55.790 W000.57.18.907
N053.16.55.811 W000.57.18.267
N053.16.56.002 W000.57.17.958
N053.16.56.141 W000.57.17.695
N053.16.56.283 W000.57.17.575
N053.16.56.538 W000.57.17.488
N053.16.56.776 W000.57.17.522
N053.16.56.946 W000.57.17.621
N053.16.57.106 W000.57.17.814
N053.16.57.178 W000.57.18.022
N053.16.58.113 W000.57.18.047
N053.16.58.232 W000.57.18.024
N053.16.58.378 W000.57.17.857
N053.16.58.523 W000.57.17.590
N053.16.58.590 W000.57.17.374
N053.16.58.623 W000.57.17.024
N053.16.58.738 W000.57.08.722
N053.16.58.737 W000.57.06.298
N053.16.57.356 W000.57.01.035
N053.16.57.217 W000.57.00.905
N053.16.57.736 W000.57.00.505
N053.16.58.164 W000.57.02.359
N053.16.59.091 W000.57.05.963
N053.16.59.273 W000.57.06.074
N053.16.59.454 W000.57.06.099
N053.16.59.632 W000.57.06.082
N053.17.00.732 W000.57.05.241
N053.17.15.979 W000.56.53.423
N053.17.16.137 W000.56.53.270
N053.17.16.331 W000.56.53.046
N053.17.16.553 W000.56.52.721
N053.17.16.814 W000.56.52.276
N053.17.17.043 W000.56.51.810
N053.17.17.203 W000.56.51.477
N053.17.17.372 W000.56.51.093
N053.17.17.514 W000.56.50.657
N053.17.17.575 W000.56.50.237
N053.17.17.631 W000.56.49.703
N053.17.17.663 W000.56.49.255
N053.17.17.708 W000.56.48.772
N053.17.17.707 W000.56.48.335
N053.17.17.643 W000.56.47.634
N053.17.17.479 W000.56.46.589
N053.17.17.375 W000.56.46.099
N053.17.17.232 W000.56.45.784
N053.17.16.985 W000.56.45.592
N053.17.16.929 W000.56.45.577
N053.17.17.483 W000.56.45.125
N053.17.17.930 W000.56.46.502
N053.17.18.099 W000.56.47.316
N053.17.18.179 W000.56.48.166
N053.17.18.153 W000.56.49.159
N053.17.18.052 W000.56.50.058
N053.17.17.875 W000.56.51.040
N053.17.17.588 W000.56.51.976
N053.17.17.217 W000.56.52.774
N053.17.16.700 W000.56.53.590
N053.17.16.366 W000.56.53.960
N053.17.15.766 W000.56.54.435
N053.17.12.865 W000.56.56.526
N053.17.03.641 W000.57.03.814
N053.17.03.679 W000.57.04.362
N053.17.04.736 W000.57.05.559
N053.17.04.584 W000.57.05.772
N053.17.03.510 W000.57.04.496
N053.17.03.377 W000.57.04.384
N053.17.03.220 W000.57.04.323
N053.17.03.046 W000.57.04.312
N053.17.02.875 W000.57.04.368
N053.17.00.200 W000.57.06.625
N053.17.00.053 W000.57.06.789
N053.16.59.902 W000.57.07.094
N053.16.59.635 W000.57.07.786
N053.16.59.355 W000.57.08.711
N053.16.59.247 W000.57.09.415
N053.16.59.050 W000.57.26.575
N053.16.59.155 W000.57.26.861
N053.16.59.385 W000.57.27.196
N053.16.59.634 W000.57.27.369
N053.17.01.120 W000.57.27.453
N053.17.01.872 W000.57.27.342
N053.17.02.197 W000.57.28.551
N053.17.02.845 W000.57.31.033
N053.17.03.115 W000.57.32.337
N053.17.03.086 W000.57.33.850
N053.17.02.902 W000.57.34.700
N053.17.02.709 W000.57.35.112
N053.17.02.433 W000.57.35.581
N053.17.00.763 W000.57.37.108
N053.16.58.914 W000.57.37.150
N053.16.58.769 W000.57.45.139
N053.16.58.886 W000.57.45.397
N053.16.59.074 W000.57.45.483
N053.17.00.174 W000.57.45.427
N053.17.00.229 W000.57.45.215
N053.17.00.275 W000.57.44.473
N053.17.00.379 W000.57.44.126
N053.17.00.575 W000.57.43.873
N053.17.00.808 W000.57.43.824
N053.17.02.381 W000.57.43.936
N053.17.02.645 W000.57.44.236
N053.17.02.726 W000.57.44.553
N053.17.02.756 W000.57.44.972
N053.17.02.868 W000.57.45.428
N053.17.03.057 W000.57.45.525
N053.17.03.862 W000.57.45.516
N053.17.03.858 W000.57.45.804
N053.17.03.400 W000.57.45.788
N053.17.03.306 W000.57.45.956
N053.17.03.278 W000.57.46.304
N053.17.03.272 W000.57.46.754
N053.17.03.225 W000.57.47.224
