;Airfield Boundary
REGIONNAME Leeming
N054.17.37.832 W001.32.01.418
N054.17.37.491 W001.32.01.238

;North_HAS_grass
REGIONNAME Leeming
smrMilGrass N054.18.02.990 W001.32.09.932
N054.18.06.140 W001.32.23.645
N054.18.06.447 W001.32.20.541
N054.18.05.588 W001.32.17.060
N054.18.05.915 W001.32.16.779
N054.18.05.731 W001.32.15.994
N054.18.06.439 W001.32.15.313
N054.18.07.407 W001.32.19.793
N054.18.07.084 W001.32.21.020
N054.18.06.684 W001.32.25.844
N054.18.07.106 W001.32.27.994
N054.18.07.319 W001.32.28.373
N054.18.07.660 W001.32.28.691
N054.18.08.126 W001.32.28.670
N054.18.08.329 W001.32.28.331
N054.18.09.229 W001.32.26.404
N054.18.09.367 W001.32.24.387
N054.18.08.972 W001.32.22.844
N054.18.08.763 W001.32.22.699
N054.18.08.498 W001.32.22.038
N054.18.08.704 W001.32.20.757
N054.18.08.273 W001.32.19.936
N054.18.08.594 W001.32.18.370
N054.18.08.932 W001.32.18.445
N054.18.09.112 W001.32.17.553
N054.18.09.911 W001.32.17.899
N054.18.09.599 W001.32.20.577
N054.18.09.692 W001.32.21.354
N054.18.09.537 W001.32.22.306
N054.18.10.132 W001.32.24.482
N054.18.14.329 W001.32.15.584
N054.18.14.574 W001.32.14.943
N054.18.14.473 W001.32.14.551
N054.18.14.289 W001.32.14.246
N054.18.13.518 W001.32.14.747
N054.18.13.307 W001.32.15.685
N054.18.12.405 W001.32.16.192
N054.18.12.263 W001.32.15.715
N054.18.11.631 W001.32.15.981
N054.18.11.411 W001.32.14.782
N054.18.12.840 W001.32.13.784
N054.18.13.278 W001.32.12.986
N054.18.13.916 W001.32.12.645
N054.18.14.298 W001.32.12.952
N054.18.14.436 W001.32.13.706
N054.18.14.594 W001.32.13.835
N054.18.14.887 W001.32.13.636
N054.18.15.104 W001.32.12.352
N054.18.14.914 W001.32.12.024
N054.18.13.993 W001.32.11.938
N054.18.12.993 W001.32.12.276
N054.18.11.956 W001.32.12.835
N054.18.11.424 W001.32.13.765
N054.18.10.962 W001.32.13.751
N054.18.10.408 W001.32.12.852
N054.18.09.823 W001.32.12.889
N054.18.09.196 W001.32.11.783
N054.18.09.412 W001.32.11.427
N054.18.08.983 W001.32.10.588
N054.18.09.582 W001.32.09.551
N054.18.10.653 W001.32.11.418
N054.18.11.765 W001.32.12.165
N054.18.13.396 W001.32.11.327
N054.18.13.858 W001.32.11.206
N054.18.14.896 W001.32.11.357
N054.18.15.180 W001.32.10.928
N054.18.15.100 W001.32.09.702
N054.18.14.804 W001.32.08.218
N054.18.12.719 W001.32.01.754
N054.18.12.496 W001.32.01.416
N054.18.12.171 W001.32.01.352

;North_East_HAS_grass
REGIONNAME Leeming
smrMilGrass N054.17.55.366 W001.31.37.693
N054.18.02.374 W001.32.07.449
N054.18.02.582 W001.32.07.431
N054.18.11.439 W001.31.59.290
N054.18.11.640 W001.31.58.896
N054.18.11.664 W001.31.58.389
N054.18.05.968 W001.31.40.228
N054.18.05.464 W001.31.38.539
N054.18.04.967 W001.31.37.730
N054.18.04.606 W001.31.37.885
N054.18.04.535 W001.31.38.409
N054.18.04.749 W001.31.39.297
N054.18.05.300 W001.31.39.594
