;- HEATHROW HOLDING POINTS
N051.27.32.770:W000.27.14.240:EGLL Old SMR Labels:452
N051.27.35.190:W000.27.14.160:EGLL Old SMR Labels:453
N051.27.38.990:W000.27.15.030:EGLL Old SMR Labels:454
N051.27.40.990:W000.27.17.220:EGLL Old SMR Labels:455
N051.27.42.990:W000.27.19.410:EGLL Old SMR Labels:456
N051.27.28.280:W000.27.09.760:EGLL Old SMR Labels:461
N051.27.25.900:W000.27.07.100:EGLL Old SMR Labels:463
N051.27.45.790:W000.27.22.160:EGLL Old SMR Labels:RS
N051.27.46.370:W000.27.30.690:EGLL Old SMR Labels:601
N051.27.46.360:W000.27.34.550:EGLL Old SMR Labels:602
N051.27.46.350:W000.27.38.400:EGLL Old SMR Labels:603
N051.27.46.330:W000.27.42.260:EGLL Old SMR Labels:604
N051.27.46.320:W000.27.46.120:EGLL Old SMR Labels:605
N051.27.46.310:W000.27.50.210:EGLL Old SMR Labels:606
N051.27.46.100:W000.27.53.930:EGLL Old SMR Labels:607
N051.27.46.090:W000.27.57.710:EGLL Old SMR Labels:608
N051.27.46.080:W000.28.01.500:EGLL Old SMR Labels:609
N051.27.41.430:W000.28.19.510:EGLL Old SMR Labels:611
N051.27.39.620:W000.28.19.490:EGLL Old SMR Labels:612
N051.27.37.340:W000.28.19.470:EGLL Old SMR Labels:613
N051.27.37.810:W000.28.27.350:EGLL Old SMR Labels:614
N051.27.40.940:W000.28.27.350:EGLL Old SMR Labels:615
N051.27.44.060:W000.28.27.350:EGLL Old SMR Labels:616
;
N051.28.27.700:W000.29.22.330:EGLL Old SMR Labels:501
N051.28.26.520:W000.29.20.100:EGLL Old SMR Labels:502
N051.28.27.700:W000.29.17.870:EGLL Old SMR Labels:503
N051.28.26.520:W000.29.15.290:EGLL Old SMR Labels:505
N051.28.26.360:W000.29.09.650:EGLL Old SMR Labels:506
N051.28.24.970:W000.29.09.650:EGLL Old SMR Labels:507
N051.28.23.360:W000.29.09.650:EGLL Old SMR Labels:508
N051.28.21.750:W000.29.09.650:EGLL Old SMR Labels:509
N051.28.20.350:W000.29.09.650:EGLL Old SMR Labels:511
N051.28.18.740:W000.29.09.650:EGLL Old SMR Labels:512
N051.28.16.810:W000.29.09.650:EGLL Old SMR Labels:513
N051.28.16.560:W000.29.09.650:EGLL Old SMR Labels:514
N051.28.16.120:W000.29.09.650:EGLL Old SMR Labels:515
N051.28.14.160:W000.29.09.650:EGLL Old SMR Labels:516
N051.28.13.730:W000.29.09.650:EGLL Old SMR Labels:517
N051.28.11.750:W000.29.09.650:EGLL Old SMR Labels:518
N051.28.10.270:W000.29.08.650:EGLL Old SMR Labels:519
N051.28.09.410:W000.29.11.330:EGLL Old SMR Labels:520
N051.28.10.420:W000.29.13.760:EGLL Old SMR Labels:521
N051.28.09.410:W000.29.16.360:EGLL Old SMR Labels:522
N051.28.10.400:W000.29.18.950:EGLL Old SMR Labels:523
N051.28.05.900:W000.29.19.390:EGLL Old SMR Labels:524
N051.28.05.900:W000.29.16.350:EGLL Old SMR Labels:525
N051.28.05.920:W000.29.12.540:EGLL Old SMR Labels:526
N051.28.06.000:W000.29.09.320:EGLL Old SMR Labels:527
N051.28.25.690:W000.28.55.740:EGLL Old SMR Labels:531
N051.28.23.300:W000.28.55.720:EGLL Old SMR Labels:532
N051.28.20.900:W000.28.55.700:EGLL Old SMR Labels:533
N051.28.18.510:W000.28.55.680:EGLL Old SMR Labels:534
N051.28.16.110:W000.28.55.660:EGLL Old SMR Labels:535
N051.28.13.720:W000.28.55.630:EGLL Old SMR Labels:536
N051.28.11.320:W000.28.55.610:EGLL Old SMR Labels:537
N051.28.08.930:W000.28.55.590:EGLL Old SMR Labels:538
N051.28.06.540:W000.28.55.570:EGLL Old SMR Labels:539
N051.28.06.480:W000.28.48.460:EGLL Old SMR Labels:541
N051.28.08.880:W000.28.48.480:EGLL Old SMR Labels:542
N051.28.11.270:W000.28.48.480:EGLL Old SMR Labels:543
N051.28.13.780:W000.28.48.480:EGLL Old SMR Labels:544
N051.28.16.420:W000.28.48.480:EGLL Old SMR Labels:545
N051.28.19.910:W000.28.48.480:EGLL Old SMR Labels:546
N051.28.23.000:W000.28.48.480:EGLL Old SMR Labels:547
N051.28.25.200:W000.28.48.480:EGLL Old SMR Labels:548
N051.28.06.600:W000.28.37.540:EGLL Old SMR Labels:551
N051.28.09.000:W000.28.37.560:EGLL Old SMR Labels:552
N051.28.11.390:W000.28.37.580:EGLL Old SMR Labels:553
N051.28.13.780:W000.28.37.600:EGLL Old SMR Labels:554
N051.28.16.420:W000.28.37.630:EGLL Old SMR Labels:555
N051.28.19.910:W000.28.37.660:EGLL Old SMR Labels:556
N051.28.23.000:W000.28.37.550:EGLL Old SMR Labels:557
N051.28.25.200:W000.28.37.630:EGLL Old SMR Labels:558
N051.28.26.400:W000.28.29.780:EGLL Old SMR Labels:561
N051.28.23.280:W000.28.29.780:EGLL Old SMR Labels:562
N051.28.19.962:W000.28.29.887:EGLL Old SMR Labels:563
N051.28.16.645:W000.28.29.887:EGLL Old SMR Labels:564
N051.28.13.328:W000.28.29.887:EGLL Old SMR Labels:565
N051.28.11.050:W000.28.29.780:EGLL Old SMR Labels:566
N051.28.08.940:W000.28.29.780:EGLL Old SMR Labels:567
N051.28.06.550:W000.28.29.780:EGLL Old SMR Labels:568
;575 still to be surveyed
N051.28.11.950:W000.28.19.920:EGLL Old SMR Labels:575
N051.28.09.770:W000.28.19.920:EGLL Old SMR Labels:576
N051.28.04.400:W000.28.19.070:EGLL Old SMR Labels:581
N051.28.04.410:W000.28.15.580:EGLL Old SMR Labels:582
N051.28.04.430:W000.28.11.670:EGLL Old SMR Labels:583
N051.28.08.970:W000.28.09.530:EGLL Old SMR Labels:590
N051.28.11.480:W000.28.09.530:EGLL Old SMR Labels:591
N051.28.13.910:W000.28.09.560:EGLL Old SMR Labels:592
N051.28.19.580:W000.28.09.870:EGLL Old SMR Labels:594
N051.28.22.560:W000.28.09.850:EGLL Old SMR Labels:595
;596 still to be surveyed
N051.28.25.420:W000.28.10.230:EGLL Old SMR Labels:596
