EGLL Heathrow SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.36.29.115 W000.46.16.057 N051.36.37.553 W000.46.37.403
                            N051.36.37.553 W000.46.37.403 N051.36.47.112 W000.46.57.482
                            N051.36.47.112 W000.46.57.482 N051.36.57.721 W000.47.16.142
                            N051.36.57.721 W000.47.16.142 N051.37.09.298 W000.47.33.241
                            N051.37.09.298 W000.47.33.241 N051.37.21.756 W000.47.48.648
                            N051.37.21.756 W000.47.48.648 N051.37.35.000 W000.48.02.247
                            N051.37.35.000 W000.48.02.247 N051.37.48.929 W000.48.13.933
                            N051.37.48.929 W000.48.13.933 N051.38.03.436 W000.48.23.618
                            N051.38.03.436 W000.48.23.618 N051.38.18.413 W000.48.31.229
                            N051.38.18.413 W000.48.31.229 N051.38.19.000 W000.48.30.000

                            N051.16.24.000 W000.59.11.000 N051.18.18.000 W000.26.50.000
                            N051.18.18.000 W000.26.50.000 N051.20.49.000 W000.08.40.000
                            N051.20.49.000 W000.08.40.000 N051.15.48.000 W000.06.13.000
                            N051.15.48.000 W000.06.13.000 N051.15.28.915 W000.06.05.551
                            N051.15.28.915 W000.06.05.551 N051.15.09.572 W000.05.52.742
                            N051.15.09.572 W000.05.52.742 N051.14.51.000 W000.05.37.286
                            N051.14.51.000 W000.05.37.286 N051.14.33.342 W000.05.19.301
                            N051.14.33.342 W000.05.19.301 N051.14.16.731 W000.04.58.924
                            N051.14.16.731 W000.04.58.924 N051.14.01.294 W000.04.36.310
                            N051.14.01.294 W000.04.36.310 N051.13.47.149 W000.04.11.632
                            N051.13.47.149 W000.04.11.632 N051.13.34.404 W000.03.45.076
                            N051.13.34.404 W000.03.45.076 N051.13.23.154 W000.03.16.845
                            N051.13.23.154 W000.03.16.845 N051.13.13.486 W000.02.47.155
                            N051.13.13.486 W000.02.47.155 N051.13.05.474 W000.02.16.230
                            N051.13.05.474 W000.02.16.230 N051.12.59.178 W000.01.44.306
                            N051.12.59.178 W000.01.44.306 N051.12.54.646 W000.01.11.627
                            N051.12.54.646 W000.01.11.627 N051.12.51.913 W000.00.38.441
                            N051.12.51.913 W000.00.38.441 N051.12.52.000 W000.00.25.000
                            N051.12.52.000 W000.00.25.000 N051.11.01.000 W000.01.06.000
                            N051.11.01.000 W000.01.06.000 N051.08.53.000 W000.11.25.000
                            N051.08.53.000 W000.11.25.000 N051.16.24.000 W000.59.11.000

                            N051.30.22.000 W000.10.00.000 N051.30.31.688 W000.10.00.078
                            N051.30.31.688 W000.10.00.078 N051.30.47.257 W000.09.56.785
                            N051.30.47.257 W000.09.56.785 N051.31.02.587 W000.09.51.325
                            N051.31.02.587 W000.09.51.325 N051.31.17.564 W000.09.43.738
                            N051.31.17.564 W000.09.43.738 N051.31.32.071 W000.09.34.084
                            N051.31.32.071 W000.09.34.084 N051.31.46.000 W000.09.22.436
                            N051.31.46.000 W000.09.22.436 N051.31.59.244 W000.09.08.881
                            N051.31.59.244 W000.09.08.881 N051.32.11.702 W000.08.53.523
                            N051.32.11.702 W000.08.53.523 N051.32.23.279 W000.08.36.480
                            N051.32.23.279 W000.08.36.480 N051.32.33.888 W000.08.17.880
                            N051.32.33.888 W000.08.17.880 N051.32.43.447 W000.07.57.866
                            N051.32.43.447 W000.07.57.866 N051.32.51.885 W000.07.36.589
                            N051.32.51.885 W000.07.36.589 N051.32.59.135 W000.07.14.212
                            N051.32.59.135 W000.07.14.212 N051.33.05.145 W000.06.50.905
                            N051.33.05.145 W000.06.50.905 N051.33.09.867 W000.06.26.845
                            N051.33.09.867 W000.06.26.845 N051.33.13.265 W000.06.02.215
                            N051.33.13.265 W000.06.02.215 N051.33.15.315 W000.05.37.204
                            N051.33.15.315 W000.05.37.204 N051.33.16.000 W000.05.12.000
                            N051.33.16.000 W000.05.12.000 N051.33.15.315 W000.04.46.796
                            N051.33.15.315 W000.04.46.796 N051.33.13.265 W000.04.21.785
                            N051.33.13.265 W000.04.21.785 N051.33.09.867 W000.03.57.155
                            N051.33.09.867 W000.03.57.155 N051.33.05.145 W000.03.33.095
                            N051.33.05.145 W000.03.33.095 N051.32.59.135 W000.03.09.788
                            N051.32.59.135 W000.03.09.788 N051.32.51.885 W000.02.47.411
                            N051.32.51.885 W000.02.47.411 N051.32.43.447 W000.02.26.134
                            N051.32.43.447 W000.02.26.134 N051.32.33.888 W000.02.06.120
                            N051.32.33.888 W000.02.06.120 N051.32.23.279 W000.01.47.520
                            N051.32.23.279 W000.01.47.520 N051.32.11.702 W000.01.30.477
                            N051.32.11.702 W000.01.30.477 N051.31.59.244 W000.01.15.119
                            N051.31.59.244 W000.01.15.119 N051.31.46.000 W000.01.01.564
                            N051.31.46.000 W000.01.01.564 N051.31.32.071 W000.00.49.916
                            N051.31.32.071 W000.00.49.916 N051.31.17.564 W000.00.40.262
                            N051.31.17.564 W000.00.40.262 N051.31.02.587 W000.00.32.675
                            N051.31.02.587 W000.00.32.675 N051.30.47.257 W000.00.27.215
                            N051.30.47.257 W000.00.27.215 N051.30.40.000 W000.00.26.000
                            N051.30.40.000 W000.00.26.000 N051.25.56.000 E000.00.36.000
                            N051.25.56.000 E000.00.36.000 N051.22.25.000 E000.03.02.000
                            N051.22.25.000 E000.03.02.000 N051.20.49.000 W000.08.40.000
