Coastline (Low Detail) S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000 geoDefault
; NOAA object 1
N057.40.32.950 W006.16.40.022 N057.39.50.707 W006.16.40.022 geoDefault
N057.39.50.707 W006.16.40.022 N057.36.02.590 W006.18.04.507 geoDefault
N057.36.02.590 W006.18.04.507 N057.30.41.556 W006.19.20.546 geoDefault
N057.30.41.556 W006.19.20.546 N057.28.09.478 W006.20.02.788 geoDefault
N057.28.09.478 W006.20.02.788 N057.32.48.283 W006.28.38.154 geoDefault
N057.32.48.283 W006.28.38.154 N057.29.59.300 W006.32.34.713 geoDefault
N057.29.59.300 W006.32.34.713 N057.28.09.478 W006.35.15.237 geoDefault
N057.28.09.478 W006.35.15.237 N057.22.48.430 W006.37.55.761 geoDefault
N057.22.48.430 W006.37.55.761 N057.21.07.039 W006.33.16.959 geoDefault
N057.21.07.039 W006.33.16.959 N057.21.07.039 W006.25.23.836 geoDefault
N057.21.07.039 W006.25.23.836 N057.14.13.061 W006.20.45.031 geoDefault
N057.14.13.061 W006.20.45.031 N057.10.58.740 W006.14.41.740 geoDefault
N057.10.58.740 W006.14.41.740 N057.07.27.528 W006.14.41.740 geoDefault
N057.07.27.528 W006.14.41.740 N057.07.27.528 W006.10.02.938 geoDefault
N057.07.27.528 W006.10.02.938 N057.07.44.433 W006.02.09.815 geoDefault
N057.07.44.433 W006.02.09.815 N057.08.52.013 W005.52.52.208 geoDefault
N057.08.52.013 W005.52.52.208 N057.06.03.043 W005.52.52.208 geoDefault
N057.06.03.043 W005.52.52.208 N057.02.48.723 W005.52.18.411 geoDefault
N057.02.48.723 W005.52.18.411 N057.04.13.207 W005.45.41.327 geoDefault
N057.04.13.207 W005.45.41.327 N057.09.17.364 W005.42.18.561 geoDefault
N057.09.17.364 W005.42.18.561 N057.12.48.576 W005.39.04.244 geoDefault
N057.12.48.576 W005.39.04.244 N057.13.13.927 W005.46.57.367 geoDefault
N057.13.13.927 W005.46.57.367 N057.13.56.169 W005.53.34.450 geoDefault
N057.13.56.169 W005.53.34.450 N057.16.02.897 W005.57.31.010 geoDefault
N057.16.02.897 W005.57.31.010 N057.22.06.187 W005.57.31.010 geoDefault
N057.22.06.187 W005.57.31.010 N057.23.30.672 W005.59.29.291 geoDefault
N057.23.30.672 W005.59.29.291 N057.27.52.572 W006.05.32.582 geoDefault
N057.27.52.572 W006.05.32.582 N057.31.40.690 W006.05.32.582 geoDefault
N057.31.40.690 W006.05.32.582 N057.35.37.253 W006.07.30.863 geoDefault
N057.35.37.253 W006.07.30.863 N057.39.33.816 W006.13.25.705 geoDefault
N057.39.33.816 W006.13.25.705 N057.40.16.058 W006.14.41.740 geoDefault
; NOAA object 23
N054.56.30.326 W007.26.47.429 N054.59.10.850 W007.26.47.429 geoDefault
N054.59.10.850 W007.26.47.429 N054.59.10.850 W007.26.13.635 geoDefault
N054.59.10.850 W007.26.13.635 N055.04.06.547 W007.27.29.671 geoDefault
N055.04.06.547 W007.27.29.671 N055.12.08.119 W007.28.11.913 geoDefault
N055.12.08.119 W007.28.11.913 N055.13.32.604 W007.29.27.953 geoDefault
N055.13.32.604 W007.29.27.953 N055.12.50.361 W007.36.05.036 geoDefault
N055.12.50.361 W007.36.05.036 N055.10.35.188 W007.41.26.084 geoDefault
N055.10.35.188 W007.41.26.084 N055.09.27.595 W007.46.38.683 geoDefault
N055.09.27.595 W007.46.38.683 N055.11.17.431 W007.50.43.692 geoDefault
N055.11.17.431 W007.50.43.692 N055.06.47.071 W008.02.33.376 geoDefault
N055.06.47.071 W008.02.33.376 N055.01.51.374 W008.11.08.741 geoDefault
N055.01.51.374 W008.11.08.741 N055.00.43.781 W008.16.29.789 geoDefault
N055.00.43.781 W008.16.29.789 N054.54.40.490 W008.19.44.106 geoDefault
N054.54.40.490 W008.19.44.106 N054.51.59.966 W008.17.12.032 geoDefault
N054.51.59.966 W008.17.12.032 N054.50.01.685 W008.18.28.064 geoDefault
N054.50.01.685 W008.18.28.064 N054.45.05.988 W008.25.47.397 geoDefault
N054.45.05.988 W008.25.47.397 N054.41.17.870 W008.35.38.794 geoDefault
N054.41.17.870 W008.35.38.794 N054.40.27.182 W008.37.37.079 geoDefault
N054.40.27.182 W008.37.37.079 N054.40.10.291 W008.38.19.318 geoDefault
N054.40.10.291 W008.38.19.318 N054.36.22.173 W008.35.38.794 geoDefault
N054.36.22.173 W008.35.38.794 N054.36.22.173 W008.26.21.190 geoDefault
N054.36.22.173 W008.26.21.190 N054.35.06.134 W008.20.26.349 geoDefault
N054.35.06.134 W008.20.26.349 N054.36.22.173 W008.14.31.508 geoDefault
N054.36.22.173 W008.14.31.508 N054.36.22.173 W008.04.31.658 geoDefault
N054.36.22.173 W008.04.31.658 N054.33.33.203 W008.03.57.861 geoDefault
N054.33.33.203 W008.03.57.861 N054.28.12.155 W008.07.54.424 geoDefault
N054.28.12.155 W008.07.54.424 N054.27.04.562 W008.12.33.226 geoDefault
N054.27.04.562 W008.12.33.226 N054.23.33.350 W008.21.08.591 geoDefault
N054.23.33.350 W008.21.08.591 N054.20.35.934 W008.27.03.429 geoDefault
N054.20.35.934 W008.27.03.429 N054.17.46.965 W008.26.21.190 geoDefault
N054.17.46.965 W008.26.21.190 N054.15.06.441 W008.27.03.429 geoDefault
N054.15.06.441 W008.27.03.429 N054.13.58.847 W008.27.45.672 geoDefault
N054.13.58.847 W008.27.45.672 N054.14.24.185 W008.44.14.160 geoDefault
N054.14.24.185 W008.44.14.160 N054.13.08.159 W008.54.14.010 geoDefault
N054.13.08.159 W008.54.14.010 N054.12.25.917 W009.04.05.414 geoDefault
N054.12.25.917 W009.04.05.414 N054.16.14.020 W009.08.01.974 geoDefault
N054.16.14.020 W009.08.01.974 N054.17.04.709 W009.19.17.863 geoDefault
N054.17.04.709 W009.19.17.863 N054.17.46.965 W009.35.12.558 geoDefault
N054.17.46.965 W009.35.12.558 N054.13.08.159 W009.41.49.641 geoDefault
N054.13.08.159 W009.41.49.641 N054.06.56.409 W009.47.02.240 geoDefault
N054.06.56.409 W009.47.02.240 N054.02.17.617 W009.45.03.959 geoDefault
N054.02.17.617 W009.45.03.959 N053.56.56.570 W009.43.05.677 geoDefault
N053.56.56.570 W009.43.05.677 N053.58.29.500 W009.49.42.764 geoDefault
N053.58.29.500 W009.49.42.764 N053.57.13.461 W009.59.42.614 geoDefault
N053.57.13.461 W009.59.42.614 N053.52.09.318 W009.51.41.042 geoDefault
N053.52.09.318 W009.51.41.042 N053.50.36.374 W009.35.12.558 geoDefault
N053.50.36.374 W009.35.12.558 N053.50.36.374 W009.28.35.471 geoDefault
N053.50.36.374 W009.28.35.471 N053.46.39.811 W009.26.37.192 geoDefault
N053.46.39.811 W009.26.37.192 N053.43.08.599 W009.35.54.800 geoDefault
N053.43.08.599 W009.35.54.800 N053.40.28.075 W009.43.47.919 geoDefault
N053.40.28.075 W009.43.47.919 N053.35.23.932 W009.47.44.482 geoDefault
N053.35.23.932 W009.47.44.482 N053.31.52.706 W009.56.19.848 geoDefault
N053.31.52.706 W009.56.19.848 N053.27.05.455 W009.57.02.090 geoDefault
N053.27.05.455 W009.57.02.090 N053.22.43.554 W009.49.42.764 geoDefault
N053.22.43.554 W009.49.42.764 N053.21.52.866 W009.44.30.165 geoDefault
N053.21.52.866 W009.44.30.165 N053.18.21.640 W009.44.30.165 geoDefault
N053.18.21.640 W009.44.30.165 N053.17.56.303 W009.37.10.836 geoDefault
N053.17.56.303 W009.37.10.836 N053.18.46.991 W009.30.33.752 geoDefault
N053.18.46.991 W009.30.33.752 N053.14.25.091 W009.28.35.471 geoDefault
N053.14.25.091 W009.28.35.471 N053.13.42.849 W009.18.01.827 geoDefault
N053.13.42.849 W009.18.01.827 N053.13.42.849 W009.01.24.890 geoDefault
N053.13.42.849 W009.01.24.890 N053.13.42.849 W008.52.49.525 geoDefault
N053.13.42.849 W008.52.49.525 N053.10.03.177 W008.49.35.208 geoDefault
N053.10.03.177 W008.49.35.208 N053.07.39.558 W008.54.14.010 geoDefault
N053.07.39.558 W008.54.14.010 N053.04.08.332 W009.08.01.974 geoDefault
N053.04.08.332 W009.08.01.974 N052.58.55.744 W009.16.03.546 geoDefault
N052.58.55.744 W009.16.03.546 N052.54.33.830 W009.17.19.581 geoDefault
N052.54.33.830 W009.17.19.581 N052.49.21.227 W009.18.01.827 geoDefault
N052.49.21.227 W009.18.01.827 N052.43.17.937 W009.22.40.629 geoDefault
N052.43.17.937 W009.22.40.629 N052.39.21.388 W009.28.35.471 geoDefault
N052.39.21.388 W009.28.35.471 N052.34.51.028 W009.35.54.800 geoDefault
N052.34.51.028 W009.35.54.800 N052.34.34.123 W009.37.53.078 geoDefault
N052.34.34.123 W009.37.53.078 N052.33.43.434 W009.38.26.875 geoDefault
N052.33.43.434 W009.38.26.875 N052.33.18.097 W009.39.51.360 geoDefault
N052.33.18.097 W009.39.51.360 N052.32.52.746 W009.38.26.875 geoDefault
N052.32.52.746 W009.38.26.875 N052.33.43.434 W009.31.15.994 geoDefault
N052.33.43.434 W009.31.15.994 N052.34.34.123 W009.29.51.510 geoDefault
N052.34.34.123 W009.29.51.510 N052.34.34.123 W009.23.56.668 geoDefault
N052.34.34.123 W009.23.56.668 N052.35.16.379 W009.13.56.815 geoDefault
N052.35.16.379 W009.13.56.815 N052.36.32.404 W009.04.05.414 geoDefault
N052.36.32.404 W009.04.05.414 N052.41.19.655 W008.55.30.049 geoDefault
N052.41.19.655 W008.55.30.049 N052.45.41.570 W008.50.09.001 geoDefault
N052.45.41.570 W008.50.09.001 N052.46.06.920 W008.49.35.208 geoDefault
N052.46.06.920 W008.49.35.208 N052.47.22.946 W008.46.54.684 geoDefault
N052.47.22.946 W008.46.54.684 N052.46.32.258 W008.46.12.441 geoDefault
N052.46.32.258 W008.46.12.441 N052.42.10.357 W008.46.54.684 geoDefault
N052.42.10.357 W008.46.54.684 N052.39.46.725 W008.46.12.441 geoDefault
N052.39.46.725 W008.46.12.441 N052.38.56.037 W008.36.54.837 geoDefault
N052.38.56.037 W008.36.54.837 N052.37.39.998 W008.36.21.037 geoDefault
N052.37.39.998 W008.36.21.037 N052.35.41.716 W008.45.38.651 geoDefault
N052.35.41.716 W008.45.38.651 N052.34.34.123 W008.59.26.608 geoDefault
N052.34.34.123 W008.59.26.608 N052.32.02.058 W009.12.40.779 geoDefault
N052.32.02.058 W009.12.40.779 N052.31.19.816 W009.29.51.510 geoDefault
N052.31.19.816 W009.29.51.510 N052.26.49.456 W009.33.48.069 geoDefault
N052.26.49.456 W009.33.48.069 N052.19.55.477 W009.41.49.641 geoDefault
N052.19.55.477 W009.41.49.641 N052.15.33.563 W009.42.31.884 geoDefault
N052.15.33.563 W009.42.31.884 N052.13.26.836 W009.45.46.201 geoDefault
N052.13.26.836 W009.45.46.201 N052.14.17.524 W009.52.23.285 geoDefault
N052.14.17.524 W009.52.23.285 N052.12.44.594 W009.59.00.372 geoDefault
; NOAA object 24
N052.04.59.927 W010.02.23.138 N052.06.07.506 W009.48.26.725 geoDefault
N052.06.07.506 W009.48.26.725 N052.02.53.186 W009.46.28.443 geoDefault
; NOAA object 25
N051.45.00.220 W010.00.16.407 N051.45.00.220 W009.58.18.126 geoDefault
N051.45.00.220 W009.58.18.126 N051.46.07.813 W009.52.23.285 geoDefault
N051.46.07.813 W009.52.23.285 N051.47.49.189 W009.43.47.919 geoDefault
N051.47.49.189 W009.43.47.919 N051.49.55.917 W009.33.48.069 geoDefault
N051.49.55.917 W009.33.48.069 N051.45.42.462 W009.33.14.276 geoDefault
N051.45.42.462 W009.33.14.276 N051.42.53.492 W009.43.05.677 geoDefault
N051.42.53.492 W009.43.05.677 N051.38.48.484 W009.51.07.249 geoDefault
N051.38.48.484 W009.51.07.249 N051.36.16.405 W009.55.46.051 geoDefault
N051.36.16.405 W009.55.46.051 N051.35.08.812 W009.57.44.333 geoDefault
N051.35.08.812 W009.57.44.333 N051.35.08.812 W009.53.05.530 geoDefault
N051.35.08.812 W009.53.05.530 N051.37.57.795 W009.43.05.677 geoDefault
N051.37.57.795 W009.43.05.677 N051.38.23.133 W009.36.28.593 geoDefault
N051.38.23.133 W009.36.28.593 N051.40.29.874 W009.27.10.986 geoDefault
N051.40.29.874 W009.27.10.986 N051.41.12.102 W009.25.12.704 geoDefault
N051.41.12.102 W009.25.12.704 N051.39.13.821 W009.23.14.426 geoDefault
N051.39.13.821 W009.23.14.426 N051.35.08.812 W009.25.54.947 geoDefault
N051.35.08.812 W009.25.54.947 N051.34.43.475 W009.32.32.034 geoDefault
N051.34.43.475 W009.32.32.034 N051.32.11.396 W009.39.09.117 geoDefault
N051.32.11.396 W009.39.09.117 N051.30.30.006 W009.37.10.836 geoDefault
N051.30.30.006 W009.37.10.836 N051.27.41.050 W009.37.10.836 geoDefault
N051.27.41.050 W009.37.10.836 N051.30.30.006 W009.27.10.986 geoDefault
N051.30.30.006 W009.27.10.986 N051.31.20.708 W009.18.35.620 geoDefault
N051.31.20.708 W009.18.35.620 N051.29.47.764 W009.14.39.061 geoDefault
N051.29.47.764 W009.14.39.061 N051.29.22.427 W009.09.26.462 geoDefault
N051.29.22.427 W009.09.26.462 N051.29.47.764 W009.07.28.180 geoDefault
N051.29.47.764 W009.07.28.180 N051.29.47.764 W009.06.45.938 geoDefault
N051.29.47.764 W009.06.45.938 N051.30.13.115 W009.06.03.696 geoDefault
N051.30.13.115 W009.06.03.696 N051.30.55.357 W009.05.21.450 geoDefault
N051.30.55.357 W009.05.21.450 N051.32.11.396 W009.02.07.132 geoDefault
N051.32.11.396 W009.02.07.132 N051.32.36.747 W009.01.24.890 geoDefault
N051.32.36.747 W009.01.24.890 N051.32.11.396 W008.54.47.806 geoDefault
N051.32.11.396 W008.54.47.806 N051.34.18.124 W008.47.36.926 geoDefault
N051.34.18.124 W008.47.36.926 N051.34.43.475 W008.40.17.603 geoDefault
N051.34.43.475 W008.40.17.603 N051.37.07.107 W008.31.42.238 geoDefault
N051.37.07.107 W008.31.42.238 N051.38.48.484 W008.24.22.905 geoDefault
N051.38.48.484 W008.24.22.905 N051.38.48.484 W008.23.49.115 geoDefault
N051.38.48.484 W008.23.49.115 N051.40.29.874 W008.21.08.591 geoDefault
N051.40.29.874 W008.21.08.591 N051.42.53.492 W008.15.47.540 geoDefault
N051.42.53.492 W008.15.47.540 N051.47.23.852 W008.14.31.508 geoDefault
N051.47.23.852 W008.14.31.508 N051.52.19.549 W008.15.05.301 geoDefault
N051.52.19.549 W008.15.05.301 N051.51.28.861 W008.11.08.741 geoDefault
N051.51.28.861 W008.11.08.741 N051.47.49.189 W008.09.10.460 geoDefault
N051.47.49.189 W008.09.10.460 N051.47.23.852 W008.07.54.424 geoDefault
N051.47.23.852 W008.07.54.424 N051.46.33.164 W008.04.31.658 geoDefault
N051.46.33.164 W008.04.31.658 N051.48.39.878 W007.57.54.569 geoDefault
N051.48.39.878 W007.57.54.569 N051.50.38.159 W007.50.43.692 geoDefault
N051.50.38.159 W007.50.43.692 N051.55.08.519 W007.46.38.683 geoDefault
N051.55.08.519 W007.46.38.683 N051.55.08.519 W007.43.24.362 geoDefault
N051.55.08.519 W007.43.24.362 N051.55.08.519 W007.42.42.120 geoDefault
N051.55.08.519 W007.42.42.120 N051.54.17.831 W007.36.47.279 geoDefault
N051.54.17.831 W007.36.47.279 N051.57.15.246 W007.32.50.719 geoDefault
N051.57.15.246 W007.32.50.719 N052.02.10.943 W007.30.10.195 geoDefault
N052.02.10.943 W007.30.10.195 N052.04.34.576 W007.27.29.671 geoDefault
N052.04.34.576 W007.27.29.671 N052.06.32.857 W007.14.57.746 geoDefault
N052.06.32.857 W007.14.57.746 N052.07.48.896 W007.01.01.333 geoDefault
N052.07.48.896 W007.01.01.333 N052.09.47.178 W006.55.06.492 geoDefault
N052.09.47.178 W006.55.06.492 N052.10.37.866 W006.48.29.408 geoDefault
N052.10.37.866 W006.48.29.408 N052.10.37.866 W006.34.32.995 geoDefault
N052.10.37.866 W006.34.32.995 N052.08.39.585 W006.26.39.872 geoDefault
N052.08.39.585 W006.26.39.872 N052.08.39.585 W006.18.46.749 geoDefault
N052.08.39.585 W006.18.46.749 N052.13.01.499 W006.15.23.983 geoDefault
N052.13.01.499 W006.15.23.983 N052.19.30.126 W006.19.20.546 geoDefault
N052.19.30.126 W006.19.20.546 N052.23.35.135 W006.16.06.229 geoDefault
N052.23.35.135 W006.16.06.229 N052.31.19.816 W006.12.09.666 geoDefault
N052.31.19.816 W006.12.09.666 N052.40.54.318 W006.08.46.899 geoDefault
N052.40.54.318 W006.08.46.899 N052.41.45.006 W006.07.30.863 geoDefault
N052.41.45.006 W006.07.30.863 N052.48.30.539 W006.02.09.815 geoDefault
N052.48.30.539 W006.02.09.815 N052.54.08.479 W005.59.29.291 geoDefault
N052.54.08.479 W005.59.29.291 N052.55.41.423 W005.59.29.291 geoDefault
N052.55.41.423 W005.59.29.291 N053.04.33.683 W006.02.09.815 geoDefault
N053.04.33.683 W006.02.09.815 N053.07.14.207 W006.02.09.815 geoDefault
N053.07.14.207 W006.02.09.815 N053.12.01.458 W006.03.25.851 geoDefault
N053.12.01.458 W006.03.25.851 N053.16.48.710 W006.04.50.339 geoDefault
N053.16.48.710 W006.04.50.339 N053.19.37.679 W006.06.06.375 geoDefault
N053.19.37.679 W006.06.06.375 N053.20.45.273 W006.02.09.815 geoDefault
N053.20.45.273 W006.02.09.815 N053.24.41.836 W006.00.53.776 geoDefault
N053.24.41.836 W006.00.53.776 N053.31.02.018 W006.00.11.534 geoDefault
N053.31.02.018 W006.00.11.534 N053.35.40.823 W006.04.08.097 geoDefault
N053.35.40.823 W006.04.08.097 N053.43.08.599 W006.08.46.899 geoDefault
N053.43.08.599 W006.08.46.899 N053.48.21.201 W006.12.09.666 geoDefault
N053.48.21.201 W006.12.09.666 N053.52.09.318 W006.14.41.740 geoDefault
N053.52.09.318 W006.14.41.740 N053.57.13.461 W006.14.07.947 geoDefault
N053.57.13.461 W006.14.07.947 N053.57.38.812 W006.12.09.666 geoDefault
N053.57.38.812 W006.12.09.666 N053.58.46.392 W006.04.50.339 geoDefault
N053.58.46.392 W006.04.50.339 N053.59.11.743 W006.04.50.339 geoDefault
; NOAA object 26
N053.59.11.743 W006.04.50.339 N053.59.11.743 W006.04.08.097 geoDefault
N053.59.11.743 W006.04.08.097 N054.00.44.673 W006.00.11.534 geoDefault
N054.00.44.673 W006.00.11.534 N054.04.41.236 W005.50.20.133 geoDefault
N054.04.41.236 W005.50.20.133 N054.11.18.323 W005.47.39.609 geoDefault
N054.11.18.323 W005.47.39.609 N054.13.08.159 W005.33.43.196 geoDefault
N054.13.08.159 W005.33.43.196 N054.17.30.060 W005.27.48.355 geoDefault
N054.17.30.060 W005.27.48.355 N054.17.46.965 W005.27.48.355 geoDefault
N054.17.46.965 W005.27.48.355 N054.25.06.281 W005.33.43.196 geoDefault
N054.25.06.281 W005.33.43.196 N054.29.45.086 W005.35.41.477 geoDefault
N054.29.45.086 W005.35.41.477 N054.28.37.506 W005.33.43.196 geoDefault
N054.28.37.506 W005.33.43.196 N054.22.08.865 W005.27.06.112 geoDefault
N054.22.08.865 W005.27.06.112 N054.29.28.195 W005.25.07.831 geoDefault
N054.29.28.195 W005.25.07.831 N054.36.22.173 W005.30.28.879 geoDefault
N054.36.22.173 W005.30.28.879 N054.38.12.009 W005.35.41.477 geoDefault
N054.38.12.009 W005.35.41.477 N054.36.39.065 W005.50.53.926 geoDefault
N054.36.39.065 W005.50.53.926 N054.43.16.152 W005.44.59.085 geoDefault
N054.43.16.152 W005.44.59.085 N054.54.40.490 W005.45.41.327 geoDefault
N054.54.40.490 W005.45.41.327 N055.02.16.711 W005.56.14.974 geoDefault
N055.02.16.711 W005.56.14.974 N055.09.02.258 W006.02.52.058 geoDefault
N055.09.02.258 W006.02.52.058 N055.11.17.431 W006.16.06.229 geoDefault
N055.11.17.431 W006.16.06.229 N055.12.50.361 W006.21.18.827 geoDefault
N055.12.50.361 W006.21.18.827 N055.09.27.595 W006.37.13.519 geoDefault
N055.09.27.595 W006.37.13.519 N055.07.54.664 W006.47.47.166 geoDefault
N055.07.54.664 W006.47.47.166 N055.04.06.547 W006.55.06.492 geoDefault
N055.04.06.547 W006.55.06.492 N055.02.16.711 W007.02.59.614 geoDefault
N055.02.16.711 W007.02.59.614 N055.04.31.898 W007.04.57.893 geoDefault
N055.04.31.898 W007.04.57.893 N055.09.02.258 W006.58.20.809 geoDefault
N055.09.02.258 W006.58.20.809 N055.12.25.024 W006.53.50.453 geoDefault
N055.12.25.024 W006.53.50.453 N055.14.40.197 W006.56.22.527 geoDefault
N055.14.40.197 W006.56.22.527 N055.18.11.409 W007.04.57.893 geoDefault
N055.18.11.409 W007.04.57.893 N055.19.19.003 W007.11.01.183 geoDefault
N055.19.19.003 W007.11.01.183 N055.18.53.652 W007.14.57.746 geoDefault
N055.18.53.652 W007.14.57.746 N055.17.46.058 W007.14.57.746 geoDefault
N055.17.46.058 W007.14.57.746 N055.15.47.791 W007.16.13.782 geoDefault
N055.15.47.791 W007.16.13.782 N055.14.23.292 W007.19.36.548 geoDefault
N055.14.23.292 W007.19.36.548 N055.10.35.188 W007.21.34.830 geoDefault
N055.10.35.188 W007.21.34.830 N055.06.47.071 W007.20.18.791 geoDefault
N055.06.47.071 W007.20.18.791 N055.01.51.374 W007.20.18.791 geoDefault
N055.01.51.374 W007.20.18.791 N054.58.03.257 W007.22.17.072 geoDefault
N054.58.03.257 W007.22.17.072 N054.56.30.326 W007.25.31.389 geoDefault
N054.56.30.326 W007.25.31.389 N054.56.30.326 W007.26.47.429 geoDefault
; NOAA object 27
N052.12.44.594 W009.59.00.372 N052.13.26.836 W010.06.19.698 geoDefault
N052.13.26.836 W010.06.19.698 N052.09.47.178 W010.12.56.781 geoDefault
N052.09.47.178 W010.12.56.781 N052.04.09.225 W010.15.28.856 geoDefault
N052.04.09.225 W010.15.28.856 N052.04.59.927 W010.02.23.138 geoDefault
; NOAA object 28
N052.02.53.186 W009.46.28.443 N051.58.48.177 W010.00.16.407 geoDefault
N051.58.48.177 W010.00.16.407 N051.52.19.549 W010.09.34.015 geoDefault
N051.52.19.549 W010.09.34.015 N051.48.14.540 W010.10.58.503 geoDefault
N051.48.14.540 W010.10.58.503 N051.48.39.878 W010.03.39.174 geoDefault
N051.48.39.878 W010.03.39.174 N051.45.42.462 W010.00.16.407 geoDefault
N051.45.42.462 W010.00.16.407 N051.45.00.220 W010.00.16.407 geoDefault
; NOAA object 29
N050.48.06.987 W000.02.15.176 N050.46.08.706 E000.10.16.748 geoDefault
N050.46.08.706 E000.10.16.748 N050.47.50.082 E000.22.48.673 geoDefault
N050.47.50.082 E000.22.48.673 N050.51.29.754 E000.41.57.685 geoDefault
N050.51.29.754 E000.41.57.685 N050.53.36.481 E000.55.11.852 geoDefault
N050.53.36.481 E000.55.11.852 N050.55.43.208 E001.03.13.425 geoDefault
N050.55.43.208 E001.03.13.425 N050.58.15.287 E001.04.29.460 geoDefault
N050.58.15.287 E001.04.29.460 N051.03.36.335 E001.17.43.631 geoDefault
N051.03.36.335 E001.17.43.631 N051.09.05.828 E001.28.17.277 geoDefault
N051.09.05.828 E001.28.17.277 N051.16.33.604 E001.30.57.798 geoDefault
N051.16.33.604 E001.30.57.798 N051.19.22.573 E001.28.17.277 geoDefault
N051.19.22.573 E001.28.17.277 N051.19.47.924 E001.13.04.825 geoDefault
N051.19.47.924 E001.13.04.825 N051.18.57.236 E001.01.15.143 geoDefault
N051.18.57.236 E001.01.15.143 N051.19.47.924 E000.48.00.976 geoDefault
N051.19.47.924 E000.48.00.976 N051.25.59.660 E000.47.18.733 geoDefault
N051.25.59.660 E000.47.18.733 N051.30.13.115 E000.41.57.685 geoDefault
N051.30.13.115 E000.41.57.685 N051.30.55.357 E000.46.02.694 geoDefault
N051.30.55.357 E000.46.02.694 N051.32.36.747 E000.53.13.574 geoDefault
N051.32.36.747 E000.53.13.574 N051.36.16.405 E000.55.11.852 geoDefault
N051.36.16.405 E000.55.11.852 N051.40.04.523 E001.00.32.900 geoDefault
N051.40.04.523 E001.00.32.900 N051.42.02.804 E000.57.52.376 geoDefault
N051.42.02.804 E000.57.52.376 N051.43.44.181 E000.51.57.535 geoDefault
N051.43.44.181 E000.51.57.535 N051.46.33.164 E000.58.34.619 geoDefault
N051.46.33.164 E000.58.34.619 N051.48.14.540 E001.05.45.499 geoDefault
N051.48.14.540 E001.05.45.499 N051.46.07.813 E001.11.06.547 geoDefault
N051.46.07.813 E001.11.06.547 N051.47.49.189 E001.19.41.913 geoDefault
N051.47.49.189 E001.19.41.913 N051.51.54.198 E001.21.40.190 geoDefault
N051.51.54.198 E001.21.40.190 N051.54.17.831 E001.20.24.155 geoDefault
N051.54.17.831 E001.20.24.155 N051.58.05.934 E001.19.41.913 geoDefault
N051.58.05.934 E001.19.41.913 N051.57.40.597 E001.25.02.957 geoDefault
N051.57.40.597 E001.25.02.957 N052.00.04.216 E001.32.56.080 geoDefault
N052.00.04.216 E001.32.56.080 N052.06.32.857 E001.41.31.445 geoDefault
N052.06.32.857 E001.41.31.445 N052.20.46.165 E001.47.26.286 geoDefault
N052.20.46.165 E001.47.26.286 N052.30.54.465 E001.48.50.774 geoDefault
N052.30.54.465 E001.48.50.774 N052.41.45.006 E001.45.28.008 geoDefault
N052.41.45.006 E001.45.28.008 N052.50.11.929 E001.35.36.603 geoDefault
N052.50.11.929 E001.35.36.603 N052.54.33.830 E001.25.02.957 geoDefault
N052.54.33.830 E001.25.02.957 N052.56.32.111 E001.16.27.592 geoDefault
N052.56.32.111 E001.16.27.592 N052.56.57.462 E001.01.48.940 geoDefault
N052.56.57.462 E001.01.48.940 N052.54.59.181 E000.48.00.976 geoDefault
N052.54.59.181 E000.48.00.976 N052.54.08.479 E000.38.01.122 geoDefault
N052.54.08.479 E000.38.01.122 N052.48.30.539 E000.32.06.281 geoDefault
N052.48.30.539 E000.32.06.281 N052.44.59.327 E000.26.45.236 geoDefault
N052.44.59.327 E000.26.45.236 N052.47.48.297 E000.22.06.431 geoDefault
N052.47.48.297 E000.22.06.431 N052.48.55.890 E000.14.13.308 geoDefault
N052.48.55.890 E000.14.13.308 N052.49.21.227 E000.08.18.467 geoDefault
N052.49.21.227 E000.08.18.467 N052.49.21.227 E000.06.53.982 geoDefault
N052.49.21.227 E000.06.53.982 N052.49.46.578 E000.06.53.982 geoDefault
N052.49.46.578 E000.06.53.982 N052.55.41.423 E000.10.58.991 geoDefault
N052.55.41.423 E000.10.58.991 N052.59.21.081 E000.16.53.832 geoDefault
N052.59.21.081 E000.16.53.832 N053.01.19.362 E000.19.34.356 geoDefault
N053.01.19.362 E000.19.34.356 N053.05.15.926 E000.24.13.162 geoDefault
N053.05.15.926 E000.24.13.162 N053.09.20.934 E000.26.45.236 geoDefault
N053.09.20.934 E000.26.45.236 N053.15.41.116 E000.26.45.236 geoDefault
N053.15.41.116 E000.26.45.236 N053.19.37.679 E000.22.48.673 geoDefault
N053.19.37.679 E000.22.48.673 N053.24.16.485 E000.16.11.590 geoDefault
N053.24.16.485 E000.16.11.590 N053.27.56.157 E000.09.34.506 geoDefault
N053.27.56.157 E000.09.34.506 N053.31.27.369 E000.06.20.189 geoDefault
N053.31.27.369 E000.06.20.189 N053.33.25.650 E000.00.16.898 geoDefault
; NOAA object 30
N053.39.20.495 W000.03.39.665 N053.36.56.862 E000.01.41.383 geoDefault
N053.36.56.862 E000.01.41.383 N053.36.56.862 E000.02.15.176 geoDefault
N053.36.56.862 E000.02.15.176 N053.36.56.862 E000.03.39.665 geoDefault
N053.36.56.862 E000.03.39.665 N053.36.06.174 E000.08.52.264 geoDefault
