;CRYSTAL PALACE AND WROTHAM MASTS
(LFP)M90   N049.45.57.387 E002.53.43.729 N049.45.54.792 E002.53.44.258
(LFP)M90   N049.45.54.792 E002.53.44.258 N049.45.52.237 E002.53.45.135
(LFP)M90   N049.45.52.237 E002.53.45.135 N049.45.49.741 E002.53.46.353
(LFP)M90   N049.45.49.741 E002.53.46.353 N049.45.47.323 E002.53.47.904
(LFP)M90   N049.45.47.323 E002.53.47.904 N049.45.45.001 E002.53.49.775
(LFP)M90   N049.45.45.001 E002.53.49.775 N049.45.42.794 E002.53.51.952
(LFP)M90   N049.45.42.794 E002.53.51.952 N049.45.40.718 E002.53.54.419
(LFP)M90   N049.45.40.718 E002.53.54.419 N049.45.38.788 E002.53.57.156
(LFP)M90   N049.45.38.788 E002.53.57.156 N049.45.37.020 E002.54.00.143
(LFP)M90   N049.45.37.020 E002.54.00.143 N049.45.35.427 E002.54.03.358
(LFP)M90   N049.45.35.427 E002.54.03.358 N049.45.34.020 E002.54.06.775
(LFP)M90   N049.45.34.020 E002.54.06.775 N049.45.32.812 E002.54.10.370
(LFP)M90   N049.45.32.812 E002.54.10.370 N049.45.31.810 E002.54.14.113
(LFP)M90   N049.45.31.810 E002.54.14.113 N049.45.31.023 E002.54.17.978
(LFP)M90   N049.45.31.023 E002.54.17.978 N049.45.30.457 E002.54.21.933
(LFP)M90   N049.45.30.457 E002.54.21.933 N049.45.30.115 E002.54.25.951
(LFP)M90   N049.45.30.115 E002.54.25.951 N049.45.30.001 E002.54.29.999
(LFP)M90   N049.45.30.001 E002.54.29.999 N049.45.30.115 E002.54.34.047
(LFP)M90   N049.45.30.115 E002.54.34.047 N049.45.30.457 E002.54.38.064
(LFP)M90   N049.45.30.457 E002.54.38.064 N049.45.31.023 E002.54.42.020
(LFP)M90   N049.45.31.023 E002.54.42.020 N049.45.31.810 E002.54.45.884
(LFP)M90   N049.45.31.810 E002.54.45.884 N049.45.32.812 E002.54.49.628
(LFP)M90   N049.45.32.812 E002.54.49.628 N049.45.34.020 E002.54.53.222
(LFP)M90   N049.45.34.020 E002.54.53.222 N049.45.35.427 E002.54.56.640
(LFP)M90   N049.45.35.427 E002.54.56.640 N049.45.37.020 E002.54.59.854
(LFP)M90   N049.45.37.020 E002.54.59.854 N049.45.38.788 E002.55.02.842
(LFP)M90   N049.45.38.788 E002.55.02.842 N049.45.40.718 E002.55.05.579
(LFP)M90   N049.45.40.718 E002.55.05.579 N049.45.42.794 E002.55.08.046
(LFP)M90   N049.45.42.794 E002.55.08.046 N049.45.45.001 E002.55.10.223
(LFP)M90   N049.45.45.001 E002.55.10.223 N049.45.47.323 E002.55.12.094
(LFP)M90   N049.45.47.323 E002.55.12.094 N049.45.49.741 E002.55.13.644
(LFP)M90   N049.45.49.741 E002.55.13.644 N049.45.52.237 E002.55.14.863
(LFP)M90   N049.45.52.237 E002.55.14.863 N049.45.54.792 E002.55.15.740
(LFP)M90   N049.45.54.792 E002.55.15.740 N049.45.57.387 E002.55.16.269
(LFP)M90   N049.45.57.387 E002.55.16.269 N049.46.00.001 E002.55.16.445
(LFP)M90   N049.46.00.001 E002.55.16.445 N049.46.00.001 E002.55.16.445
;(LFP307)
(LFP307)   N049.30.50.000 E000.12.34.999 N049.30.28.001 E000.18.14.000
(LFP307)   N049.30.28.001 E000.18.14.000 N049.30.27.205 E000.18.27.063
(LFP307)   N049.30.27.205 E000.18.27.063 N049.30.25.307 E000.18.39.866
(LFP307)   N049.30.25.307 E000.18.39.866 N049.30.22.690 E000.18.52.365
(LFP307)   N049.30.22.690 E000.18.52.365 N049.30.19.376 E000.19.04.466
(LFP307)   N049.30.19.376 E000.19.04.466 N049.30.15.390 E000.19.16.076
(LFP307)   N049.30.15.390 E000.19.16.076 N049.30.10.761 E000.19.27.108
(LFP307)   N049.30.10.761 E000.19.27.108 N049.30.05.525 E000.19.37.476
(LFP307)   N049.30.05.525 E000.19.37.476 N049.29.59.722 E000.19.47.102
(LFP307)   N049.29.59.722 E000.19.47.102 N049.29.53.395 E000.19.55.914
(LFP307)   N049.29.53.395 E000.19.55.914 N049.29.46.594 E000.20.03.843
(LFP307)   N049.29.46.594 E000.20.03.843 N049.29.39.370 E000.20.10.830
(LFP307)   N049.29.39.370 E000.20.10.830 N049.29.31.778 E000.20.16.821
(LFP307)   N049.29.31.778 E000.20.16.821 N049.29.23.875 E000.20.21.770
(LFP307)   N049.29.23.875 E000.20.21.770 N049.29.15.722 E000.20.25.641
(LFP307)   N049.29.15.722 E000.20.25.641 N049.29.07.381 E000.20.28.404
(LFP307)   N049.29.07.381 E000.20.28.404 N049.28.58.915 E000.20.30.037
(LFP307)   N049.28.58.915 E000.20.30.037 N049.28.50.389 E000.20.30.528
