;UK Area Control Positions (Event Only)

;Coordinators
LON_GS_CTR:London Control:199.998:LGS:L:LON:CTR:-:-::
LON-GS_CTR:London Control:199.998:LGS:L:LON-GS:CTR:-:-::
LTC_GS_CTR:London Control:199.998:TCGS:L:LTC:CTR:-:-::
LTC-GS_CTR:London Control:199.998:TCGS:L:LTC-GS:CTR:-:-::

MAN_GS_CTR:Scottish Control:199.998:PCGS:L:MAN:CTR:-:-::
MAN-GS_CTR:Scottish Control:199.998:PCGS:L:MAN-GS:CTR:-:-::

SCO_GS_CTR:Scottish Control:199.998:SGS:L:SCO:CTR:-:-::
SCO-GS_CTR:Scottish Control:199.998:SGS:L:SCO-GS:CTR:-:-::
STC_GS_CTR:London Control:199.998:STGS:L:SCO:CTR:-:-::
STC-GS_CTR:London Control:199.998:STGS:L:SCO-GS:CTR:-:-::

;FIR Flow (CTP)
EGTT_N_DEL:Flow North:199.998:FCN:L:EGTT:DEL:-:-::N055.52.13.810:W004.26.44.610:N053.21.13.480:W002.16.29.820 ; GOW, EGNX
EGTT_S_DEL:Flow South:199.998:FCS:L:EGTT:DEL:-:-::N051.29.30.000:W001.13.11.000 ; CPT

;North
SCO_S_CTR:Scottish Control:134.770:SS:W:SCO:CTR:-:-:3601:3632:N055.17.24.521:E000.32.49.087
SCO-S_CTR:Scottish Control:134.770:SS:W:SCO-S:CTR:-:-:3601:3632:N055.17.24.521:E000.32.49.087
SCO_C_CTR:Scottish Control:127.270:SC:W:SCO:CTR:-:-:3601:3632:N057.05.05.587:W007.19.49.513
SCO-C_CTR:Scottish Control:127.270:SC:W:SCO-C:CTR:-:-:3601:3632:N057.05.05.587:W007.19.49.513
SCO_H_CTR:Scottish Control:129.920:SH:W:SCO:CTR:-:-:3601:3632:N055.22.49.001:E001.57.21.828
SCO-H_CTR:Scottish Control:129.920:SH:W:SCO-H:CTR:-:-:3601:3632:N055.22.49.001:E001.57.21.828
SCO_RE_CTR:Scottish Control:125.670:SRE:W:SCO:CTR:-:-:3601:3632::
SCO-RE_CTR:Scottish Control:125.670:SRE:W:SCO-RE:CTR:-:-:3601:3632::

;Swanwick Mil
EGVV_A_CTR:Swanwick Mil:135.150:VVSW:M:EGVV:CTR:-:-:6401:6457:N052.47.49.030:W002.39.53.364:N051.46.04.197:W005.58.45.969::
EGVV-A_CTR:Swanwick Mil:135.150:VVSW:M:EGVV-A:CTR:-:-:6401:6457:N052.47.49.030:W002.39.53.364:N051.46.04.197:W005.58.45.969::
EGVV_C_CTR:Swanwick Mil:128.700:VVC:M:EGVV:CTR:-:-:6401:6457:N052.47.49.030:W002.39.53.364:N051.46.04.197:W005.58.45.969::
EGVV-C_CTR:Swanwick Mil:128.700:VVC:M:EGVV-C:CTR:-:-:6401:6457:N052.47.49.030:W002.39.53.364:N051.46.04.197:W005.58.45.969::
EGVV_D_CTR:Swanwick Mil:199.900:VVSE:M:EGVV:CTR:-:-:6401:6457:N052.47.49.030:W002.39.53.364:N051.46.04.197:W005.58.45.969::
EGVV-D_CTR:Swanwick Mil:199.900:VVSE:M:EGVV-D:CTR:-:-:6401:6457:N052.47.49.030:W002.39.53.364:N051.46.04.197:W005.58.45.969::
EGVV_F_CTR:Swanwick Mil:135.070:VVNE:M:EGVV:CTR:-:-:6401:6457:N054.07.05.618:E001.13.17.889::::
EGVV-F_CTR:Swanwick Mil:135.070:VVNE:M:EGVV-F:CTR:-:-:6401:6457:N054.07.05.618:E001.13.17.889::::
EGVV_Q_CTR:Swanwick Mil:134.300:VVNW:M:EGVV:CTR:-:-:6401:6457:N057.49.02.179:W006.31.35.051:N057.26.35.155:W000.01.23.964:N058.51.25.413:W002.04.29.971
EGVV-Q_CTR:Swanwick Mil:134.300:VVNW:M:EGVV-Q:CTR:-:-:6401:6457:N057.49.02.179:W006.31.35.051:N057.26.35.155:W000.01.23.964:N058.51.25.413:W002.04.29.971

;TC Gatwick
EGKK_S_APP:Gatwick Director:129.020:KKS:S:EGKK:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK-S_APP:Gatwick Director:129.020:KKS:S:EGKK-S:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
