EGNH Blackpool SMAA    		S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                             N053.59.47.000 W002.39.40.000 N053.59.45.858 W002.40.24.391
                             N053.59.45.858 W002.40.24.391 N053.59.42.442 W002.41.08.444
                             N053.59.42.442 W002.41.08.444 N053.59.36.778 W002.41.51.824
                             N053.59.36.778 W002.41.51.824 N053.59.28.908 W002.42.34.200
                             N053.59.28.908 W002.42.34.200 N053.59.18.892 W002.43.15.251
                             N053.59.18.892 W002.43.15.251 N053.59.06.808 W002.43.54.664
                             N053.59.06.808 W002.43.54.664 N053.58.52.746 W002.44.32.138
                             N053.58.52.746 W002.44.32.138 N053.58.36.813 W002.45.07.389
                             N053.58.36.813 W002.45.07.389 N053.58.19.132 W002.45.40.149
                             N053.58.19.132 W002.45.40.149 N053.57.59.836 W002.46.10.167
                             N053.57.59.836 W002.46.10.167 N053.57.39.073 W002.46.37.216
                             N053.57.39.073 W002.46.37.216 N053.57.17.000 W002.47.01.090
                             N053.57.17.000 W002.47.01.090 N053.56.53.785 W002.47.21.607
                             N053.56.53.785 W002.47.21.607 N053.56.29.606 W002.47.38.611
                             N053.56.29.606 W002.47.38.611 N053.56.04.646 W002.47.51.972
                             N053.56.04.646 W002.47.51.972 N053.55.39.094 W002.48.01.589
                             N053.55.39.094 W002.48.01.589 N053.55.23.000 W002.48.04.000
                             N053.55.23.000 W002.48.04.000 N053.58.37.000 W002.47.17.000

                             N053.44.10.000 W002.36.41.000 N053.43.57.746 W002.37.14.412
                             N053.43.57.746 W002.37.14.412 N053.43.41.813 W002.37.49.455
                             N053.43.41.813 W002.37.49.455 N053.43.24.132 W002.38.22.021
                             N053.43.24.132 W002.38.22.021 N053.43.04.836 W002.38.51.862
                             N053.43.04.836 W002.38.51.862 N053.42.44.073 W002.39.18.751
                             N053.42.44.073 W002.39.18.751 N053.42.22.000 W002.39.42.484
                             N053.42.22.000 W002.39.42.484 N053.41.58.785 W002.40.02.880
                             N053.41.58.785 W002.40.02.880 N053.41.34.606 W002.40.19.783
                             N053.41.34.606 W002.40.19.783 N053.41.09.646 W002.40.33.065
                             N053.41.09.646 W002.40.33.065 N053.40.44.094 W002.40.42.626
                             N053.40.44.094 W002.40.42.626 N053.40.18.147 W002.40.48.391
                             N053.40.18.147 W002.40.48.391 N053.39.52.000 W002.40.50.318
                             N053.39.52.000 W002.40.50.318 N053.39.25.853 W002.40.48.391
                             N053.39.25.853 W002.40.48.391 N053.38.59.906 W002.40.42.626
                             N053.38.59.906 W002.40.42.626 N053.38.34.354 W002.40.33.065
                             N053.38.34.354 W002.40.33.065 N053.38.17.000 W002.40.23.000
                             N053.38.17.000 W002.40.23.000 N053.38.48.000 W002.39.44.190
                             N053.38.48.000 W002.39.44.190 N053.39.57.644 W002.38.42.847
                             N053.39.57.644 W002.38.42.847 N053.41.10.182 W002.37.52.007
                             N053.41.10.182 W002.37.52.007 N053.42.25.063 W002.37.12.059
                             N053.42.25.063 W002.37.12.059 N053.43.41.717 W002.36.43.305
                             N053.43.41.717 W002.36.43.305 N053.44.10.000 W002.36.41.000
