DENOG N057.25.53.370 W001.45.15.830
DESIG N053.31.38.130 W001.53.33.700
DESNA N050.37.00.000 W000.47.00.310
DEVAL N050.51.25.350 E001.28.00.000
DEVBI N060.42.54.320 W008.46.10.490
DEXEN N053.16.49.000 W005.30.00.000
DIBAL N052.47.49.980 E002.30.00.000
DIDZA N051.36.27.710 W001.23.43.460
DIGBI N055.11.05.570 W001.03.01.450
DIGMA N053.38.59.860 W003.37.23.500
DIGSU N052.01.26.000 E000.38.05.000
DIGUT N051.39.01.290 W001.17.59.470
DIKVU N051.17.46.890 E000.19.01.840
DIMLI N054.56.47.470 W006.36.54.740
DINIM N051.00.00.000 W015.00.00.000
DIPSO N053.03.12.620 W001.20.38.610
DIQSE N051.48.00.460 W005.15.52.780
DISIT N052.06.10.840 W001.42.40.910
DISVO N050.39.31.380 W001.02.57.160
DITOB N052.17.01.150 E001.49.27.080
DIXIB N051.14.12.220 W000.50.53.530
DIZIM N052.02.23.590 W003.11.07.440
DIZZE N053.50.42.740 W002.32.32.910
DOBEM N051.52.10.520 W002.55.45.330
DOGAL N054.00.00.000 W015.00.00.000
DOKEN N055.40.54.590 E002.06.56.050
DOLAS N052.58.42.960 E001.00.03.430
DOLOP N053.12.50.900 W003.37.50.730
DOLUR N049.29.03.890 W005.03.26.070
DOMUT N050.15.42.570 W001.40.08.650
DONAX N053.29.11.340 W003.57.40.240
DONIB N055.43.09.460 W007.41.44.040
DONNA N051.42.00.380 W000.44.37.040
DOPEK N053.23.03.950 W000.55.31.640
DORKI N051.16.33.000 W000.15.52.000
DOSUN N060.07.02.500 W006.23.38.510
DRAKE N050.12.34.000 W000.04.34.000
DUCNO N051.58.24.340 W002.18.51.650
DUFFY N054.30.53.420 W005.51.38.800
EBOTO N052.21.33.300 W000.41.39.630
ECCIT N052.07.47.900 W005.38.43.730
EDCOX N052.12.59.680 W000.24.19.920
EDFAR N052.20.35.660 W002.46.52.020
EDONU N056.17.36.000 W003.33.41.000
EDUXO N053.24.24.000 W001.13.01.000
EGRUF N051.43.27.720 W003.40.42.180
EKLAD N053.15.13.700 W002.49.28.850
EKNIV N051.24.25.620 E000.37.31.080
ELBOB N054.43.58.150 W007.44.38.090
ELBUS N055.29.43.280 W004.04.35.870
ELDAX N050.29.18.360 E000.39.30.420
ELDER N050.39.48.100 W001.20.13.930
ELEZE N052.44.19.980 W001.56.00.480
ELKOG N060.26.47.630 W009.30.00.000
ELLIQ N052.57.06.480 W003.00.30.800
ELMUD N055.06.56.000 W001.40.24.000
ELNAB N053.22.11.000 E001.12.51.000
ELNIF N051.51.19.240 W002.49.21.610
ELNOD N053.28.26.000 W001.35.24.000
ELREW N052.07.50.160 W003.06.38.150
ELRIP N050.37.44.670 W002.59.23.730
ELSAN N056.42.19.290 E003.43.57.580
ELSOF N051.26.31.490 W001.28.46.130
ELSOX N051.00.00.000 W014.00.00.000
ELVOS N052.42.01.000 W001.18.25.000
ELWIS N051.45.47.160 W002.31.49.080
EMBOR N052.57.48.000 W001.17.45.250
EMGAT N055.09.47.370 W004.45.11.900
EMJEE N052.03.54.620 W001.58.41.730
EMKAD N051.14.49.880 E000.42.33.940
EMKUK N051.58.37.470 W001.21.14.720
EMLON N053.12.20.440 E002.30.00.000
EMPER N049.00.00.000 W009.00.00.000
EMWIP N050.03.19.720 W003.19.08.980
ENCOD N053.19.59.320 W000.24.23.920
ENDEQ N053.26.44.380 W005.30.00.000
ENHAQ N051.24.22.690 W001.43.13.400
ENHEL N050.13.54.150 W003.15.23.420
ENIPI N055.01.10.780 W003.15.10.230
ENITO N052.48.04.890 E002.28.03.260
ENJEX N052.03.21.060 W006.02.27.780
ENUKU N056.14.00.000 W003.38.19.000
EPACE N051.14.20.880 W003.31.11.460
EPLEF N049.55.31.780 W003.00.44.620
EPOXI N053.19.58.700 W003.27.17.710
EPUNA N050.30.00.000 W014.00.00.000
ERAKA N058.00.00.000 W010.00.00.000
ERDOG N059.20.03.140 W001.25.03.640
ERDUV N053.52.34.660 W004.10.08.230
ERGAB N054.09.22.000 W002.23.12.000
ERGUM N050.07.25.130 W001.44.49.660
ERING N051.35.26.450 E001.36.43.000
ERKEX N050.52.40.620 E001.19.36.960
ERKIT N054.01.48.850 W000.49.48.850
ERLOT N055.17.14.260 W000.35.05.840
ERNAN N054.16.43.900 W007.23.33.970
ERSON N056.27.47.580 W004.18.23.670
ESKDO N055.17.56.000 W003.12.15.260
ESTRY N053.39.52.070 W003.15.42.280
ETARI N055.30.00.000 W015.00.00.000
ETIGA N054.02.39.170 W004.47.26.670
ETILO N057.30.00.000 W010.00.00.000
ETNAH N051.41.26.450 W003.14.23.740
ETSOM N057.53.31.020 W009.30.00.000
ETVAX N050.58.06.990 E000.35.56.270
EVATA N051.08.21.290 W000.45.57.520
EVBEV N057.47.09.600 W007.40.41.240
EVEXU N050.41.15.780 W000.34.40.860
EVKAL N053.15.46.990 W000.26.37.210
EVMEK N051.47.40.930 E001.12.17.660
EVNAL N057.24.30.670 W009.30.00.000
EVNAS N051.40.04.250 E000.26.38.370
EVRIN N051.46.56.450 W006.33.47.610
EVSEM N051.43.50.050 W001.27.45.140
EVSON N053.21.27.000 W001.39.49.000
EVTAR N055.27.51.180 W000.15.21.150
EVTES N051.04.54.660 W001.12.57.070
EVTOL N052.11.01.340 W005.31.14.020
EXARO N051.00.03.260 W001.22.49.540
EXBUM N051.48.29.610 W003.14.33.780
EXFOB N050.27.00.000 E000.55.00.000
EXKIC N050.44.53.020 W003.36.54.360
EXMOR N051.10.42.760 W003.21.35.110
FACTU N052.21.02.960 W002.17.13.230
FADZU N051.52.56.100 W003.58.54.330
FANFE N051.46.20.780 W003.52.48.880
FEBWI N051.53.27.130 W003.13.20.420
FELCA N051.49.30.860 W003.32.19.610
FENIK N055.42.54.650 W004.17.30.910
FERIT N051.37.59.230 E000.32.21.200
FIFAH N051.52.48.510 W004.15.34.000
FIGZI N051.57.34.770 W002.36.13.570
FIMCA N050.16.48.490 W003.30.00.820
FINDO N056.22.09.050 W003.27.48.800
FINMA N051.59.47.210 W001.03.13.340
FITBO N052.13.08.550 W002.24.12.550
FIZED N053.34.44.870 W000.39.17.400
FONZU N050.49.21.600 W003.53.58.820
FORTY N057.57.00.260 E000.35.44.600
FOXLA N052.01.57.130 W004.12.36.580
FOYLE N056.08.34.130 W004.22.56.410
FRANE N051.23.06.000 E000.37.39.400
FYNER N056.02.56.120 W005.06.55.190
GAJIT N051.20.40.020 W002.00.00.000
GANKI N056.45.48.000 W002.58.08.000
GAPLI N050.00.00.000 W008.00.00.000
GARMI N050.00.00.000 W001.22.49.590
GARVA N057.41.18.000 W004.29.41.350
GASBA N051.50.10.400 E000.48.52.850
GASGU N051.12.23.990 W000.57.36.020
GASKO N054.13.28.970 W001.57.21.300
GAVEL N059.23.00.000 W001.24.21.670
GELPO N048.38.39.060 W009.30.09.450
GETNO N053.55.47.970 W003.29.47.060
GIBSO N050.44.59.080 W002.31.07.330
GIBSU N056.45.47.280 E003.16.10.150
GIGTO N053.38.01.060 W004.05.50.620
GIGUL N054.36.26.270 E003.10.09.890
GILDA N051.36.05.680 E000.35.01.040
GILTI N051.34.13.010 E002.03.18.170
GINGA N056.55.30.150 W009.30.00.000
GINIS N053.27.38.950 W004.51.28.610
GIPER N051.00.00.000 W012.00.00.000
GIPLO N053.31.31.000 W000.47.23.000
GIRLI N054.42.40.510 W001.48.11.490
GIRVA N055.11.07.990 W004.53.46.670
GISOK N051.30.08.620 W005.07.27.620
GITUS N050.20.00.140 W005.41.59.890
GIVEM N055.27.53.520 E000.14.52.780
GIVPO N053.17.09.770 E002.52.09.020
GIVUN N050.43.58.450 W000.48.03.140
GLESK N056.54.00.000 W002.47.45.280
GOBNU N051.20.52.920 W001.06.25.120
GODLU N051.09.58.440 E001.17.04.260
GODOS N053.14.56.550 E003.25.46.790
GODPA N052.59.00.000 W003.10.01.000
GOGSI N051.17.27.160 W001.00.02.310
GOKTU N050.15.04.870 W001.22.44.570
GOLES N053.36.29.080 W001.05.00.370
GOLVO N054.24.40.690 E003.35.07.520
GOMOT N055.55.09.600 W000.32.39.120
GOMUP N057.00.00.000 W010.00.00.000
GONAN N045.00.00.000 W014.00.00.000
GOREV N056.03.12.000 E005.00.00.000
GOSAM N055.47.19.180 W004.12.02.100
GOTGO N055.25.06.550 E002.08.50.440
GOTNA N054.35.41.430 W005.35.52.850
GOXUL N051.21.32.020 W000.10.33.490
GRICE N056.11.48.000 W003.41.07.790
GROVE N052.23.37.760 W001.55.43.720
GUBJE N052.02.27.500 W005.32.42.800
GUNPA N061.00.00.000 E000.00.00.000
GUNSO N049.03.10.000 W011.46.06.000
GUNTU N053.35.37.400 W003.09.53.640
GUSSI N057.12.46.930 W004.07.26.860
HABCI N051.14.01.120 E000.16.44.960
HALIF N053.44.06.310 W001.34.50.100
HANKY N051.06.45.980 W001.07.51.000
HARDY N050.28.15.750 E000.29.28.040
HASTY N050.43.42.460 E000.32.00.370
HAVEN N055.27.40.000 W002.59.46.670
HAWFA N051.32.08.710 W002.38.12.550
HAWKE N050.22.26.570 E000.05.24.770
HAZEL N051.00.19.030 W000.59.04.060
HEKXA N051.31.03.610 W001.20.26.550
HEMEL N051.48.20.000 W000.25.09.780
HERON N055.20.35.290 W005.00.00.000
HILLY N051.20.06.040 E000.14.37.380
HOLLY N050.53.12.180 W000.05.42.230
HOTXI N051.15.06.350 W002.00.00.000
IBGON N051.00.47.240 W000.47.58.480
IBNID N050.31.43.710 W001.47.08.460
IBOLU N056.23.10.000 W003.08.03.000
IBRAR N053.31.54.280 W003.41.10.870
IBROD N056.30.00.000 W010.00.00.000
IBTES N054.26.25.200 W005.03.15.120
ICCIN N051.39.36.800 W002.44.58.740
ICOSA N051.37.48.090 W003.52.10.140
ICTAM N051.31.37.370 W001.09.48.120
IDESI N051.53.51.740 E001.53.08.080
IDEXA N053.28.14.000 W005.09.51.000
IDGAS N054.14.22.810 W004.33.29.470
IDITU N051.32.24.790 E000.58.37.350
IDKOL N054.05.43.000 W001.59.45.000
