;Airport Boundary
N055.57.02.092 W003.20.54.359
N055.57.01.946 W003.20.55.284
N055.56.59.796 W003.20.57.436
N055.57.00.360 W003.20.59.261
N055.56.57.612 W003.21.07.941
N055.56.57.833 W003.21.08.735
N055.57.01.832 W003.21.09.763
N055.57.03.940 W003.21.07.727
N055.57.04.376 W003.21.07.567
N055.57.04.728 W003.21.07.756
N055.57.05.490 W003.21.10.062
N055.57.06.460 W003.21.12.079
N055.57.08.607 W003.21.19.038
N055.57.08.537 W003.21.19.908
N055.57.10.038 W003.21.24.860
N055.57.09.928 W003.21.25.537
N055.57.08.096 W003.21.27.332
N055.57.08.400 W003.21.28.039
N055.57.08.687 W003.21.28.513
N055.57.09.034 W003.21.28.862
N055.57.09.375 W003.21.29.087
N055.57.09.660 W003.21.29.178
N055.57.10.174 W003.21.28.760
N055.57.10.395 W003.21.28.290
N055.57.10.612 W003.21.27.743
N055.57.12.496 W003.21.22.154
N055.57.12.640 W003.21.21.555
N055.57.12.683 W003.21.21.115
N055.57.12.708 W003.21.20.469
N055.57.12.746 W003.21.19.612
N055.57.12.763 W003.21.17.137
N055.57.12.797 W003.21.16.420
N055.57.12.852 W003.21.16.055
N055.57.12.979 W003.21.15.516
N055.57.13.802 W003.21.12.971

;Grass
;V_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.56.33.283 W003.23.16.829
N055.56.33.226 W003.23.16.562
N055.56.33.191 W003.23.16.207
N055.56.33.219 W003.23.15.788
N055.56.33.326 W003.23.15.165
N055.56.33.483 W003.23.14.517
N055.56.33.718 W003.23.13.806
N055.56.33.903 W003.23.13.273
N055.56.34.131 W003.23.12.778
N055.56.34.295 W003.23.12.536
N055.56.34.565 W003.23.12.194
N055.56.34.971 W003.23.11.737
N055.56.35.511 W003.23.11.229
N055.56.33.461 W003.23.17.261
;A/B_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.56.37.664 W003.23.19.084
N055.56.37.072 W003.23.20.677
N055.56.36.650 W003.23.20.439
N055.56.36.240 W003.23.20.095
N055.56.35.879 W003.23.19.879
N055.56.35.420 W003.23.19.297
N055.56.35.071 W003.23.18.737
N055.56.34.758 W003.23.18.037
N055.56.34.710 W003.23.17.692
N055.56.34.710 W003.23.17.283
N055.56.34.807 W003.23.16.529
N055.56.35.133 W003.23.15.108
N055.56.35.727 W003.23.13.182
N055.56.42.319 W003.22.53.751
N055.56.43.198 W003.22.51.204
N055.56.43.777 W003.22.49.718
N055.56.44.187 W003.22.48.728
N055.56.44.561 W003.22.47.953
N055.56.44.875 W003.22.47.587
N055.56.45.130 W003.22.47.530
N055.56.45.408 W003.22.47.574
N055.56.45.721 W003.22.47.725
N055.56.46.083 W003.22.47.983
N055.56.46.565 W003.22.48.393
N055.56.47.059 W003.22.48.845
N055.56.47.445 W003.22.49.255
N055.56.47.698 W003.22.49.621
N055.56.48.283 W003.22.50.484
N055.56.48.486 W003.22.50.860
N055.56.48.602 W003.22.51.224
N055.56.39.425 W003.23.18.224
;B/C_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.56.49.142 W003.22.48.926
N055.56.48.801 W003.22.48.698
N055.56.48.213 W003.22.48.296
N055.56.47.796 W003.22.47.896
N055.56.47.437 W003.22.47.515
N055.56.47.058 W003.22.47.116
N055.56.46.747 W003.22.46.668
N055.56.46.409 W003.22.46.170
N055.56.46.127 W003.22.45.705
N055.56.45.959 W003.22.45.334
N055.56.45.847 W003.22.44.868
N055.56.45.865 W003.22.44.328
N055.56.45.961 W003.22.43.693
N055.56.46.174 W003.22.42.653
N055.56.46.448 W003.22.41.657
N055.56.49.095 W003.22.33.885
N055.56.55.259 W003.22.15.582
N055.57.01.711 W003.21.56.618
N055.57.02.554 W003.21.54.135
N055.57.03.233 W003.21.52.072
N055.57.03.504 W003.21.51.329
N055.57.03.814 W003.21.50.553
N055.57.04.075 W003.21.49.928
N055.57.04.287 W003.21.49.439
N055.57.04.523 W003.21.49.038
N055.57.04.824 W003.21.48.549
N055.57.05.073 W003.21.48.359
N055.57.05.270 W003.21.48.337
N055.57.05.502 W003.21.48.420
N055.57.05.742 W003.21.48.515
N055.57.06.155 W003.21.48.822
N055.57.06.669 W003.21.49.235
N055.57.07.134 W003.21.49.714
N055.57.07.531 W003.21.50.190
N055.57.07.935 W003.21.50.744
N055.57.08.245 W003.21.51.257
N055.57.08.483 W003.21.51.690
N055.57.08.641 W003.21.52.031
N055.56.49.399 W003.22.48.965
;C/D_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.57.09.152 W003.21.49.733
N055.57.08.812 W003.21.49.519
